Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,4.0,3.7,6.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,241,Timing Point,4.0,3.7,6.0,8.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_2,241,Hit Object,4.0,3.7,6.0,8.0,6,0,425,1,1.0,0,0,0,0,0,0
Row_3,609,Hit Object,4.0,3.7,6.0,8.0,2,0,793,1,1.0,0,0,0,0,0,0
Row_4,977,Hit Object,4.0,3.7,6.0,8.0,6,0,1161,1,1.0,0,0,0,0,0,0
Row_5,1345,Hit Object,4.0,3.7,6.0,8.0,2,0,1529,1,1.0,0,0,0,0,0,0
Row_6,1713,Hit Object,4.0,3.7,6.0,8.0,6,0,1897,1,1.0,0,0,0,0,0,0
Row_7,1989,Hit Object,4.0,3.7,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,2081,Hit Object,4.0,3.7,6.0,8.0,2,0,2265,1,1.0,0,0,0,0,0,0
Row_9,2449,Hit Object,4.0,3.7,6.0,8.0,2,0,2817,1,1.0,0,0,0,0,0,0
Row_10,2909,Hit Object,4.0,3.7,6.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_11,3001,Hit Object,4.0,3.7,6.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_12,3185,Timing Point,4.0,3.7,6.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_13,3185,Timing Point,4.0,3.7,6.0,8.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_14,3185,Hit Object,4.0,3.7,6.0,8.0,6,0,3369,1,1.0,0,0,0,0,0,0
Row_15,3553,Hit Object,4.0,3.7,6.0,8.0,2,0,3737,1,1.0,0,0,0,0,0,0
Row_16,3921,Hit Object,4.0,3.7,6.0,8.0,2,0,4289,1,1.0,0,0,0,0,0,0
Row_17,4473,Hit Object,4.0,3.7,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,4657,Hit Object,4.0,3.7,6.0,8.0,6,0,4841,1,1.0,0,0,0,0,0,0
Row_19,5025,Hit Object,4.0,3.7,6.0,8.0,2,0,5209,1,1.0,0,0,0,0,0,0
Row_20,5393,Hit Object,4.0,3.7,6.0,8.0,2,0,5761,1,1.0,0,0,0,0,0,0
Row_21,5945,Hit Object,4.0,3.7,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,6129,Hit Object,4.0,3.7,6.0,8.0,6,0,6313,1,1.0,0,0,0,0,0,0
Row_23,6497,Hit Object,4.0,3.7,6.0,8.0,2,0,6681,1,1.0,0,0,0,0,0,0
Row_24,6865,Hit Object,4.0,3.7,6.0,8.0,2,0,7233,1,1.0,0,0,0,0,0,0
Row_25,7418,Hit Object,4.0,3.7,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,7602,Hit Object,4.0,3.7,6.0,8.0,6,0,7786,1,1.0,0,0,0,0,0,0
Row_27,7970,Hit Object,4.0,3.7,6.0,8.0,2,0,8154,1,1.0,0,0,0,0,0,0
Row_28,8338,Hit Object,4.0,3.7,6.0,8.0,2,0,8706,1,1.0,0,0,0,0,0,0
Row_29,8798,Hit Object,4.0,3.7,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_30,8890,Hit Object,4.0,3.7,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,9074,Hit Object,4.0,3.7,6.0,8.0,6,0,9258,1,1.0,0,0,0,0,0,0
Row_32,9442,Hit Object,4.0,3.7,6.0,8.0,2,0,9626,1,1.0,0,0,0,0,0,0
