Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,241,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_2,241,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_3,425,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,609,Hit Object,5.0,3.8,8.8,9.0,2,0,793,1,1.0,0,0,0,0,0,0
Row_5,977,Hit Object,5.0,3.8,8.8,9.0,2,0,1161,1,1.0,0,0,0,0,0,0
Row_6,1345,Hit Object,5.0,3.8,8.8,9.0,2,0,1529,1,1.0,0,0,0,0,0,0
Row_7,1713,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_8,1897,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,1989,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,2081,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,2265,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,2449,Hit Object,5.0,3.8,8.8,9.0,2,0,2633,1,1.0,0,0,0,0,0,0
Row_13,2817,Hit Object,5.0,3.8,8.8,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_14,2909,Hit Object,5.0,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_15,3001,Hit Object,5.0,3.8,8.8,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_16,3093,Hit Object,5.0,3.8,8.8,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_17,3185,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_18,3185,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_19,3185,Hit Object,5.0,3.8,8.8,9.0,6,0,3369,1,1.0,0,0,0,0,0,0
Row_20,3553,Hit Object,5.0,3.8,8.8,9.0,2,0,3737,1,1.0,0,0,0,0,0,0
Row_21,3921,Hit Object,5.0,3.8,8.8,9.0,2,0,4289,1,1.0,0,0,0,0,0,0
Row_22,4473,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,4657,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_24,4841,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
