Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,9.0,9.0,10.0,7.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,241,Timing Point,9.0,9.0,10.0,7.0,0,0,0,0,0,0,0,-500.0,4,0,0
Row_2,241,Hit Object,9.0,9.0,10.0,7.0,6,0,425,1,1.0,0,0,0,0,0,0
Row_3,609,Hit Object,9.0,9.0,10.0,7.0,2,0,793,1,1.0,0,0,0,0,0,0
Row_4,977,Hit Object,9.0,9.0,10.0,7.0,2,0,1161,1,1.0,0,0,0,0,0,0
Row_5,1345,Hit Object,9.0,9.0,10.0,7.0,2,0,1529,1,1.0,0,0,0,0,0,0
Row_6,1713,Hit Object,9.0,9.0,10.0,7.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_7,1897,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,1989,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,2081,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,2265,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,2449,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,2817,Hit Object,9.0,9.0,10.0,7.0,5,10,0,0,1.0,0,0,0,0,0,0
Row_13,2909,Hit Object,9.0,9.0,10.0,7.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,3001,Hit Object,9.0,9.0,10.0,7.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_15,3185,Timing Point,9.0,9.0,10.0,7.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_16,3185,Timing Point,9.0,9.0,10.0,7.0,0,0,0,0,0,0,0,-500.0,4,0,0
Row_17,3185,Hit Object,9.0,9.0,10.0,7.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_18,3369,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,3553,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,3737,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,3921,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,4473,Hit Object,9.0,9.0,10.0,7.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_23,4657,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_24,4841,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,5025,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,5209,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,5393,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,5945,Hit Object,9.0,9.0,10.0,7.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,6129,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_30,6313,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,6497,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,6681,Hit Object,9.0,9.0,10.0,7.0,1,2,0,0,1.0,0,0,0,0,0,0
