Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,5.5,4.0,8.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,2817,Hit Object,5.5,4.0,8.0,8.0,6,0,3001,2,1.0,0,0,0,0,0,0
Row_2,3185,Timing Point,5.5,4.0,8.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_3,3185,Hit Object,5.5,4.0,8.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_4,3369,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,3553,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,3737,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,3921,Hit Object,5.5,4.0,8.0,8.0,2,1,4289,1,1.0,0,0,0,0,0,0
Row_8,4473,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,4657,Hit Object,5.5,4.0,8.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_10,4841,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,5025,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,5209,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,5393,Hit Object,5.5,4.0,8.0,8.0,2,1,5761,1,1.0,0,0,0,0,0,0
Row_14,5945,Hit Object,5.5,4.0,8.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,6129,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,6313,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,6497,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,6681,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,6865,Hit Object,5.5,4.0,8.0,8.0,6,1,7233,1,1.0,0,0,0,0,0,0
Row_20,7418,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,7602,Hit Object,5.5,4.0,8.0,8.0,6,1,7786,1,1.0,0,0,0,0,0,0
Row_22,7970,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,8154,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_24,8338,Hit Object,5.5,4.0,8.0,8.0,2,1,8706,2,1.0,0,0,0,0,0,0
Row_25,8890,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,9074,Hit Object,5.5,4.0,8.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_27,9258,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,9442,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_29,9626,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_30,9810,Hit Object,5.5,4.0,8.0,8.0,2,1,10178,1,1.0,0,0,0,0,0,0
Row_31,10362,Hit Object,5.5,4.0,8.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_32,10546,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,10731,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_34,10915,Hit Object,5.5,4.0,8.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_35,11099,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,11283,Hit Object,5.5,4.0,8.0,8.0,2,1,11651,1,1.0,0,0,0,0,0,0
Row_37,11835,Hit Object,5.5,4.0,8.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_38,12019,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,12203,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,12387,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,12571,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_42,12755,Hit Object,5.5,4.0,8.0,8.0,6,1,13123,1,1.0,0,0,0,0,0,0
Row_43,13123,Timing Point,5.5,4.0,8.0,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_44,13307,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_45,13491,Hit Object,5.5,4.0,8.0,8.0,6,1,13675,1,1.0,0,0,0,0,0,0
Row_46,13859,Hit Object,5.5,4.0,8.0,8.0,2,1,14043,1,1.0,0,0,0,0,0,0
Row_47,14227,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,14596,Hit Object,5.5,4.0,8.0,8.0,5,10,0,0,1.0,0,0,0,0,0,0
Row_49,14688,Hit Object,5.5,4.0,8.0,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_50,14780,Hit Object,5.5,4.0,8.0,8.0,1,6,0,0,1.0,0,0,0,0,0,0
Row_51,14872,Hit Object,5.5,4.0,8.0,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_52,14964,Hit Object,5.5,4.0,8.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_53,15148,Hit Object,5.5,4.0,8.0,8.0,2,1,15332,1,1.0,0,0,0,0,0,0
Row_54,15516,Hit Object,5.5,4.0,8.0,8.0,2,1,15884,1,1.0,0,0,0,0,0,0
Row_55,16068,Hit Object,5.5,4.0,8.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_56,16160,Hit Object,5.5,4.0,8.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_57,16252,Hit Object,5.5,4.0,8.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_58,16436,Hit Object,5.5,4.0,8.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_59,16620,Hit Object,5.5,4.0,8.0,8.0,2,1,16804,1,1.0,0,0,0,0,0,0
Row_60,16988,Hit Object,5.5,4.0,8.0,8.0,2,1,17356,1,1.0,0,0,0,0,0,0
