Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,6.0,5.5,9.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,241,Hit Object,6.0,5.5,9.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_2,425,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_3,609,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,793,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,977,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,1161,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,1345,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,1529,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,1713,Hit Object,6.0,5.5,9.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_10,1897,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,1989,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,2081,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,2265,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_14,2449,Hit Object,6.0,5.5,9.0,8.0,2,3,2633,3,1.0,0,0,0,0,0,0
Row_15,2817,Hit Object,6.0,5.5,9.0,8.0,5,10,0,0,1.0,0,0,0,0,0,0
Row_16,2909,Hit Object,6.0,5.5,9.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_17,3001,Hit Object,6.0,5.5,9.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_18,3185,Timing Point,6.0,5.5,9.0,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_19,3185,Hit Object,6.0,5.5,9.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_20,3369,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,3553,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,3737,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,3921,Hit Object,6.0,5.5,9.0,8.0,2,1,4105,1,1.0,0,0,0,0,0,0
Row_24,4289,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,4473,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,4657,Hit Object,6.0,5.5,9.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_27,4841,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,5025,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_29,5209,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_30,5393,Hit Object,6.0,5.5,9.0,8.0,2,1,5577,1,1.0,0,0,0,0,0,0
Row_31,5761,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,5945,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,6129,Hit Object,6.0,5.5,9.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_34,6313,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_35,6497,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,6681,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,6865,Hit Object,6.0,5.5,9.0,8.0,2,1,7049,1,1.0,0,0,0,0,0,0
Row_38,7234,Hit Object,6.0,5.5,9.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
