Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,6.5,4.0,9.5,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,2817,Hit Object,6.5,4.0,9.5,8.0,5,10,0,0,1.0,0,0,0,0,0,0
Row_2,2909,Hit Object,6.5,4.0,9.5,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_3,3001,Hit Object,6.5,4.0,9.5,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_4,3185,Timing Point,6.5,4.0,9.5,8.0,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_5,3185,Hit Object,6.5,4.0,9.5,8.0,6,1,3369,1,1.0,0,0,0,0,0,0
Row_6,3553,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,3737,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,3921,Hit Object,6.5,4.0,9.5,8.0,2,1,4105,1,1.0,0,0,0,0,0,0
Row_9,4289,Hit Object,6.5,4.0,9.5,8.0,2,1,4473,1,1.0,0,0,0,0,0,0
Row_10,4657,Hit Object,6.5,4.0,9.5,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,4841,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,5025,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,5209,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_14,5393,Hit Object,6.5,4.0,9.5,8.0,6,1,5761,1,1.0,0,0,0,0,0,0
Row_15,5945,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,6129,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,6313,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,6497,Hit Object,6.5,4.0,9.5,8.0,1,2,0,0,1.0,0,0,0,0,0,0
