Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,241,Timing Point,2.0,3.2,4.0,5.5,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_1,3001,Hit Object,2.0,3.2,4.0,5.5,5,10,0,0,1.0,0,0,0,0,0,0
Row_2,3185,Timing Point,2.0,3.2,4.0,5.5,0,0,0,0,0,0,1,368.098159509202,4,0,0
Row_3,3185,Hit Object,2.0,3.2,4.0,5.5,2,0,3553,1,1.0,0,0,0,0,0,0
Row_4,3737,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,3921,Hit Object,2.0,3.2,4.0,5.5,2,0,4289,1,1.0,0,0,0,0,0,0
Row_6,4657,Hit Object,2.0,3.2,4.0,5.5,2,0,5025,1,1.0,0,0,0,0,0,0
Row_7,5209,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,5393,Hit Object,2.0,3.2,4.0,5.5,2,0,5761,1,1.0,0,0,0,0,0,0
Row_9,6129,Hit Object,2.0,3.2,4.0,5.5,6,0,6497,1,1.0,0,0,0,0,0,0
Row_10,6681,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,6865,Hit Object,2.0,3.2,4.0,5.5,2,0,7233,1,1.0,0,0,0,0,0,0
Row_12,7602,Hit Object,2.0,3.2,4.0,5.5,6,0,7970,2,1.0,0,0,0,0,0,0
Row_13,8338,Hit Object,2.0,3.2,4.0,5.5,2,0,8706,1,1.0,0,0,0,0,0,0
Row_14,9074,Hit Object,2.0,3.2,4.0,5.5,6,0,9442,1,1.0,0,0,0,0,0,0
Row_15,9626,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,9810,Hit Object,2.0,3.2,4.0,5.5,2,0,10178,1,1.0,0,0,0,0,0,0
Row_17,10546,Hit Object,2.0,3.2,4.0,5.5,6,0,10914,1,1.0,0,0,0,0,0,0
Row_18,11099,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11283,Hit Object,2.0,3.2,4.0,5.5,2,0,11651,1,1.0,0,0,0,0,0,0
Row_20,12019,Hit Object,2.0,3.2,4.0,5.5,2,0,12387,1,1.0,0,0,0,0,0,0
Row_21,12571,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,12755,Hit Object,2.0,3.2,4.0,5.5,2,0,13123,1,1.0,0,0,0,0,0,0
Row_23,13123,Timing Point,2.0,3.2,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_24,13491,Hit Object,2.0,3.2,4.0,5.5,6,0,13859,2,1.0,0,0,0,0,0,0
Row_25,14227,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,14596,Hit Object,2.0,3.2,4.0,5.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_27,14964,Hit Object,2.0,3.2,4.0,5.5,6,0,15148,1,1.0,0,0,0,0,0,0
Row_28,15332,Hit Object,2.0,3.2,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
