Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,84,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,1,340.909090909091,4,0,0
Row_1,19174,Hit Object,7.0,4.0,8.0,9.0,12,0,0,0,1.0,0,0,0,0,0,0
Row_2,21902,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_3,22243,Hit Object,7.0,4.0,8.0,9.0,6,0,22754,1,1.0,0,0,0,0,0,0
Row_4,22924,Hit Object,7.0,4.0,8.0,9.0,2,0,23094,1,1.0,0,0,0,0,0,0
Row_5,23265,Hit Object,7.0,4.0,8.0,9.0,6,0,23435,1,1.0,0,0,0,0,0,0
Row_6,23606,Hit Object,7.0,4.0,8.0,9.0,2,0,24117,1,1.0,0,0,0,0,0,0
Row_7,24288,Hit Object,7.0,4.0,8.0,9.0,2,0,24458,1,1.0,0,0,0,0,0,0
Row_8,24629,Hit Object,7.0,4.0,8.0,9.0,6,0,24799,1,1.0,0,0,0,0,0,0
Row_9,24970,Hit Object,7.0,4.0,8.0,9.0,2,0,25481,1,1.0,0,0,0,0,0,0
Row_10,25652,Hit Object,7.0,4.0,8.0,9.0,2,0,25822,1,1.0,0,0,0,0,0,0
Row_11,25993,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_12,26163,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,26334,Hit Object,7.0,4.0,8.0,9.0,2,0,26845,1,1.0,0,0,0,0,0,0
Row_14,27015,Hit Object,7.0,4.0,8.0,9.0,2,0,27185,1,1.0,0,0,0,0,0,0
Row_15,27271,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,27356,Hit Object,7.0,4.0,8.0,9.0,6,0,27526,1,1.0,0,0,0,0,0,0
Row_17,27697,Hit Object,7.0,4.0,8.0,9.0,2,0,28208,1,1.0,0,0,0,0,0,0
Row_18,28379,Hit Object,7.0,4.0,8.0,9.0,2,0,28549,1,1.0,0,0,0,0,0,0
Row_19,28720,Hit Object,7.0,4.0,8.0,9.0,6,0,29401,2,1.0,0,0,0,0,0,0
Row_20,29572,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,29743,Hit Object,7.0,4.0,8.0,9.0,2,0,29913,1,1.0,0,0,0,0,0,0
Row_22,30084,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_23,30254,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,30424,Hit Object,7.0,4.0,8.0,9.0,2,0,30594,1,1.0,0,0,0,0,0,0
Row_25,30680,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,30765,Hit Object,7.0,4.0,8.0,9.0,2,0,30935,1,1.0,0,0,0,0,0,0
Row_27,31106,Hit Object,7.0,4.0,8.0,9.0,2,0,31276,1,1.0,0,0,0,0,0,0
Row_28,31362,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_29,31447,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_30,31618,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,31788,Hit Object,7.0,4.0,8.0,9.0,2,0,32299,1,1.0,0,0,0,0,0,0
Row_32,32470,Hit Object,7.0,4.0,8.0,9.0,2,0,32640,1,1.0,0,0,0,0,0,0
Row_33,32811,Hit Object,7.0,4.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_34,33152,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_35,33322,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,33522,Break,7.0,4.0,8.0,9.0,0,0,0,0,0,34938,0,0,0,0,0
Row_37,35538,Hit Object,7.0,4.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_38,35879,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_39,36049,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,36902,Hit Object,7.0,4.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_41,37072,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_42,37243,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_43,37413,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,38265,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
