Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,84,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,1,340.909090909091,4,0,0
Row_1,19174,Hit Object,7.0,4.0,8.0,9.0,12,4,0,0,1.0,0,0,0,0,0,0
Row_2,21902,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_3,22243,Hit Object,7.0,4.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_4,22584,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,22754,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,22924,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,23265,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_8,23606,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_9,23947,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,24117,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,24287,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_12,24459,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,24629,Hit Object,7.0,4.0,8.0,9.0,6,0,24799,1,1.0,0,0,0,0,0,0
Row_14,24970,Hit Object,7.0,4.0,8.0,9.0,2,0,25140,1,1.0,0,0,0,0,0,0
Row_15,25311,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,25481,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,25652,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_18,25993,Hit Object,7.0,4.0,8.0,9.0,6,0,26674,2,1.0,0,0,0,0,0,0
Row_19,26845,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_20,27015,Hit Object,7.0,4.0,8.0,9.0,2,0,27185,1,1.0,0,0,0,0,0,0
Row_21,27356,Hit Object,7.0,4.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,27527,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,27697,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_24,27868,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,27953,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,28038,Hit Object,7.0,4.0,8.0,9.0,2,0,28208,1,1.0,0,0,0,0,0,0
Row_27,28379,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,28720,Hit Object,7.0,4.0,8.0,9.0,6,0,28890,1,1.0,0,0,0,0,0,0
Row_29,29061,Hit Object,7.0,4.0,8.0,9.0,2,0,29231,1,1.0,0,0,0,0,0,0
Row_30,29402,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,29572,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_32,29743,Hit Object,7.0,4.0,8.0,9.0,2,0,29913,1,1.0,0,0,0,0,0,0
Row_33,30084,Hit Object,7.0,4.0,8.0,9.0,6,0,30424,1,1.0,0,0,0,0,0,0
Row_34,30595,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_35,30765,Hit Object,7.0,4.0,8.0,9.0,2,0,30935,1,1.0,0,0,0,0,0,0
Row_36,31106,Hit Object,7.0,4.0,8.0,9.0,2,0,31276,1,1.0,0,0,0,0,0,0
Row_37,31447,Hit Object,7.0,4.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_38,31618,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_39,31788,Hit Object,7.0,4.0,8.0,9.0,2,0,31958,1,1.0,0,0,0,0,0,0
Row_40,32129,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_41,32299,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_42,32470,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_43,32640,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_44,32811,Hit Object,7.0,4.0,8.0,9.0,6,0,33151,2,1.0,0,0,0,0,0,0
Row_45,33322,Hit Object,7.0,4.0,8.0,9.0,2,0,33662,1,1.0,0,0,0,0,0,0
Row_46,33834,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_47,34174,Hit Object,7.0,4.0,8.0,9.0,6,0,34855,2,1.0,0,0,0,0,0,0
Row_48,35027,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_49,35197,Hit Object,7.0,4.0,8.0,9.0,2,0,35367,1,1.0,0,0,0,0,0,0
Row_50,35538,Hit Object,7.0,4.0,8.0,9.0,6,0,35878,1,1.0,0,0,0,0,0,0
Row_51,36049,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_52,36220,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,36390,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_54,36561,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_55,36902,Hit Object,7.0,4.0,8.0,9.0,6,0,37242,1,1.0,0,0,0,0,0,0
Row_56,37413,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_57,37584,Hit Object,7.0,4.0,8.0,9.0,2,0,37754,1,1.0,0,0,0,0,0,0
Row_58,37924,Hit Object,7.0,4.0,8.0,9.0,2,0,38094,1,1.0,0,0,0,0,0,0
Row_59,38265,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_60,38265,Hit Object,7.0,4.0,8.0,9.0,6,0,38435,1,1.0,0,0,0,0,0,0
Row_61,38606,Hit Object,7.0,4.0,8.0,9.0,2,0,38776,1,1.0,0,0,0,0,0,0
Row_62,38947,Hit Object,7.0,4.0,8.0,9.0,2,0,39117,1,1.0,0,0,0,0,0,0
Row_63,39288,Hit Object,7.0,4.0,8.0,9.0,2,0,39458,1,1.0,0,0,0,0,0,0
Row_64,39629,Hit Object,7.0,4.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_65,39970,Hit Object,7.0,4.0,8.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_66,40311,Hit Object,7.0,4.0,8.0,9.0,2,0,40481,1,1.0,0,0,0,0,0,0
Row_67,40652,Hit Object,7.0,4.0,8.0,9.0,2,0,40822,1,1.0,0,0,0,0,0,0
Row_68,40993,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_69,40993,Hit Object,7.0,4.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_70,41163,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_71,41334,Hit Object,7.0,4.0,8.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_72,41504,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_73,41674,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_74,41674,Hit Object,7.0,4.0,8.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_75,41845,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_76,42015,Hit Object,7.0,4.0,8.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_77,42186,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_78,42356,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_79,42356,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_80,42441,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_81,42527,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,42612,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_83,42697,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_84,42782,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_85,42868,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_86,42953,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_87,43038,Hit Object,7.0,4.0,8.0,9.0,2,0,43123,1,1.0,0,0,0,0,0,0
Row_88,43209,Hit Object,7.0,4.0,8.0,9.0,2,0,43294,1,1.0,0,0,0,0,0,0
Row_89,43379,Timing Point,7.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_90,43379,Hit Object,7.0,4.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_91,43720,Hit Object,7.0,4.0,8.0,9.0,6,0,43890,1,1.0,0,0,0,0,0,0
Row_92,44061,Hit Object,7.0,4.0,8.0,9.0,2,0,44231,1,1.0,0,0,0,0,0,0
Row_93,44402,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_94,44572,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_95,44743,Hit Object,7.0,4.0,8.0,9.0,2,0,44913,1,1.0,0,0,0,0,0,0
Row_96,44998,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_97,45084,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_98,45254,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_99,45424,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_100,45595,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_101,45680,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_102,45765,Hit Object,7.0,4.0,8.0,9.0,2,0,45935,1,1.0,0,0,0,0,0,0
Row_103,46106,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_104,46277,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_105,46447,Hit Object,7.0,4.0,8.0,9.0,6,0,46702,1,1.0,0,0,0,0,0,0
Row_106,46788,Hit Object,7.0,4.0,8.0,9.0,2,0,46958,1,1.0,0,0,0,0,0,0
Row_107,47129,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_108,47299,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_109,47470,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_110,47640,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_111,47726,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_112,47811,Hit Object,7.0,4.0,8.0,9.0,2,0,47981,1,1.0,0,0,0,0,0,0
Row_113,48152,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_114,48322,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_115,48493,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_116,48663,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_117,48834,Hit Object,7.0,4.0,8.0,9.0,2,0,49004,1,1.0,0,0,0,0,0,0
Row_118,49089,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_119,49174,Hit Object,7.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_120,49345,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_121,49515,Hit Object,7.0,4.0,8.0,9.0,2,0,49685,1,1.0,0,0,0,0,0,0
Row_122,49856,Hit Object,7.0,4.0,8.0,9.0,2,0,50026,1,1.0,0,0,0,0,0,0
Row_123,50197,Hit Object,7.0,4.0,8.0,9.0,2,0,50367,1,1.0,0,0,0,0,0,0
Row_124,50538,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_125,50709,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_126,50879,Hit Object,7.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_127,51049,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_128,51135,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_129,51220,Hit Object,7.0,4.0,8.0,9.0,2,0,51390,1,1.0,0,0,0,0,0,0
Row_130,51561,Hit Object,7.0,4.0,8.0,9.0,2,0,51731,1,1.0,0,0,0,0,0,0
Row_131,51816,Hit Object,7.0,4.0,8.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_132,51902,Hit Object,7.0,4.0,8.0,9.0,2,0,52072,1,1.0,0,0,0,0,0,0
Row_133,52243,Hit Object,7.0,4.0,8.0,9.0,2,0,52413,1,1.0,0,0,0,0,0,0
Row_134,52584,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_135,52754,Hit Object,7.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
