Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,84,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,340.909090909091,4,0,0
Row_1,19174,Hit Object,3.0,3.0,3.0,4.0,12,4,0,0,1.0,0,0,0,0,0,0
Row_2,21902,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_3,23265,Hit Object,3.0,3.0,3.0,4.0,6,0,23946,1,1.0,0,0,0,0,0,0
Row_4,24288,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,24629,Hit Object,3.0,3.0,3.0,4.0,6,0,25992,2,1.0,0,0,0,0,0,0
Row_6,26334,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,26674,Hit Object,3.0,3.0,3.0,4.0,2,0,27014,1,1.0,0,0,0,0,0,0
Row_8,27356,Hit Object,3.0,3.0,3.0,4.0,6,0,28037,1,1.0,0,0,0,0,0,0
Row_9,28379,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,28720,Hit Object,3.0,3.0,3.0,4.0,2,0,30083,2,1.0,0,0,0,0,0,0
Row_11,30424,Hit Object,3.0,3.0,3.0,4.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_12,30765,Hit Object,3.0,3.0,3.0,4.0,2,0,31105,1,1.0,0,0,0,0,0,0
Row_13,31447,Hit Object,3.0,3.0,3.0,4.0,2,0,32810,2,1.0,0,0,0,0,0,0
Row_14,32811,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_15,33152,Hit Object,3.0,3.0,3.0,4.0,6,0,33492,1,1.0,0,0,0,0,0,0
Row_16,33834,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,34174,Hit Object,3.0,3.0,3.0,4.0,2,0,34855,1,1.0,0,0,0,0,0,0
Row_18,35197,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,35538,Hit Object,3.0,3.0,3.0,4.0,6,0,36901,2,1.0,0,0,0,0,0,0
Row_20,37243,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,37584,Hit Object,3.0,3.0,3.0,4.0,2,0,37924,1,1.0,0,0,0,0,0,0
Row_22,38265,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_23,38265,Hit Object,3.0,3.0,3.0,4.0,6,0,38605,1,1.0,0,0,0,0,0,0
Row_24,38947,Hit Object,3.0,3.0,3.0,4.0,2,0,39287,1,1.0,0,0,0,0,0,0
Row_25,39629,Hit Object,3.0,3.0,3.0,4.0,2,0,40310,1,1.0,0,0,0,0,0,0
Row_26,40652,Hit Object,3.0,3.0,3.0,4.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,40993,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_28,40993,Hit Object,3.0,3.0,3.0,4.0,6,0,41333,1,1.0,0,0,0,0,0,0
Row_29,41674,Hit Object,3.0,3.0,3.0,4.0,2,0,42014,1,1.0,0,0,0,0,0,0
Row_30,42356,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_31,42356,Hit Object,3.0,3.0,3.0,4.0,2,0,43378,1,1.0,0,0,0,0,0,0
Row_32,43379,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
