Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,84,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,1,340.909090909091,4,0,0
Row_1,19174,Hit Object,5.0,4.0,6.0,7.0,12,4,0,0,1.0,0,0,0,0,0,0
Row_2,21902,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_3,22243,Hit Object,5.0,4.0,6.0,7.0,6,0,22754,1,1.0,0,0,0,0,0,0
Row_4,22924,Hit Object,5.0,4.0,6.0,7.0,2,0,23094,1,1.0,0,0,0,0,0,0
Row_5,23265,Hit Object,5.0,4.0,6.0,7.0,6,0,23605,1,1.0,0,0,0,0,0,0
Row_6,23777,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,23947,Hit Object,5.0,4.0,6.0,7.0,2,0,24117,1,1.0,0,0,0,0,0,0
Row_8,24288,Hit Object,5.0,4.0,6.0,7.0,2,0,24458,1,1.0,0,0,0,0,0,0
Row_9,24629,Hit Object,5.0,4.0,6.0,7.0,6,0,25310,2,1.0,0,0,0,0,0,0
Row_10,25481,Hit Object,5.0,4.0,6.0,7.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_11,25652,Hit Object,5.0,4.0,6.0,7.0,2,0,25822,1,1.0,0,0,0,0,0,0
Row_12,25993,Hit Object,5.0,4.0,6.0,7.0,6,0,26333,1,1.0,0,0,0,0,0,0
Row_13,26504,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,26674,Hit Object,5.0,4.0,6.0,7.0,2,0,26844,1,1.0,0,0,0,0,0,0
Row_15,27015,Hit Object,5.0,4.0,6.0,7.0,2,0,27185,1,1.0,0,0,0,0,0,0
Row_16,27356,Hit Object,5.0,4.0,6.0,7.0,6,0,28037,2,1.0,0,0,0,0,0,0
Row_17,28209,Hit Object,5.0,4.0,6.0,7.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_18,28379,Hit Object,5.0,4.0,6.0,7.0,2,0,28549,1,1.0,0,0,0,0,0,0
Row_19,28720,Hit Object,5.0,4.0,6.0,7.0,6,0,29060,1,1.0,0,0,0,0,0,0
Row_20,29231,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,29402,Hit Object,5.0,4.0,6.0,7.0,2,0,29572,1,1.0,0,0,0,0,0,0
Row_22,29743,Hit Object,5.0,4.0,6.0,7.0,2,0,29913,1,1.0,0,0,0,0,0,0
Row_23,30084,Hit Object,5.0,4.0,6.0,7.0,6,0,30254,1,1.0,0,0,0,0,0,0
Row_24,30424,Hit Object,5.0,4.0,6.0,7.0,2,0,30935,1,1.0,0,0,0,0,0,0
Row_25,31106,Hit Object,5.0,4.0,6.0,7.0,2,0,31276,1,1.0,0,0,0,0,0,0
Row_26,31447,Hit Object,5.0,4.0,6.0,7.0,6,0,31617,1,1.0,0,0,0,0,0,0
Row_27,31788,Hit Object,5.0,4.0,6.0,7.0,2,0,32299,1,1.0,0,0,0,0,0,0
Row_28,32470,Hit Object,5.0,4.0,6.0,7.0,2,0,32640,1,1.0,0,0,0,0,0,0
Row_29,32811,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_30,32811,Hit Object,5.0,4.0,6.0,7.0,6,0,33492,2,1.0,0,0,0,0,0,0
Row_31,33663,Hit Object,5.0,4.0,6.0,7.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_32,33834,Hit Object,5.0,4.0,6.0,7.0,2,0,34004,1,1.0,0,0,0,0,0,0
Row_33,34174,Hit Object,5.0,4.0,6.0,7.0,6,0,34344,1,1.0,0,0,0,0,0,0
Row_34,34515,Hit Object,5.0,4.0,6.0,7.0,2,0,35026,1,1.0,0,0,0,0,0,0
Row_35,35197,Hit Object,5.0,4.0,6.0,7.0,2,0,35367,1,1.0,0,0,0,0,0,0
Row_36,35538,Hit Object,5.0,4.0,6.0,7.0,6,0,35708,1,1.0,0,0,0,0,0,0
Row_37,35879,Hit Object,5.0,4.0,6.0,7.0,2,0,36390,1,1.0,0,0,0,0,0,0
Row_38,36561,Hit Object,5.0,4.0,6.0,7.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_39,36731,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,36902,Hit Object,5.0,4.0,6.0,7.0,6,0,37072,1,1.0,0,0,0,0,0,0
Row_41,37243,Hit Object,5.0,4.0,6.0,7.0,2,0,37754,1,1.0,0,0,0,0,0,0
Row_42,37924,Hit Object,5.0,4.0,6.0,7.0,2,0,38094,1,1.0,0,0,0,0,0,0
Row_43,38265,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_44,38265,Hit Object,5.0,4.0,6.0,7.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_45,38606,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_46,38947,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,39288,Hit Object,5.0,4.0,6.0,7.0,2,0,39458,1,1.0,0,0,0,0,0,0
Row_48,39629,Hit Object,5.0,4.0,6.0,7.0,6,0,39969,1,1.0,0,0,0,0,0,0
Row_49,40140,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,40311,Hit Object,5.0,4.0,6.0,7.0,2,0,40481,1,1.0,0,0,0,0,0,0
Row_51,40652,Hit Object,5.0,4.0,6.0,7.0,2,0,40822,1,1.0,0,0,0,0,0,0
Row_52,40993,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_53,40993,Hit Object,5.0,4.0,6.0,7.0,6,0,41163,1,1.0,0,0,0,0,0,0
Row_54,41334,Hit Object,5.0,4.0,6.0,7.0,2,0,41504,1,1.0,0,0,0,0,0,0
Row_55,41674,Hit Object,5.0,4.0,6.0,7.0,2,0,41844,1,1.0,0,0,0,0,0,0
Row_56,42015,Hit Object,5.0,4.0,6.0,7.0,2,0,42185,1,1.0,0,0,0,0,0,0
Row_57,42356,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_58,42356,Hit Object,5.0,4.0,6.0,7.0,6,0,43378,12,1.0,0,0,0,0,0,0
Row_59,43379,Timing Point,5.0,4.0,6.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_60,43720,Hit Object,5.0,4.0,6.0,7.0,6,0,44060,1,1.0,0,0,0,0,0,0
Row_61,44231,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_62,44402,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_63,44572,Hit Object,5.0,4.0,6.0,7.0,2,0,44742,1,1.0,0,0,0,0,0,0
Row_64,44913,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_65,45084,Hit Object,5.0,4.0,6.0,7.0,6,0,45424,2,1.0,0,0,0,0,0,0
Row_66,45595,Hit Object,5.0,4.0,6.0,7.0,2,0,45935,1,1.0,0,0,0,0,0,0
Row_67,46106,Hit Object,5.0,4.0,6.0,7.0,2,0,46276,1,1.0,0,0,0,0,0,0
Row_68,46447,Hit Object,5.0,4.0,6.0,7.0,6,0,46787,1,1.0,0,0,0,0,0,0
Row_69,46959,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_70,47129,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_71,47299,Hit Object,5.0,4.0,6.0,7.0,2,0,47469,1,1.0,0,0,0,0,0,0
Row_72,47640,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_73,47811,Hit Object,5.0,4.0,6.0,7.0,6,0,48151,2,1.0,0,0,0,0,0,0
Row_74,48322,Hit Object,5.0,4.0,6.0,7.0,2,0,48662,1,1.0,0,0,0,0,0,0
Row_75,48834,Hit Object,5.0,4.0,6.0,7.0,2,0,49004,1,1.0,0,0,0,0,0,0
Row_76,49174,Hit Object,5.0,4.0,6.0,7.0,6,0,49344,1,1.0,0,0,0,0,0,0
Row_77,49515,Hit Object,5.0,4.0,6.0,7.0,2,0,49855,2,1.0,0,0,0,0,0,0
Row_78,50027,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_79,50197,Hit Object,5.0,4.0,6.0,7.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_80,50368,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_81,50538,Hit Object,5.0,4.0,6.0,7.0,6,0,50708,1,1.0,0,0,0,0,0,0
Row_82,50879,Hit Object,5.0,4.0,6.0,7.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_83,51049,Hit Object,5.0,4.0,6.0,7.0,2,0,51389,1,1.0,0,0,0,0,0,0
Row_84,51561,Hit Object,5.0,4.0,6.0,7.0,2,0,51731,1,1.0,0,0,0,0,0,0
Row_85,51902,Hit Object,5.0,4.0,6.0,7.0,6,0,52072,1,1.0,0,0,0,0,0,0
Row_86,52243,Hit Object,5.0,4.0,6.0,7.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_87,52413,Hit Object,5.0,4.0,6.0,7.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_88,52584,Hit Object,5.0,4.0,6.0,7.0,2,0,52754,1,1.0,0,0,0,0,0,0
