Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4742,Hit Object,6.0,4.5,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_1,4743,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_2,5085,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_3,5085,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_4,5085,Hit Object,6.0,4.5,8.0,9.0,2,0,5670,1,1.0,0,0,0,0,0,0
Row_5,5670,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,5982,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,6295,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_8,6295,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_9,6295,Hit Object,6.0,4.5,8.0,9.0,2,0,6920,1,1.0,0,0,0,0,0,0
Row_10,7233,Hit Object,6.0,4.5,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7546,Hit Object,6.0,4.5,8.0,9.0,2,0,8171,1,1.0,0,0,0,0,0,0
Row_12,8485,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,8798,Hit Object,6.0,4.5,8.0,9.0,2,0,9423,1,1.0,0,0,0,0,0,0
Row_14,9737,Hit Object,6.0,4.5,8.0,9.0,6,0,9893,1,1.0,0,0,0,0,0,0
Row_15,10050,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_16,10050,Timing Point,6.0,4.5,8.0,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_17,10050,Hit Object,6.0,4.5,8.0,9.0,2,0,10675,1,1.0,0,0,0,0,0,0
Row_18,10988,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11301,Hit Object,6.0,4.5,8.0,9.0,2,0,11926,1,1.0,0,0,0,0,0,0
Row_20,12240,Hit Object,6.0,4.5,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_21,12553,Hit Object,6.0,4.5,8.0,9.0,2,0,13178,1,1.0,0,0,0,0,0,0
Row_22,13492,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13805,Hit Object,6.0,4.5,8.0,9.0,2,0,14430,1,1.0,0,0,0,0,0,0
Row_24,14744,Hit Object,6.0,4.5,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,15057,Hit Object,6.0,4.5,8.0,9.0,2,0,15682,1,1.0,0,0,0,0,0,0
Row_26,15996,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,16309,Hit Object,6.0,4.5,8.0,9.0,2,0,16934,1,1.0,0,0,0,0,0,0
Row_28,17248,Hit Object,6.0,4.5,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,17561,Hit Object,6.0,4.5,8.0,9.0,2,0,18186,1,1.0,0,0,0,0,0,0
Row_30,18500,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,18813,Hit Object,6.0,4.5,8.0,9.0,2,0,19438,1,1.0,0,0,0,0,0,0
Row_32,19752,Hit Object,6.0,4.5,8.0,9.0,6,0,19908,1,1.0,0,0,0,0,0,0
Row_33,20065,Hit Object,6.0,4.5,8.0,9.0,2,0,20221,1,1.0,0,0,0,0,0,0
Row_34,20378,Hit Object,6.0,4.5,8.0,9.0,6,0,20534,1,1.0,0,0,0,0,0,0
Row_35,20691,Hit Object,6.0,4.5,8.0,9.0,2,0,20847,1,1.0,0,0,0,0,0,0
Row_36,21004,Hit Object,6.0,4.5,8.0,9.0,6,0,21160,1,1.0,0,0,0,0,0,0
Row_37,21317,Hit Object,6.0,4.5,8.0,9.0,2,0,21942,1,1.0,0,0,0,0,0,0
Row_38,22256,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,22569,Hit Object,6.0,4.5,8.0,9.0,6,0,22725,1,1.0,0,0,0,0,0,0
Row_40,22882,Hit Object,6.0,4.5,8.0,9.0,2,0,23038,1,1.0,0,0,0,0,0,0
Row_41,23195,Hit Object,6.0,4.5,8.0,9.0,2,0,23351,1,1.0,0,0,0,0,0,0
Row_42,23508,Hit Object,6.0,4.5,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
