Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4742,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_1,4743,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_2,5045,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_3,5085,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_4,5085,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-172.413793103448,4,0,0
Row_5,5085,Hit Object,5.8,4.0,9.2,9.3,2,0,5670,1,1.0,0,0,0,0,0,0
Row_6,5670,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_7,5982,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,6295,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_9,6295,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,7233,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7546,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_12,7546,Hit Object,5.8,4.0,9.2,9.3,2,0,8171,1,1.0,0,0,0,0,0,0
Row_13,8485,Hit Object,5.8,4.0,9.2,9.3,2,0,8797,1,1.0,0,0,0,0,0,0
Row_14,9737,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,10050,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_16,10050,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_17,10050,Hit Object,5.8,4.0,9.2,9.3,2,0,10988,1,1.0,0,0,0,0,0,0
Row_18,11301,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,12240,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_20,12553,Hit Object,5.8,4.0,9.2,9.3,2,0,13178,1,1.0,0,0,0,0,0,0
Row_21,13492,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,13805,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,14744,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_24,15057,Hit Object,5.8,4.0,9.2,9.3,2,0,15995,1,1.0,0,0,0,0,0,0
Row_25,16309,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,17248,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_27,17561,Hit Object,5.8,4.0,9.2,9.3,2,0,18186,1,1.0,0,0,0,0,0,0
Row_28,18500,Hit Object,5.8,4.0,9.2,9.3,2,0,18812,1,1.0,0,0,0,0,0,0
Row_29,19752,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_30,20065,Hit Object,5.8,4.0,9.2,9.3,2,0,20377,1,1.0,0,0,0,0,0,0
Row_31,20691,Hit Object,5.8,4.0,9.2,9.3,2,0,21003,1,1.0,0,0,0,0,0,0
Row_32,21317,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,22256,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_34,22569,Hit Object,5.8,4.0,9.2,9.3,2,0,22881,1,1.0,0,0,0,0,0,0
Row_35,23195,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,23508,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,23821,Hit Object,5.8,4.0,9.2,9.3,6,0,24916,1,1.0,0,0,0,0,0,0
Row_38,26328,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_39,26328,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_40,26328,Hit Object,5.8,4.0,9.2,9.3,6,0,26484,1,1.0,0,0,0,0,0,0
Row_41,26640,Hit Object,5.8,4.0,9.2,9.3,2,0,26796,1,1.0,0,0,0,0,0,0
Row_42,26953,Hit Object,5.8,4.0,9.2,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_43,27110,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_44,27266,Hit Object,5.8,4.0,9.2,9.3,2,0,27422,1,1.0,0,0,0,0,0,0
Row_45,27579,Hit Object,5.8,4.0,9.2,9.3,2,0,27891,1,1.0,0,0,0,0,0,0
Row_46,28205,Hit Object,5.8,4.0,9.2,9.3,6,0,28361,1,1.0,0,0,0,0,0,0
Row_47,28518,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_48,28675,Hit Object,5.8,4.0,9.2,9.3,2,0,29300,2,1.0,0,0,0,0,0,0
Row_49,29457,Hit Object,5.8,4.0,9.2,9.3,6,0,29613,1,1.0,0,0,0,0,0,0
Row_50,29770,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,29927,Hit Object,5.8,4.0,9.2,9.3,2,0,30552,2,1.0,0,0,0,0,0,0
Row_52,30709,Hit Object,5.8,4.0,9.2,9.3,2,0,30865,1,1.0,0,0,0,0,0,0
Row_53,31022,Hit Object,5.8,4.0,9.2,9.3,2,0,31178,1,1.0,0,0,0,0,0,0
Row_54,31335,Hit Object,5.8,4.0,9.2,9.3,6,0,31647,1,1.0,0,0,0,0,0,0
Row_55,31805,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,31961,Hit Object,5.8,4.0,9.2,9.3,6,0,32117,1,1.0,0,0,0,0,0,0
Row_57,32274,Hit Object,5.8,4.0,9.2,9.3,2,0,32430,1,1.0,0,0,0,0,0,0
Row_58,32587,Hit Object,5.8,4.0,9.2,9.3,2,0,32899,1,1.0,0,0,0,0,0,0
Row_59,33213,Hit Object,5.8,4.0,9.2,9.3,6,0,33369,1,1.0,0,0,0,0,0,0
Row_60,33526,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,33683,Hit Object,5.8,4.0,9.2,9.3,2,0,34308,2,1.0,0,0,0,0,0,0
Row_62,34465,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_63,34622,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_64,34778,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_65,34935,Hit Object,5.8,4.0,9.2,9.3,2,0,35560,2,1.0,0,0,0,0,0,0
Row_66,35717,Hit Object,5.8,4.0,9.2,9.3,2,0,35873,1,1.0,0,0,0,0,0,0
Row_67,36030,Hit Object,5.8,4.0,9.2,9.3,2,0,36186,1,1.0,0,0,0,0,0,0
Row_68,36343,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_69,36345,Timing Point,5.8,4.0,9.2,9.3,0,0,0,0,0,0,0,-100.0,4,0,0
Row_70,36500,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_71,36578,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_72,36656,Hit Object,5.8,4.0,9.2,9.3,2,0,36812,1,1.0,0,0,0,0,0,0
Row_73,36969,Hit Object,5.8,4.0,9.2,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_74,37126,Hit Object,5.8,4.0,9.2,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_75,37282,Hit Object,5.8,4.0,9.2,9.3,2,0,37438,1,1.0,0,0,0,0,0,0
Row_76,37595,Hit Object,5.8,4.0,9.2,9.3,2,0,37907,1,1.0,0,0,0,0,0,0
Row_77,38065,Hit Object,5.8,4.0,9.2,9.3,5,0,0,0,1.0,0,0,0,0,0,0
