Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4742,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_1,4743,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_2,5085,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_3,5085,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_4,5085,Hit Object,3.4,3.2,4.2,5.4,2,0,5670,1,1.0,0,0,0,0,0,0
Row_5,5670,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,5982,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,6295,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_8,6295,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_9,6295,Hit Object,3.4,3.2,4.2,5.4,2,0,6920,1,1.0,0,0,0,0,0,0
Row_10,7233,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7546,Hit Object,3.4,3.2,4.2,5.4,2,0,8171,1,1.0,0,0,0,0,0,0
Row_12,8485,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,8798,Hit Object,3.4,3.2,4.2,5.4,2,0,9423,1,1.0,0,0,0,0,0,0
Row_14,9737,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,10050,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_16,10050,Timing Point,3.4,3.2,4.2,5.4,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_17,10050,Hit Object,3.4,3.2,4.2,5.4,2,0,10675,1,1.0,0,0,0,0,0,0
Row_18,10988,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11301,Hit Object,3.4,3.2,4.2,5.4,2,0,11926,1,1.0,0,0,0,0,0,0
Row_20,12240,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_21,12553,Hit Object,3.4,3.2,4.2,5.4,2,0,13178,1,1.0,0,0,0,0,0,0
Row_22,13492,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13805,Hit Object,3.4,3.2,4.2,5.4,2,0,14430,1,1.0,0,0,0,0,0,0
Row_24,14744,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,15057,Hit Object,3.4,3.2,4.2,5.4,2,0,15369,1,1.0,0,0,0,0,0,0
Row_26,15683,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,15996,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,16309,Hit Object,3.4,3.2,4.2,5.4,2,0,16934,1,1.0,0,0,0,0,0,0
Row_29,17248,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_30,17561,Hit Object,3.4,3.2,4.2,5.4,2,0,17873,1,1.0,0,0,0,0,0,0
Row_31,18187,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,18500,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,18813,Hit Object,3.4,3.2,4.2,5.4,2,0,19438,1,1.0,0,0,0,0,0,0
Row_34,19752,Hit Object,3.4,3.2,4.2,5.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_35,20065,Hit Object,3.4,3.2,4.2,5.4,2,0,20690,2,1.0,0,0,0,0,0,0
Row_36,21004,Hit Object,3.4,3.2,4.2,5.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,21317,Hit Object,3.4,3.2,4.2,5.4,2,0,21942,1,1.0,0,0,0,0,0,0
