Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4743,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_1,5085,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_2,5085,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-294.117647058824,4,0,0
Row_3,5085,Hit Object,5.0,3.8,8.8,9.0,6,0,5670,1,1.0,0,0,0,0,0,0
Row_4,5670,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_5,5982,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,6295,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_7,6295,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-285.714285714286,4,0,0
Row_8,6295,Hit Object,5.0,3.8,8.8,9.0,2,0,7233,1,1.0,0,0,0,0,0,0
Row_9,7546,Hit Object,5.0,3.8,8.8,9.0,6,0,8171,1,1.0,0,0,0,0,0,0
Row_10,8485,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,8798,Hit Object,5.0,3.8,8.8,9.0,2,0,9423,1,1.0,0,0,0,0,0,0
Row_12,9737,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,10050,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_14,10050,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-285.714285714286,4,0,0
Row_15,10050,Hit Object,5.0,3.8,8.8,9.0,6,0,10675,1,1.0,0,0,0,0,0,0
Row_16,10988,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,11301,Hit Object,5.0,3.8,8.8,9.0,2,0,11926,1,1.0,0,0,0,0,0,0
Row_18,12240,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_19,12553,Hit Object,5.0,3.8,8.8,9.0,2,0,13178,1,1.0,0,0,0,0,0,0
Row_20,13492,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,13805,Hit Object,5.0,3.8,8.8,9.0,2,0,14430,1,1.0,0,0,0,0,0,0
Row_22,14744,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_23,15057,Hit Object,5.0,3.8,8.8,9.0,2,0,15682,1,1.0,0,0,0,0,0,0
Row_24,15996,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,16309,Hit Object,5.0,3.8,8.8,9.0,2,0,16934,1,1.0,0,0,0,0,0,0
Row_26,17248,Hit Object,5.0,3.8,8.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_27,17561,Hit Object,5.0,3.8,8.8,9.0,2,0,18186,1,1.0,0,0,0,0,0,0
Row_28,18500,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_29,18813,Hit Object,5.0,3.8,8.8,9.0,2,0,19438,1,1.0,0,0,0,0,0,0
Row_30,19752,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,20065,Hit Object,5.0,3.8,8.8,9.0,2,0,20377,1,1.0,0,0,0,0,0,0
Row_32,20691,Hit Object,5.0,3.8,8.8,9.0,2,0,21003,1,1.0,0,0,0,0,0,0
Row_33,21317,Hit Object,5.0,3.8,8.8,9.0,6,0,21942,1,1.0,0,0,0,0,0,0
Row_34,22256,Hit Object,5.0,3.8,8.8,9.0,6,0,22412,1,1.0,0,0,0,0,0,0
Row_35,22569,Hit Object,5.0,3.8,8.8,9.0,2,0,23507,3,1.0,0,0,0,0,0,0
Row_36,23821,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,23899,Hit Object,5.0,3.8,8.8,9.0,12,0,0,0,1.0,0,0,0,0,0,0
Row_38,25699,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_39,25699,Hit Object,5.0,3.8,8.8,9.0,6,0,26011,2,1.0,0,0,0,0,0,0
Row_40,26328,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_41,26328,Timing Point,5.0,3.8,8.8,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_42,26328,Hit Object,5.0,3.8,8.8,9.0,6,0,26640,1,1.0,0,0,0,0,0,0
Row_43,26797,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,26953,Hit Object,5.0,3.8,8.8,9.0,2,0,27109,1,1.0,0,0,0,0,0,0
Row_45,27266,Hit Object,5.0,3.8,8.8,9.0,2,0,27422,1,1.0,0,0,0,0,0,0
Row_46,27579,Hit Object,5.0,3.8,8.8,9.0,2,0,27891,1,1.0,0,0,0,0,0,0
Row_47,28205,Hit Object,5.0,3.8,8.8,9.0,6,0,28361,1,1.0,0,0,0,0,0,0
Row_48,28518,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,28675,Hit Object,5.0,3.8,8.8,9.0,2,0,28831,1,1.0,0,0,0,0,0,0
Row_50,28988,Hit Object,5.0,3.8,8.8,9.0,2,0,29300,1,1.0,0,0,0,0,0,0
Row_51,29457,Hit Object,5.0,3.8,8.8,9.0,6,0,29613,1,1.0,0,0,0,0,0,0
Row_52,29770,Hit Object,5.0,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,29927,Hit Object,5.0,3.8,8.8,9.0,2,0,30083,1,1.0,0,0,0,0,0,0
Row_54,30240,Hit Object,5.0,3.8,8.8,9.0,2,0,30552,1,1.0,0,0,0,0,0,0
Row_55,30709,Hit Object,5.0,3.8,8.8,9.0,2,0,30865,1,1.0,0,0,0,0,0,0
Row_56,31022,Hit Object,5.0,3.8,8.8,9.0,2,0,31178,1,1.0,0,0,0,0,0,0
Row_57,31335,Hit Object,5.0,3.8,8.8,9.0,6,0,31647,1,1.0,0,0,0,0,0,0
Row_58,31805,Hit Object,5.0,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_59,31961,Hit Object,5.0,3.8,8.8,9.0,2,0,32117,1,1.0,0,0,0,0,0,0
