Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4742,Hit Object,5.5,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_1,4743,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_2,5085,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_3,5085,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,0,-242.90243902439,4,0,0
Row_4,5085,Hit Object,5.5,4.0,9.0,9.3,2,0,5980,1,1.0,0,0,0,0,0,0
Row_5,5670,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,6295,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_7,6295,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,0,-238.095238095238,4,0,0
Row_8,6295,Hit Object,5.5,4.0,9.0,9.3,2,0,7233,1,1.0,0,0,0,0,0,0
Row_9,7546,Hit Object,5.5,4.0,9.0,9.3,6,0,8484,1,1.0,0,0,0,0,0,0
Row_10,8798,Hit Object,5.5,4.0,9.0,9.3,2,0,9736,1,1.0,0,0,0,0,0,0
Row_11,10050,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_12,10050,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,0,-192.307692307692,4,0,0
Row_13,10050,Hit Object,5.5,4.0,9.0,9.3,6,0,10988,1,1.0,0,0,0,0,0,0
Row_14,11301,Hit Object,5.5,4.0,9.0,9.3,2,0,12239,1,1.0,0,0,0,0,0,0
Row_15,12553,Hit Object,5.5,4.0,9.0,9.3,6,0,13491,1,1.0,0,0,0,0,0,0
Row_16,13805,Hit Object,5.5,4.0,9.0,9.3,2,0,14743,1,1.0,0,0,0,0,0,0
Row_17,15057,Hit Object,5.5,4.0,9.0,9.3,6,0,15526,1,1.0,0,0,0,0,0,0
Row_18,15683,Hit Object,5.5,4.0,9.0,9.3,2,0,15995,1,1.0,0,0,0,0,0,0
Row_19,16309,Hit Object,5.5,4.0,9.0,9.3,2,0,16934,1,1.0,0,0,0,0,0,0
Row_20,17248,Hit Object,5.5,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_21,17561,Hit Object,5.5,4.0,9.0,9.3,2,0,18030,1,1.0,0,0,0,0,0,0
Row_22,18187,Hit Object,5.5,4.0,9.0,9.3,2,0,18499,1,1.0,0,0,0,0,0,0
Row_23,18813,Hit Object,5.5,4.0,9.0,9.3,2,0,19438,1,1.0,0,0,0,0,0,0
Row_24,19752,Hit Object,5.5,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,20065,Hit Object,5.5,4.0,9.0,9.3,2,0,20377,1,1.0,0,0,0,0,0,0
Row_26,20691,Hit Object,5.5,4.0,9.0,9.3,2,0,21003,1,1.0,0,0,0,0,0,0
Row_27,21317,Hit Object,5.5,4.0,9.0,9.3,2,0,21942,1,1.0,0,0,0,0,0,0
Row_28,22256,Hit Object,5.5,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,22569,Hit Object,5.5,4.0,9.0,9.3,2,0,22881,1,1.0,0,0,0,0,0,0
Row_30,23195,Hit Object,5.5,4.0,9.0,9.3,2,0,23507,1,1.0,0,0,0,0,0,0
Row_31,23821,Hit Object,5.5,4.0,9.0,9.3,2,0,25072,2,1.0,0,0,0,0,0,0
Row_32,25699,Hit Object,5.5,4.0,9.0,9.3,6,0,26011,2,1.0,0,0,0,0,0,0
Row_33,26328,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_34,26328,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,0,-138.888888888889,4,0,0
Row_35,26328,Hit Object,5.5,4.0,9.0,9.3,6,0,26640,1,1.0,0,0,0,0,0,0
Row_36,26797,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_37,26953,Hit Object,5.5,4.0,9.0,9.3,2,0,27109,1,1.0,0,0,0,0,0,0
Row_38,27266,Hit Object,5.5,4.0,9.0,9.3,2,0,27422,1,1.0,0,0,0,0,0,0
Row_39,27579,Hit Object,5.5,4.0,9.0,9.3,2,0,27891,1,1.0,0,0,0,0,0,0
Row_40,28205,Hit Object,5.5,4.0,9.0,9.3,6,0,28517,2,1.0,0,0,0,0,0,0
Row_41,28675,Hit Object,5.5,4.0,9.0,9.3,2,0,28831,1,1.0,0,0,0,0,0,0
Row_42,28988,Hit Object,5.5,4.0,9.0,9.3,2,0,29300,1,1.0,0,0,0,0,0,0
Row_43,29457,Hit Object,5.5,4.0,9.0,9.3,6,0,29769,2,1.0,0,0,0,0,0,0
Row_44,29927,Hit Object,5.5,4.0,9.0,9.3,2,0,30083,1,1.0,0,0,0,0,0,0
Row_45,30240,Hit Object,5.5,4.0,9.0,9.3,2,0,30552,1,1.0,0,0,0,0,0,0
Row_46,30709,Hit Object,5.5,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_47,30866,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_48,31022,Hit Object,5.5,4.0,9.0,9.3,2,0,31178,1,1.0,0,0,0,0,0,0
Row_49,31335,Hit Object,5.5,4.0,9.0,9.3,6,0,31647,1,1.0,0,0,0,0,0,0
Row_50,31805,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,31961,Hit Object,5.5,4.0,9.0,9.3,2,0,32117,1,1.0,0,0,0,0,0,0
Row_52,32274,Hit Object,5.5,4.0,9.0,9.3,2,0,32430,1,1.0,0,0,0,0,0,0
Row_53,32587,Hit Object,5.5,4.0,9.0,9.3,2,0,32899,1,1.0,0,0,0,0,0,0
Row_54,33213,Hit Object,5.5,4.0,9.0,9.3,6,0,33525,2,1.0,0,0,0,0,0,0
Row_55,33683,Hit Object,5.5,4.0,9.0,9.3,2,0,33839,1,1.0,0,0,0,0,0,0
Row_56,33996,Hit Object,5.5,4.0,9.0,9.3,2,0,34308,1,1.0,0,0,0,0,0,0
Row_57,34465,Hit Object,5.5,4.0,9.0,9.3,6,0,34777,2,1.0,0,0,0,0,0,0
Row_58,34935,Hit Object,5.5,4.0,9.0,9.3,2,0,35091,1,1.0,0,0,0,0,0,0
Row_59,35248,Hit Object,5.5,4.0,9.0,9.3,2,0,35560,1,1.0,0,0,0,0,0,0
Row_60,35717,Hit Object,5.5,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_61,35874,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_62,36030,Hit Object,5.5,4.0,9.0,9.3,2,0,36264,1,1.0,0,0,0,0,0,0
Row_63,36343,Timing Point,5.5,4.0,9.0,9.3,0,0,0,0,0,0,0,-121.951219512195,4,0,0
Row_64,36343,Hit Object,5.5,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_65,36500,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_66,36578,Hit Object,5.5,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_67,36656,Hit Object,5.5,4.0,9.0,9.3,2,0,36812,1,1.0,0,0,0,0,0,0
