Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4742,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_1,4743,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_2,5085,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_3,5085,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,0,-285.714285714286,4,0,0
Row_4,5085,Hit Object,5.8,4.0,9.0,9.3,2,0,5670,1,1.0,0,0,0,0,0,0
Row_5,5670,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,5982,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,6295,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_8,6295,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,0,-285.714285714286,4,0,0
Row_9,6295,Hit Object,5.8,4.0,9.0,9.3,2,0,6920,1,1.0,0,0,0,0,0,0
Row_10,7233,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7546,Hit Object,5.8,4.0,9.0,9.3,2,0,8171,1,1.0,0,0,0,0,0,0
Row_12,8485,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,8798,Hit Object,5.8,4.0,9.0,9.3,2,0,9423,1,1.0,0,0,0,0,0,0
Row_14,9737,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,10050,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_16,10050,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,0,-285.714285714286,4,0,0
Row_17,10050,Hit Object,5.8,4.0,9.0,9.3,2,0,10675,1,1.0,0,0,0,0,0,0
Row_18,10988,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11301,Hit Object,5.8,4.0,9.0,9.3,2,0,11926,1,1.0,0,0,0,0,0,0
Row_20,12240,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_21,12553,Hit Object,5.8,4.0,9.0,9.3,2,0,13178,1,1.0,0,0,0,0,0,0
Row_22,13492,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13805,Hit Object,5.8,4.0,9.0,9.3,2,0,14430,1,1.0,0,0,0,0,0,0
Row_24,14744,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,15057,Hit Object,5.8,4.0,9.0,9.3,2,0,15682,1,1.0,0,0,0,0,0,0
Row_26,15996,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,16309,Hit Object,5.8,4.0,9.0,9.3,2,0,16934,1,1.0,0,0,0,0,0,0
Row_28,17248,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,17561,Hit Object,5.8,4.0,9.0,9.3,2,0,18186,1,1.0,0,0,0,0,0,0
Row_30,18500,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,18813,Hit Object,5.8,4.0,9.0,9.3,2,0,19438,1,1.0,0,0,0,0,0,0
Row_32,19752,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_33,20065,Hit Object,5.8,4.0,9.0,9.3,2,0,20690,2,1.0,0,0,0,0,0,0
Row_34,21004,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_35,21317,Hit Object,5.8,4.0,9.0,9.3,2,0,21629,1,1.0,0,0,0,0,0,0
Row_36,22256,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_37,22569,Hit Object,5.8,4.0,9.0,9.3,2,0,23194,2,1.0,0,0,0,0,0,0
Row_38,23508,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,23821,Hit Object,5.8,4.0,9.0,9.3,2,0,24916,1,1.0,0,0,0,0,0,0
Row_40,25699,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_41,25699,Hit Object,5.8,4.0,9.0,9.3,6,0,25855,1,1.0,0,0,0,0,0,0
Row_42,26012,Hit Object,5.8,4.0,9.0,9.3,2,0,26246,1,1.0,0,0,0,0,0,0
Row_43,26328,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_44,26328,Timing Point,5.8,4.0,9.0,9.3,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_45,26328,Hit Object,5.8,4.0,9.0,9.3,6,0,26640,1,1.0,0,0,0,0,0,0
Row_46,26797,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,26953,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,27110,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_49,27266,Hit Object,5.8,4.0,9.0,9.3,2,0,27422,1,1.0,0,0,0,0,0,0
Row_50,27579,Hit Object,5.8,4.0,9.0,9.3,2,0,27891,1,1.0,0,0,0,0,0,0
Row_51,28205,Hit Object,5.8,4.0,9.0,9.3,6,0,28361,1,1.0,0,0,0,0,0,0
Row_52,28518,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,28675,Hit Object,5.8,4.0,9.0,9.3,2,0,28831,1,1.0,0,0,0,0,0,0
Row_54,28988,Hit Object,5.8,4.0,9.0,9.3,2,0,29300,1,1.0,0,0,0,0,0,0
Row_55,29457,Hit Object,5.8,4.0,9.0,9.3,6,0,29613,1,1.0,0,0,0,0,0,0
Row_56,29770,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_57,29927,Hit Object,5.8,4.0,9.0,9.3,2,0,30083,1,1.0,0,0,0,0,0,0
Row_58,30240,Hit Object,5.8,4.0,9.0,9.3,2,0,30552,1,1.0,0,0,0,0,0,0
Row_59,30709,Hit Object,5.8,4.0,9.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_60,30866,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,31022,Hit Object,5.8,4.0,9.0,9.3,2,0,31178,1,1.0,0,0,0,0,0,0
Row_62,31335,Hit Object,5.8,4.0,9.0,9.3,6,0,31647,1,1.0,0,0,0,0,0,0
Row_63,31805,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_64,31961,Hit Object,5.8,4.0,9.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_65,32118,Hit Object,5.8,4.0,9.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
