Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4743,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_1,5085,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_2,5085,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_3,5085,Hit Object,5.0,3.6,6.0,8.0,6,0,5670,1,1.0,0,0,0,0,0,0
Row_4,5670,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_5,5982,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,6295,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_7,6295,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_8,6295,Hit Object,5.0,3.6,6.0,8.0,2,0,6920,1,1.0,0,0,0,0,0,0
Row_9,7233,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,7546,Hit Object,5.0,3.6,6.0,8.0,2,0,8171,1,1.0,0,0,0,0,0,0
Row_11,8485,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,8798,Hit Object,5.0,3.6,6.0,8.0,2,0,9423,1,1.0,0,0,0,0,0,0
Row_13,9737,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_14,10050,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_15,10050,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_16,10050,Hit Object,5.0,3.6,6.0,8.0,6,0,10675,1,1.0,0,0,0,0,0,0
Row_17,10425,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_18,10988,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11301,Hit Object,5.0,3.6,6.0,8.0,2,0,11926,1,1.0,0,0,0,0,0,0
Row_20,12240,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,12553,Hit Object,5.0,3.6,6.0,8.0,2,0,13178,1,1.0,0,0,0,0,0,0
Row_22,13492,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13805,Hit Object,5.0,3.6,6.0,8.0,2,0,14430,1,1.0,0,0,0,0,0,0
Row_24,14744,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,15057,Hit Object,5.0,3.6,6.0,8.0,6,0,15682,1,1.0,0,0,0,0,0,0
Row_26,15996,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,16309,Hit Object,5.0,3.6,6.0,8.0,2,0,16934,1,1.0,0,0,0,0,0,0
Row_28,17248,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_29,17561,Hit Object,5.0,3.6,6.0,8.0,2,0,18186,1,1.0,0,0,0,0,0,0
Row_30,18500,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,18813,Hit Object,5.0,3.6,6.0,8.0,2,0,19438,1,1.0,0,0,0,0,0,0
Row_32,19752,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,20065,Hit Object,5.0,3.6,6.0,8.0,6,0,20377,1,1.0,0,0,0,0,0,0
Row_34,20691,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_35,21004,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,21317,Hit Object,5.0,3.6,6.0,8.0,2,0,21942,1,1.0,0,0,0,0,0,0
Row_37,22256,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_38,22569,Hit Object,5.0,3.6,6.0,8.0,2,0,22881,1,1.0,0,0,0,0,0,0
Row_39,23195,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,23508,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,23821,Hit Object,5.0,3.6,6.0,8.0,6,0,25072,1,1.0,0,0,0,0,0,0
Row_42,25699,Hit Object,5.0,3.6,6.0,8.0,2,0,26011,2,1.0,0,0,0,0,0,0
Row_43,26328,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_44,26328,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_45,26328,Hit Object,5.0,3.6,6.0,8.0,6,0,26640,1,1.0,0,0,0,0,0,0
Row_46,26797,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,26953,Hit Object,5.0,3.6,6.0,8.0,2,0,27109,1,1.0,0,0,0,0,0,0
Row_48,27266,Hit Object,5.0,3.6,6.0,8.0,2,0,27422,1,1.0,0,0,0,0,0,0
Row_49,27579,Hit Object,5.0,3.6,6.0,8.0,2,0,27891,1,1.0,0,0,0,0,0,0
Row_50,28205,Hit Object,5.0,3.6,6.0,8.0,2,0,28361,1,1.0,0,0,0,0,0,0
Row_51,28518,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_52,28675,Hit Object,5.0,3.6,6.0,8.0,6,0,28831,1,1.0,0,0,0,0,0,0
Row_53,28988,Hit Object,5.0,3.6,6.0,8.0,2,0,29300,1,1.0,0,0,0,0,0,0
Row_54,29457,Hit Object,5.0,3.6,6.0,8.0,2,0,29613,1,1.0,0,0,0,0,0,0
Row_55,29770,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,29927,Hit Object,5.0,3.6,6.0,8.0,2,0,30083,1,1.0,0,0,0,0,0,0
Row_57,30240,Hit Object,5.0,3.6,6.0,8.0,2,0,30552,1,1.0,0,0,0,0,0,0
Row_58,30709,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_59,30866,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_60,31022,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_61,31335,Hit Object,5.0,3.6,6.0,8.0,6,0,31647,1,1.0,0,0,0,0,0,0
Row_62,31805,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_63,31961,Hit Object,5.0,3.6,6.0,8.0,2,0,32117,1,1.0,0,0,0,0,0,0
Row_64,32274,Hit Object,5.0,3.6,6.0,8.0,2,0,32430,1,1.0,0,0,0,0,0,0
Row_65,32587,Hit Object,5.0,3.6,6.0,8.0,2,0,32899,1,1.0,0,0,0,0,0,0
Row_66,33213,Hit Object,5.0,3.6,6.0,8.0,2,0,33369,1,1.0,0,0,0,0,0,0
Row_67,33526,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_68,33683,Hit Object,5.0,3.6,6.0,8.0,6,0,33839,1,1.0,0,0,0,0,0,0
Row_69,33996,Hit Object,5.0,3.6,6.0,8.0,2,0,34308,1,1.0,0,0,0,0,0,0
Row_70,34465,Hit Object,5.0,3.6,6.0,8.0,2,0,34621,1,1.0,0,0,0,0,0,0
Row_71,34778,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_72,34935,Hit Object,5.0,3.6,6.0,8.0,2,0,35091,1,1.0,0,0,0,0,0,0
Row_73,35248,Hit Object,5.0,3.6,6.0,8.0,2,0,35560,1,1.0,0,0,0,0,0,0
Row_74,35717,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_75,35874,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_76,36030,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_77,36343,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_78,36343,Hit Object,5.0,3.6,6.0,8.0,6,0,36655,1,1.0,0,0,0,0,0,0
Row_79,36813,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_80,36969,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_81,37126,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,37282,Hit Object,5.0,3.6,6.0,8.0,2,0,37438,1,1.0,0,0,0,0,0,0
Row_83,37595,Hit Object,5.0,3.6,6.0,8.0,2,0,37907,1,1.0,0,0,0,0,0,0
Row_84,38065,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_85,38221,Hit Object,5.0,3.6,6.0,8.0,2,0,38377,1,1.0,0,0,0,0,0,0
Row_86,38534,Hit Object,5.0,3.6,6.0,8.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_87,38612,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_88,38691,Hit Object,5.0,3.6,6.0,8.0,2,0,38847,1,1.0,0,0,0,0,0,0
Row_89,39004,Hit Object,5.0,3.6,6.0,8.0,2,0,39316,1,1.0,0,0,0,0,0,0
Row_90,39473,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_91,39630,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_92,39786,Hit Object,5.0,3.6,6.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_93,39943,Hit Object,5.0,3.6,6.0,8.0,6,0,40099,1,1.0,0,0,0,0,0,0
Row_94,40256,Hit Object,5.0,3.6,6.0,8.0,2,0,40568,1,1.0,0,0,0,0,0,0
Row_95,40725,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_96,40881,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_97,41038,Hit Object,5.0,3.6,6.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_98,41351,Hit Object,5.0,3.6,6.0,8.0,6,0,41663,1,1.0,0,0,0,0,0,0
Row_99,41820,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_100,41977,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_101,42133,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_102,42290,Hit Object,5.0,3.6,6.0,8.0,2,0,42446,1,1.0,0,0,0,0,0,0
Row_103,42603,Hit Object,5.0,3.6,6.0,8.0,2,0,42915,1,1.0,0,0,0,0,0,0
Row_104,43072,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_105,43229,Hit Object,5.0,3.6,6.0,8.0,2,0,43385,1,1.0,0,0,0,0,0,0
Row_106,43542,Hit Object,5.0,3.6,6.0,8.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_107,43620,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_108,43698,Hit Object,5.0,3.6,6.0,8.0,2,0,43854,1,1.0,0,0,0,0,0,0
Row_109,44011,Hit Object,5.0,3.6,6.0,8.0,2,0,44323,1,1.0,0,0,0,0,0,0
Row_110,44481,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_111,44637,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_112,44794,Hit Object,5.0,3.6,6.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_113,44950,Hit Object,5.0,3.6,6.0,8.0,6,0,45106,1,1.0,0,0,0,0,0,0
Row_114,45263,Hit Object,5.0,3.6,6.0,8.0,2,0,45575,1,1.0,0,0,0,0,0,0
Row_115,45733,Hit Object,5.0,3.6,6.0,8.0,2,0,45889,1,1.0,0,0,0,0,0,0
Row_116,46046,Hit Object,5.0,3.6,6.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_117,46124,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_118,46202,Hit Object,5.0,3.6,6.0,8.0,2,0,46358,2,1.0,0,0,0,0,0,0
Row_119,46672,Hit Object,5.0,3.6,6.0,8.0,6,0,46828,1,1.0,0,0,0,0,0,0
Row_120,46985,Hit Object,5.0,3.6,6.0,8.0,2,0,47141,1,1.0,0,0,0,0,0,0
Row_121,47298,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_122,47454,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_123,47611,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_124,47611,Hit Object,5.0,3.6,6.0,8.0,1,6,0,0,1.0,0,0,0,0,0,0
Row_125,47811,Break,5.0,3.6,6.0,8.0,0,0,0,0,0,51712,0,0,0,0,0
Row_126,52462,Hit Object,5.0,3.6,6.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_127,52619,Hit Object,5.0,3.6,6.0,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_128,53871,Hit Object,5.0,3.6,6.0,8.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_129,54966,Hit Object,5.0,3.6,6.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_130,55122,Hit Object,5.0,3.6,6.0,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_131,55748,Hit Object,5.0,3.6,6.0,8.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_132,56218,Hit Object,5.0,3.6,6.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_133,56374,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-74.0740740740741,4,0,0
Row_134,56374,Hit Object,5.0,3.6,6.0,8.0,2,0,56608,6,1.0,0,0,0,0,0,0
Row_135,56687,Hit Object,5.0,3.6,6.0,8.0,2,0,56921,6,1.0,0,0,0,0,0,0
Row_136,57000,Hit Object,5.0,3.6,6.0,8.0,2,0,57234,6,1.0,0,0,0,0,0,0
Row_137,57313,Hit Object,5.0,3.6,6.0,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_138,57470,Hit Object,5.0,3.6,6.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_139,57626,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-95.2380952380952,4,0,0
Row_140,57626,Hit Object,5.0,3.6,6.0,8.0,6,0,57782,1,1.0,0,0,0,0,0,0
Row_141,57939,Hit Object,5.0,3.6,6.0,8.0,2,0,58095,1,1.0,0,0,0,0,0,0
Row_142,58252,Hit Object,5.0,3.6,6.0,8.0,2,0,58564,1,1.0,0,0,0,0,0,0
Row_143,58722,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_144,58878,Hit Object,5.0,3.6,6.0,8.0,2,0,59034,1,1.0,0,0,0,0,0,0
Row_145,59191,Hit Object,5.0,3.6,6.0,8.0,2,0,59347,1,1.0,0,0,0,0,0,0
Row_146,59504,Hit Object,5.0,3.6,6.0,8.0,2,0,59816,1,1.0,0,0,0,0,0,0
Row_147,59974,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_148,60130,Hit Object,5.0,3.6,6.0,8.0,6,0,60286,1,1.0,0,0,0,0,0,0
Row_149,60443,Hit Object,5.0,3.6,6.0,8.0,2,0,60599,1,1.0,0,0,0,0,0,0
Row_150,60756,Hit Object,5.0,3.6,6.0,8.0,2,0,61068,1,1.0,0,0,0,0,0,0
Row_151,61226,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_152,61382,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_153,61695,Hit Object,5.0,3.6,6.0,8.0,6,0,61851,1,1.0,0,0,0,0,0,0
Row_154,62008,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_155,62165,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_156,62321,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_157,62478,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_158,62634,Hit Object,5.0,3.6,6.0,8.0,6,0,62790,1,1.0,0,0,0,0,0,0
Row_159,62947,Hit Object,5.0,3.6,6.0,8.0,2,0,63103,1,1.0,0,0,0,0,0,0
Row_160,63260,Hit Object,5.0,3.6,6.0,8.0,2,0,63572,1,1.0,0,0,0,0,0,0
Row_161,63730,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_162,63886,Hit Object,5.0,3.6,6.0,8.0,2,0,64042,1,1.0,0,0,0,0,0,0
Row_163,64199,Hit Object,5.0,3.6,6.0,8.0,2,0,64355,1,1.0,0,0,0,0,0,0
Row_164,64512,Hit Object,5.0,3.6,6.0,8.0,2,0,64668,1,1.0,0,0,0,0,0,0
Row_165,64825,Hit Object,5.0,3.6,6.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_166,64982,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_167,65138,Hit Object,5.0,3.6,6.0,8.0,6,0,65294,1,1.0,0,0,0,0,0,0
Row_168,65451,Hit Object,5.0,3.6,6.0,8.0,2,0,65607,1,1.0,0,0,0,0,0,0
Row_169,65764,Hit Object,5.0,3.6,6.0,8.0,2,0,66076,1,1.0,0,0,0,0,0,0
Row_170,66234,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_171,66390,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_172,66703,Hit Object,5.0,3.6,6.0,8.0,6,0,66859,1,1.0,0,0,0,0,0,0
Row_173,67016,Hit Object,5.0,3.6,6.0,8.0,2,0,67172,1,1.0,0,0,0,0,0,0
Row_174,67329,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_175,67331,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-95.2380952380952,4,0,0
Row_176,67486,Hit Object,5.0,3.6,6.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_177,67642,Timing Point,5.0,3.6,6.0,8.0,0,0,0,0,0,0,0,-86.9565217391304,4,1,0
Row_178,67642,Hit Object,5.0,3.6,6.0,8.0,6,0,67798,1,1.0,0,0,0,0,0,0
Row_179,67955,Hit Object,5.0,3.6,6.0,8.0,2,0,68111,1,1.0,0,0,0,0,0,0
