Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4743,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_1,5085,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_2,5085,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_3,5085,Hit Object,5.3,3.1,9.0,9.2,6,0,5670,1,1.0,0,0,0,0,0,0
Row_4,5670,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_5,5982,Hit Object,5.3,3.1,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,6295,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_7,6295,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_8,6295,Hit Object,5.3,3.1,9.0,9.2,2,0,6607,1,1.0,0,0,0,0,0,0
Row_9,7233,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_10,7233,Hit Object,5.3,3.1,9.0,9.2,2,0,7389,1,1.0,0,0,0,0,0,0
Row_11,7546,Hit Object,5.3,3.1,9.0,9.2,6,0,8015,1,1.0,0,0,0,0,0,0
Row_12,8172,Hit Object,5.3,3.1,9.0,9.2,2,0,8328,1,1.0,0,0,0,0,0,0
Row_13,8485,Hit Object,5.3,3.1,9.0,9.2,2,0,8641,1,1.0,0,0,0,0,0,0
Row_14,8798,Hit Object,5.3,3.1,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_15,9737,Hit Object,5.3,3.1,9.0,9.2,2,0,9893,1,1.0,0,0,0,0,0,0
Row_16,10050,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_17,10050,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_18,10050,Hit Object,5.3,3.1,9.0,9.2,6,0,11301,2,1.0,0,0,0,0,0,0
Row_19,12240,Hit Object,5.3,3.1,9.0,9.2,2,0,12396,1,1.0,0,0,0,0,0,0
Row_20,12553,Hit Object,5.3,3.1,9.0,9.2,6,0,13022,1,1.0,0,0,0,0,0,0
Row_21,13179,Hit Object,5.3,3.1,9.0,9.2,2,0,13804,2,1.0,0,0,0,0,0,0
Row_22,14744,Hit Object,5.3,3.1,9.0,9.2,2,0,14900,1,1.0,0,0,0,0,0,0
Row_23,15057,Hit Object,5.3,3.1,9.0,9.2,6,0,15526,1,1.0,0,0,0,0,0,0
Row_24,15683,Hit Object,5.3,3.1,9.0,9.2,2,0,15839,1,1.0,0,0,0,0,0,0
Row_25,15996,Hit Object,5.3,3.1,9.0,9.2,2,0,16152,1,1.0,0,0,0,0,0,0
Row_26,16309,Hit Object,5.3,3.1,9.0,9.2,6,0,16621,1,1.0,0,0,0,0,0,0
Row_27,17248,Hit Object,5.3,3.1,9.0,9.2,2,0,17404,1,1.0,0,0,0,0,0,0
Row_28,17561,Hit Object,5.3,3.1,9.0,9.2,6,0,18030,1,1.0,0,0,0,0,0,0
Row_29,18187,Hit Object,5.3,3.1,9.0,9.2,2,0,18812,2,1.0,0,0,0,0,0,0
Row_30,19752,Hit Object,5.3,3.1,9.0,9.2,2,0,20377,2,1.0,0,0,0,0,0,0
Row_31,20691,Hit Object,5.3,3.1,9.0,9.2,6,0,20847,1,1.0,0,0,0,0,0,0
Row_32,21004,Hit Object,5.3,3.1,9.0,9.2,2,0,21160,1,1.0,0,0,0,0,0,0
Row_33,21317,Hit Object,5.3,3.1,9.0,9.2,2,0,21629,1,1.0,0,0,0,0,0,0
Row_34,22256,Hit Object,5.3,3.1,9.0,9.2,2,0,22412,1,1.0,0,0,0,0,0,0
Row_35,22569,Hit Object,5.3,3.1,9.0,9.2,6,0,22881,1,1.0,0,0,0,0,0,0
Row_36,23039,Hit Object,5.3,3.1,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_37,23195,Hit Object,5.3,3.1,9.0,9.2,2,0,23351,1,1.0,0,0,0,0,0,0
Row_38,23508,Hit Object,5.3,3.1,9.0,9.2,2,0,23664,1,1.0,0,0,0,0,0,0
Row_39,23821,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-125.0,4,0,0
Row_40,23821,Hit Object,5.3,3.1,9.0,9.2,6,0,25072,1,1.0,0,0,0,0,0,0
Row_41,25699,Hit Object,5.3,3.1,9.0,9.2,2,0,25855,1,1.0,0,0,0,0,0,0
Row_42,26012,Hit Object,5.3,3.1,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_43,26328,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_44,26328,Timing Point,5.3,3.1,9.0,9.2,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_45,26328,Hit Object,5.3,3.1,9.0,9.2,6,0,26640,1,1.0,0,0,0,0,0,0
Row_46,26797,Hit Object,5.3,3.1,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,26953,Hit Object,5.3,3.1,9.0,9.2,2,0,27109,1,1.0,0,0,0,0,0,0
Row_48,27266,Hit Object,5.3,3.1,9.0,9.2,2,0,27422,1,1.0,0,0,0,0,0,0
Row_49,27579,Hit Object,5.3,3.1,9.0,9.2,6,0,27891,1,1.0,0,0,0,0,0,0
