Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4743,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_1,5085,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_2,5085,Hit Object,3.0,3.0,3.0,4.0,6,0,5670,1,1.0,0,0,0,0,0,0
Row_3,5670,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_4,5670,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_5,6295,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,6295,Hit Object,3.0,3.0,3.0,4.0,2,0,6920,1,1.0,0,0,0,0,0,0
Row_7,6296,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_8,6921,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_9,7546,Hit Object,3.0,3.0,3.0,4.0,2,0,8171,1,1.0,0,0,0,0,0,0
Row_10,7548,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_11,8798,Hit Object,3.0,3.0,3.0,4.0,2,0,9423,1,1.0,0,0,0,0,0,0
Row_12,9425,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_13,10050,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_14,10050,Hit Object,3.0,3.0,3.0,4.0,2,0,11301,2,1.0,0,0,0,0,0,0
Row_15,10052,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_16,10677,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_17,11303,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_18,12240,Hit Object,3.0,3.0,3.0,4.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_19,12553,Hit Object,3.0,3.0,3.0,4.0,2,0,13178,1,1.0,0,0,0,0,0,0
Row_20,13805,Hit Object,3.0,3.0,3.0,4.0,2,0,14430,1,1.0,0,0,0,0,0,0
