Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4743,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,342.857142857143,4,0,0
Row_1,5045,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,5085,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,292.540224280839,4,0,0
Row_3,5085,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_4,5085,Hit Object,4.0,4.0,5.0,7.5,6,0,5670,1,1.0,0,0,0,0,0,0
Row_5,5670,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_6,5982,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,6295,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_8,6295,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_9,6295,Hit Object,4.0,4.0,5.0,7.5,2,0,6920,1,1.0,0,0,0,0,0,0
Row_10,7233,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7546,Hit Object,4.0,4.0,5.0,7.5,2,0,8171,1,1.0,0,0,0,0,0,0
Row_12,8485,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,8798,Hit Object,4.0,4.0,5.0,7.5,2,0,9423,1,1.0,0,0,0,0,0,0
Row_14,9737,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,10050,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_16,10050,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_17,10050,Hit Object,4.0,4.0,5.0,7.5,2,0,10675,1,1.0,0,0,0,0,0,0
Row_18,10988,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,11301,Hit Object,4.0,4.0,5.0,7.5,2,0,11926,1,1.0,0,0,0,0,0,0
Row_20,12240,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_21,12553,Hit Object,4.0,4.0,5.0,7.5,2,0,13178,1,1.0,0,0,0,0,0,0
Row_22,13492,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13805,Hit Object,4.0,4.0,5.0,7.5,2,0,14430,1,1.0,0,0,0,0,0,0
Row_24,14744,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,15057,Hit Object,4.0,4.0,5.0,7.5,2,0,15682,1,1.0,0,0,0,0,0,0
Row_26,15996,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,16309,Hit Object,4.0,4.0,5.0,7.5,2,0,16934,1,1.0,0,0,0,0,0,0
Row_28,17248,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,17561,Hit Object,4.0,4.0,5.0,7.5,2,0,17873,1,1.0,0,0,0,0,0,0
Row_30,18187,Hit Object,4.0,4.0,5.0,7.5,2,0,18499,1,1.0,0,0,0,0,0,0
Row_31,18813,Hit Object,4.0,4.0,5.0,7.5,2,0,19438,1,1.0,0,0,0,0,0,0
Row_32,19752,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_33,20065,Hit Object,4.0,4.0,5.0,7.5,2,0,20377,1,1.0,0,0,0,0,0,0
Row_34,20691,Hit Object,4.0,4.0,5.0,7.5,2,0,21003,1,1.0,0,0,0,0,0,0
Row_35,21317,Hit Object,4.0,4.0,5.0,7.5,2,0,21942,1,1.0,0,0,0,0,0,0
Row_36,22256,Hit Object,4.0,4.0,5.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_37,22569,Hit Object,4.0,4.0,5.0,7.5,2,0,22881,1,1.0,0,0,0,0,0,0
Row_38,23195,Hit Object,4.0,4.0,5.0,7.5,2,0,23507,1,1.0,0,0,0,0,0,0
Row_39,23821,Hit Object,4.0,4.0,5.0,7.5,2,0,25072,1,1.0,0,0,0,0,0,0
Row_40,25699,Hit Object,4.0,4.0,5.0,7.5,6,0,26011,2,1.0,0,0,0,0,0,0
Row_41,26328,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,1,312.989045383412,4,0,0
Row_42,26328,Hit Object,4.0,4.0,5.0,7.5,6,0,26640,1,1.0,0,0,0,0,0,0
Row_43,26797,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,26953,Hit Object,4.0,4.0,5.0,7.5,2,0,27265,2,1.0,0,0,0,0,0,0
Row_45,27579,Hit Object,4.0,4.0,5.0,7.5,2,0,27891,1,1.0,0,0,0,0,0,0
Row_46,28205,Hit Object,4.0,4.0,5.0,7.5,6,0,28361,1,1.0,0,0,0,0,0,0
Row_47,28518,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,28675,Hit Object,4.0,4.0,5.0,7.5,2,0,29300,2,1.0,0,0,0,0,0,0
Row_49,29457,Hit Object,4.0,4.0,5.0,7.5,2,0,29613,1,1.0,0,0,0,0,0,0
Row_50,29770,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,29927,Hit Object,4.0,4.0,5.0,7.5,2,0,30552,2,1.0,0,0,0,0,0,0
Row_52,30709,Hit Object,4.0,4.0,5.0,7.5,2,0,31021,2,1.0,0,0,0,0,0,0
Row_53,31335,Hit Object,4.0,4.0,5.0,7.5,6,0,31647,1,1.0,0,0,0,0,0,0
Row_54,31805,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,31961,Hit Object,4.0,4.0,5.0,7.5,2,0,32117,1,1.0,0,0,0,0,0,0
Row_56,32274,Hit Object,4.0,4.0,5.0,7.5,2,0,32899,2,1.0,0,0,0,0,0,0
Row_57,33213,Hit Object,4.0,4.0,5.0,7.5,6,0,33369,1,1.0,0,0,0,0,0,0
Row_58,33526,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_59,33683,Hit Object,4.0,4.0,5.0,7.5,2,0,34308,2,1.0,0,0,0,0,0,0
Row_60,34465,Hit Object,4.0,4.0,5.0,7.5,6,0,34621,1,1.0,0,0,0,0,0,0
Row_61,34778,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_62,34935,Hit Object,4.0,4.0,5.0,7.5,2,0,35560,2,1.0,0,0,0,0,0,0
Row_63,35717,Hit Object,4.0,4.0,5.0,7.5,2,0,36029,2,1.0,0,0,0,0,0,0
Row_64,36343,Hit Object,4.0,4.0,5.0,7.5,6,0,36655,1,1.0,0,0,0,0,0,0
Row_65,36345,Timing Point,4.0,4.0,5.0,7.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_66,36813,Hit Object,4.0,4.0,5.0,7.5,2,0,37125,1,1.0,0,0,0,0,0,0
Row_67,37282,Hit Object,4.0,4.0,5.0,7.5,2,0,37438,1,1.0,0,0,0,0,0,0
Row_68,37595,Hit Object,4.0,4.0,5.0,7.5,6,0,37907,1,1.0,0,0,0,0,0,0
Row_69,38065,Hit Object,4.0,4.0,5.0,7.5,2,0,38377,1,1.0,0,0,0,0,0,0
Row_70,38534,Hit Object,4.0,4.0,5.0,7.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_71,38847,Hit Object,4.0,4.0,5.0,7.5,6,0,39159,1,1.0,0,0,0,0,0,0
Row_72,39317,Hit Object,4.0,4.0,5.0,7.5,2,0,39629,1,1.0,0,0,0,0,0,0
Row_73,39786,Hit Object,4.0,4.0,5.0,7.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_74,39943,Hit Object,4.0,4.0,5.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_75,40099,Hit Object,4.0,4.0,5.0,7.5,6,0,40411,1,1.0,0,0,0,0,0,0
Row_76,40569,Hit Object,4.0,4.0,5.0,7.5,2,0,40881,1,1.0,0,0,0,0,0,0
Row_77,41038,Hit Object,4.0,4.0,5.0,7.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_78,41351,Hit Object,4.0,4.0,5.0,7.5,6,0,41663,1,1.0,0,0,0,0,0,0
Row_79,41820,Hit Object,4.0,4.0,5.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_80,41977,Hit Object,4.0,4.0,5.0,7.5,2,0,42133,1,1.0,0,0,0,0,0,0
Row_81,42290,Hit Object,4.0,4.0,5.0,7.5,2,0,42446,1,1.0,0,0,0,0,0,0
Row_82,42603,Hit Object,4.0,4.0,5.0,7.5,6,0,42915,1,1.0,0,0,0,0,0,0
