Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,4415,Hit Object,4.0,2.8,4.0,5.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_3,4615,Break,4.0,2.8,4.0,5.0,0,0,0,0,0,11942,0,0,0,0,0
Row_4,12460,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_5,12596,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_6,13005,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_7,13142,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_8,13142,Hit Object,4.0,2.8,4.0,5.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,13342,Break,4.0,2.8,4.0,5.0,0,0,0,0,0,20669,0,0,0,0,0
Row_10,21733,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_11,21869,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_12,21869,Hit Object,4.0,2.8,4.0,5.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_13,22069,Break,4.0,2.8,4.0,5.0,0,0,0,0,0,27215,0,0,0,0,0
Row_14,26233,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_15,28415,Hit Object,4.0,2.8,4.0,5.0,6,0,29233,1,1.0,0,0,0,0,0,0
Row_16,29505,Hit Object,4.0,2.8,4.0,5.0,2,0,30050,1,1.0,0,0,0,0,0,0
Row_17,30596,Hit Object,4.0,2.8,4.0,5.0,6,0,31141,1,1.0,0,0,0,0,0,0
Row_18,31687,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,32233,Hit Object,4.0,2.8,4.0,5.0,2,0,33869,1,1.0,0,0,0,0,0,0
Row_20,34415,Hit Object,4.0,2.8,4.0,5.0,2,0,34960,1,1.0,0,0,0,0,0,0
Row_21,35505,Hit Object,4.0,2.8,4.0,5.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,36051,Hit Object,4.0,2.8,4.0,5.0,2,0,36596,1,1.0,0,0,0,0,0,0
Row_23,37142,Hit Object,4.0,2.8,4.0,5.0,2,0,37960,1,1.0,0,0,0,0,0,0
Row_24,38233,Hit Object,4.0,2.8,4.0,5.0,2,0,38778,1,1.0,0,0,0,0,0,0
Row_25,39324,Hit Object,4.0,2.8,4.0,5.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_26,39524,Break,4.0,2.8,4.0,5.0,0,0,0,0,0,55033,0,0,0,0,0
Row_27,56233,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_28,56233,Hit Object,4.0,2.8,4.0,5.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_29,56778,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_30,56778,Hit Object,4.0,2.8,4.0,5.0,6,0,57323,1,1.0,0,0,0,0,0,0
Row_31,57596,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,57869,Hit Object,4.0,2.8,4.0,5.0,2,0,58141,1,1.0,0,0,0,0,0,0
Row_33,58415,Hit Object,4.0,2.8,4.0,5.0,2,0,58687,1,1.0,0,0,0,0,0,0
Row_34,58960,Hit Object,4.0,2.8,4.0,5.0,6,0,59505,1,1.0,0,0,0,0,0,0
Row_35,59778,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,60051,Hit Object,4.0,2.8,4.0,5.0,2,0,60323,1,1.0,0,0,0,0,0,0
Row_37,60596,Hit Object,4.0,2.8,4.0,5.0,2,0,60868,1,1.0,0,0,0,0,0,0
Row_38,61142,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_39,61142,Hit Object,4.0,2.8,4.0,5.0,6,0,61687,1,1.0,0,0,0,0,0,0
Row_40,61960,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,62233,Hit Object,4.0,2.8,4.0,5.0,2,0,62505,1,1.0,0,0,0,0,0,0
Row_42,62778,Hit Object,4.0,2.8,4.0,5.0,2,0,63050,1,1.0,0,0,0,0,0,0
Row_43,63324,Hit Object,4.0,2.8,4.0,5.0,6,0,63869,1,1.0,0,0,0,0,0,0
Row_44,64142,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_45,64415,Hit Object,4.0,2.8,4.0,5.0,2,0,64687,1,1.0,0,0,0,0,0,0
Row_46,64960,Hit Object,4.0,2.8,4.0,5.0,2,0,65232,1,1.0,0,0,0,0,0,0
Row_47,65505,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_48,65505,Hit Object,4.0,2.8,4.0,5.0,6,0,65777,1,1.0,0,0,0,0,0,0
Row_49,66051,Hit Object,4.0,2.8,4.0,5.0,2,0,66323,1,1.0,0,0,0,0,0,0
Row_50,66596,Hit Object,4.0,2.8,4.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,66869,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_52,67142,Hit Object,4.0,2.8,4.0,5.0,2,0,67414,1,1.0,0,0,0,0,0,0
Row_53,67687,Hit Object,4.0,2.8,4.0,5.0,6,0,67959,1,1.0,0,0,0,0,0,0
Row_54,68233,Hit Object,4.0,2.8,4.0,5.0,2,0,68505,1,1.0,0,0,0,0,0,0
Row_55,68778,Hit Object,4.0,2.8,4.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,69051,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_57,69324,Hit Object,4.0,2.8,4.0,5.0,2,0,69596,1,1.0,0,0,0,0,0,0
Row_58,69869,Hit Object,4.0,2.8,4.0,5.0,6,0,70141,1,1.0,0,0,0,0,0,0
Row_59,70415,Hit Object,4.0,2.8,4.0,5.0,2,0,70687,1,1.0,0,0,0,0,0,0
Row_60,70960,Hit Object,4.0,2.8,4.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,71233,Hit Object,4.0,2.8,4.0,5.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_62,71505,Hit Object,4.0,2.8,4.0,5.0,2,0,71777,1,1.0,0,0,0,0,0,0
Row_63,72051,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_64,72051,Hit Object,4.0,2.8,4.0,5.0,6,0,73141,2,1.0,0,0,0,0,0,0
Row_65,72596,Timing Point,4.0,2.8,4.0,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
