Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_2,4415,Hit Object,5.0,3.8,9.2,9.6,6,0,10687,1,1.0,0,0,0,0,0,0
Row_3,10960,Hit Object,5.0,3.8,9.2,9.6,6,0,11778,2,1.0,0,0,0,0,0,0
Row_4,12051,Hit Object,5.0,3.8,9.2,9.6,2,0,12460,1,1.0,0,0,0,0,0,0
Row_5,12460,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_6,12596,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_7,12596,Hit Object,5.0,3.8,9.2,9.6,2,0,13005,1,1.0,0,0,0,0,0,0
Row_8,13005,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_9,13142,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_10,13142,Hit Object,5.0,3.8,9.2,9.6,6,0,14232,1,1.0,0,0,0,0,0,0
Row_11,14642,Hit Object,5.0,3.8,9.2,9.6,2,0,15051,1,1.0,0,0,0,0,0,0
Row_12,15324,Hit Object,5.0,3.8,9.2,9.6,6,0,16414,1,1.0,0,0,0,0,0,0
Row_13,16824,Hit Object,5.0,3.8,9.2,9.6,2,0,17233,1,1.0,0,0,0,0,0,0
Row_14,17505,Hit Object,5.0,3.8,9.2,9.6,6,0,19414,1,1.0,0,0,0,0,0,0
Row_15,19687,Hit Object,5.0,3.8,9.2,9.6,6,0,20505,2,1.0,0,0,0,0,0,0
Row_16,20778,Hit Object,5.0,3.8,9.2,9.6,2,0,21732,1,1.0,0,0,0,0,0,0
Row_17,21733,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_18,21869,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-161.290322580645,4,0,0
Row_19,21869,Hit Object,5.0,3.8,9.2,9.6,6,0,22414,1,1.0,0,0,0,0,0,0
Row_20,22960,Hit Object,5.0,3.8,9.2,9.6,2,0,23505,1,1.0,0,0,0,0,0,0
Row_21,24051,Hit Object,5.0,3.8,9.2,9.6,2,0,24596,1,1.0,0,0,0,0,0,0
Row_22,24869,Hit Object,5.0,3.8,9.2,9.6,2,0,25141,1,1.0,0,0,0,0,0,0
Row_23,25415,Hit Object,5.0,3.8,9.2,9.6,2,0,25687,1,1.0,0,0,0,0,0,0
Row_24,25960,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,26233,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-192.307692307692,4,0,0
Row_26,26233,Hit Object,5.0,3.8,9.2,9.6,6,0,28278,1,1.0,0,0,0,0,0,0
Row_27,28415,Hit Object,5.0,3.8,9.2,9.6,2,0,29233,2,1.0,0,0,0,0,0,0
Row_28,29505,Hit Object,5.0,3.8,9.2,9.6,2,0,30595,2,1.0,0,0,0,0,0,0
Row_29,31142,Hit Object,5.0,3.8,9.2,9.6,5,2,0,0,1.0,0,0,0,0,0,0
Row_30,31687,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,32233,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,32778,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-161.290322580645,4,0,0
Row_33,32778,Hit Object,5.0,3.8,9.2,9.6,2,0,33596,1,1.0,0,0,0,0,0,0
Row_34,33869,Hit Object,5.0,3.8,9.2,9.6,2,0,34141,1,1.0,0,0,0,0,0,0
Row_35,34415,Hit Object,5.0,3.8,9.2,9.6,2,0,34687,1,1.0,0,0,0,0,0,0
Row_36,34960,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,35505,Hit Object,5.0,3.8,9.2,9.6,6,0,36595,2,1.0,0,0,0,0,0,0
Row_38,36869,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,37142,Hit Object,5.0,3.8,9.2,9.6,2,0,37960,2,1.0,0,0,0,0,0,0
Row_40,38233,Hit Object,5.0,3.8,9.2,9.6,2,0,38778,1,1.0,0,0,0,0,0,0
Row_41,39324,Hit Object,5.0,3.8,9.2,9.6,5,4,0,0,1.0,0,0,0,0,0,0
Row_42,39524,Break,5.0,3.8,9.2,9.6,0,0,0,0,0,55708,0,0,0,0,0
Row_43,56233,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-61.7283950617284,4,0,0
Row_44,56233,Hit Object,5.0,3.8,9.2,9.6,5,8,0,0,1.0,0,0,0,0,0,0
Row_45,56778,Timing Point,5.0,3.8,9.2,9.6,0,0,0,0,0,0,0,-61.7283950617284,4,0,0
Row_46,56778,Hit Object,5.0,3.8,9.2,9.6,6,0,56914,1,1.0,0,0,0,0,0,0
Row_47,57051,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,57187,Hit Object,5.0,3.8,9.2,9.6,2,0,57323,1,1.0,0,0,0,0,0,0
Row_49,57460,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_50,57596,Hit Object,5.0,3.8,9.2,9.6,1,2,0,0,1.0,0,0,0,0,0,0
