Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_2,12460,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_3,12596,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_4,13005,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_5,13142,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_6,21733,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_7,21869,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-161.290322580645,4,0,0
Row_8,21869,Hit Object,5.0,3.5,8.7,9.2,6,0,22414,1,1.0,0,0,0,0,0,0
Row_9,22960,Hit Object,5.0,3.5,8.7,9.2,2,0,23505,1,1.0,0,0,0,0,0,0
Row_10,24051,Hit Object,5.0,3.5,8.7,9.2,2,0,24596,1,1.0,0,0,0,0,0,0
Row_11,24869,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,25142,Hit Object,5.0,3.5,8.7,9.2,2,0,25414,1,1.0,0,0,0,0,0,0
Row_13,25687,Hit Object,5.0,3.5,8.7,9.2,2,0,25959,1,1.0,0,0,0,0,0,0
Row_14,26233,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-192.307692307692,4,0,0
Row_15,26233,Hit Object,5.0,3.5,8.7,9.2,2,0,27869,1,1.0,0,0,0,0,0,0
Row_16,28415,Hit Object,5.0,3.5,8.7,9.2,6,0,29233,2,1.0,0,0,0,0,0,0
Row_17,29505,Hit Object,5.0,3.5,8.7,9.2,2,0,30050,1,1.0,0,0,0,0,0,0
Row_18,30596,Hit Object,5.0,3.5,8.7,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_19,31142,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,31687,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,32233,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,32778,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-161.290322580645,4,0,0
Row_23,32778,Hit Object,5.0,3.5,8.7,9.2,6,0,33323,1,1.0,0,0,0,0,0,0
Row_24,33596,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,33869,Hit Object,5.0,3.5,8.7,9.2,2,0,34141,1,1.0,0,0,0,0,0,0
Row_26,34415,Hit Object,5.0,3.5,8.7,9.2,2,0,34687,1,1.0,0,0,0,0,0,0
Row_27,34960,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,35505,Hit Object,5.0,3.5,8.7,9.2,6,0,36050,1,1.0,0,0,0,0,0,0
Row_29,36869,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_30,37142,Hit Object,5.0,3.5,8.7,9.2,2,0,37960,2,1.0,0,0,0,0,0,0
Row_31,38233,Hit Object,5.0,3.5,8.7,9.2,2,0,38778,1,1.0,0,0,0,0,0,0
Row_32,39324,Hit Object,5.0,3.5,8.7,9.2,5,4,0,0,1.0,0,0,0,0,0,0
Row_33,39524,Break,5.0,3.5,8.7,9.2,0,0,0,0,0,55663,0,0,0,0,0
Row_34,56233,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-61.7283950617284,4,0,0
Row_35,56233,Hit Object,5.0,3.5,8.7,9.2,5,8,0,0,1.0,0,0,0,0,0,0
Row_36,56778,Timing Point,5.0,3.5,8.7,9.2,0,0,0,0,0,0,0,-61.7283950617284,4,0,0
Row_37,56778,Hit Object,5.0,3.5,8.7,9.2,6,0,56914,1,1.0,0,0,0,0,0,0
Row_38,57051,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,57187,Hit Object,5.0,3.5,8.7,9.2,2,0,57323,1,1.0,0,0,0,0,0,0
Row_40,57460,Hit Object,5.0,3.5,8.7,9.2,2,0,57732,2,1.0,0,0,0,0,0,0
Row_41,57869,Hit Object,5.0,3.5,8.7,9.2,2,0,58005,1,1.0,0,0,0,0,0,0
Row_42,58142,Hit Object,5.0,3.5,8.7,9.2,1,2,0,0,1.0,0,0,0,0,0,0
