Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_2,4415,Hit Object,5.0,3.8,9.0,9.4,6,0,6324,1,1.0,0,0,0,0,0,0
Row_3,6596,Hit Object,5.0,3.8,9.0,9.4,2,0,8777,1,1.0,0,0,0,0,0,0
Row_4,10960,Hit Object,5.0,3.8,9.0,9.4,6,0,11778,2,1.0,0,0,0,0,0,0
Row_5,12051,Hit Object,5.0,3.8,9.0,9.4,2,0,12460,1,1.0,0,0,0,0,0,0
Row_6,12460,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_7,12596,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_8,12596,Hit Object,5.0,3.8,9.0,9.4,2,0,13005,1,1.0,0,0,0,0,0,0
Row_9,13005,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_10,13142,Timing Point,5.0,3.8,9.0,9.4,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_11,13142,Hit Object,5.0,3.8,9.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_12,14233,Hit Object,5.0,3.8,9.0,9.4,2,0,15051,1,1.0,0,0,0,0,0,0
Row_13,15324,Hit Object,5.0,3.8,9.0,9.4,2,0,16142,1,1.0,0,0,0,0,0,0
Row_14,16415,Hit Object,5.0,3.8,9.0,9.4,6,0,17233,1,1.0,0,0,0,0,0,0
Row_15,17505,Hit Object,5.0,3.8,9.0,9.4,2,0,19414,1,1.0,0,0,0,0,0,0
