Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_2,12460,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_3,12596,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_4,13005,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_5,13142,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_6,21733,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-450.307692307692,4,0,0
Row_7,21869,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-161.290322580645,4,0,0
Row_8,21869,Hit Object,4.8,3.2,7.8,9.0,6,0,22414,1,1.0,0,0,0,0,0,0
Row_9,22960,Hit Object,4.8,3.2,7.8,9.0,2,0,23505,1,1.0,0,0,0,0,0,0
Row_10,24051,Hit Object,4.8,3.2,7.8,9.0,2,0,24869,1,1.0,0,0,0,0,0,0
Row_11,25142,Hit Object,4.8,3.2,7.8,9.0,2,0,25414,1,1.0,0,0,0,0,0,0
Row_12,25687,Hit Object,4.8,3.2,7.8,9.0,2,0,25959,1,1.0,0,0,0,0,0,0
Row_13,26233,Timing Point,4.8,3.2,7.8,9.0,0,0,0,0,0,0,0,-192.307692307692,4,0,0
Row_14,26233,Hit Object,4.8,3.2,7.8,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,28415,Hit Object,4.8,3.2,7.8,9.0,2,0,29233,2,1.0,0,0,0,0,0,0
