Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,4415,Hit Object,5.0,3.8,6.0,7.8,5,4,0,0,1.0,0,0,0,0,0,0
Row_3,4615,Break,5.0,3.8,6.0,7.8,0,0,0,0,0,12363,0,0,0,0,0
Row_4,12460,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_5,12596,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_6,13005,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_7,13142,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_8,13142,Hit Object,5.0,3.8,6.0,7.8,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,13342,Break,5.0,3.8,6.0,7.8,0,0,0,0,0,21090,0,0,0,0,0
Row_10,21733,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_11,21869,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_12,21869,Hit Object,5.0,3.8,6.0,7.8,5,4,0,0,1.0,0,0,0,0,0,0
Row_13,22069,Break,5.0,3.8,6.0,7.8,0,0,0,0,0,27636,0,0,0,0,0
Row_14,26233,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_15,28415,Hit Object,5.0,3.8,6.0,7.8,6,0,29233,2,1.0,0,0,0,0,0,0
Row_16,29505,Hit Object,5.0,3.8,6.0,7.8,2,0,29777,1,1.0,0,0,0,0,0,0
Row_17,30051,Hit Object,5.0,3.8,6.0,7.8,2,0,31141,1,1.0,0,0,0,0,0,0
Row_18,31687,Hit Object,5.0,3.8,6.0,7.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,32233,Hit Object,5.0,3.8,6.0,7.8,2,0,32778,1,1.0,0,0,0,0,0,0
Row_20,33596,Hit Object,5.0,3.8,6.0,7.8,6,0,34141,2,1.0,0,0,0,0,0,0
Row_21,34415,Hit Object,5.0,3.8,6.0,7.8,2,0,34687,1,1.0,0,0,0,0,0,0
Row_22,34960,Hit Object,5.0,3.8,6.0,7.8,2,0,35505,1,1.0,0,0,0,0,0,0
Row_23,36051,Hit Object,5.0,3.8,6.0,7.8,2,0,36596,1,1.0,0,0,0,0,0,0
Row_24,36869,Hit Object,5.0,3.8,6.0,7.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,37142,Hit Object,5.0,3.8,6.0,7.8,6,0,37960,2,1.0,0,0,0,0,0,0
Row_26,38233,Hit Object,5.0,3.8,6.0,7.8,2,0,38778,1,1.0,0,0,0,0,0,0
Row_27,39051,Hit Object,5.0,3.8,6.0,7.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_28,39324,Hit Object,5.0,3.8,6.0,7.8,5,4,0,0,1.0,0,0,0,0,0,0
Row_29,39524,Break,5.0,3.8,6.0,7.8,0,0,0,0,0,55454,0,0,0,0,0
Row_30,56233,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_31,56233,Hit Object,5.0,3.8,6.0,7.8,6,0,56642,1,1.0,0,0,0,0,0,0
Row_32,56778,Timing Point,5.0,3.8,6.0,7.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_33,56778,Hit Object,5.0,3.8,6.0,7.8,2,0,57050,1,1.0,0,0,0,0,0,0
Row_34,57187,Hit Object,5.0,3.8,6.0,7.8,2,0,57323,1,1.0,0,0,0,0,0,0
Row_35,57596,Hit Object,5.0,3.8,6.0,7.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,57733,Hit Object,5.0,3.8,6.0,7.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,57869,Hit Object,5.0,3.8,6.0,7.8,2,0,58141,1,1.0,0,0,0,0,0,0
