Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,3.5,8.7,9.3,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,21869,Timing Point,5.0,3.5,8.7,9.3,0,0,0,0,0,0,0,-200.0,4,0,0
Row_2,21869,Hit Object,5.0,3.5,8.7,9.3,6,0,22414,1,1.0,0,0,0,0,0,0
Row_3,22960,Hit Object,5.0,3.5,8.7,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,23505,Hit Object,5.0,3.5,8.7,9.3,2,0,24050,1,1.0,0,0,0,0,0,0
Row_5,24869,Hit Object,5.0,3.5,8.7,9.3,2,0,25414,2,1.0,0,0,0,0,0,0
Row_6,25687,Hit Object,5.0,3.5,8.7,9.3,2,0,25959,1,1.0,0,0,0,0,0,0
Row_7,26233,Hit Object,5.0,3.5,8.7,9.3,6,0,27323,1,1.0,0,0,0,0,0,0
Row_8,28415,Hit Object,5.0,3.5,8.7,9.3,6,0,29233,2,1.0,0,0,0,0,0,0
Row_9,29505,Hit Object,5.0,3.5,8.7,9.3,2,0,30050,1,1.0,0,0,0,0,0,0
Row_10,30596,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,31142,Hit Object,5.0,3.5,8.7,9.3,6,0,31687,1,1.0,0,0,0,0,0,0
Row_12,32233,Hit Object,5.0,3.5,8.7,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,32778,Hit Object,5.0,3.5,8.7,9.3,2,0,33596,1,1.0,0,0,0,0,0,0
Row_14,33869,Hit Object,5.0,3.5,8.7,9.3,2,0,34414,2,1.0,0,0,0,0,0,0
Row_15,34687,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,34960,Hit Object,5.0,3.5,8.7,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_17,35505,Hit Object,5.0,3.5,8.7,9.3,2,0,36595,2,1.0,0,0,0,0,0,0
Row_18,36869,Hit Object,5.0,3.5,8.7,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,37142,Hit Object,5.0,3.5,8.7,9.3,6,0,37960,2,1.0,0,0,0,0,0,0
Row_20,38233,Hit Object,5.0,3.5,8.7,9.3,2,0,38778,1,1.0,0,0,0,0,0,0
Row_21,39324,Timing Point,5.0,3.5,8.7,9.3,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_22,39324,Hit Object,5.0,3.5,8.7,9.3,6,0,39596,1,1.0,0,0,0,0,0,0
Row_23,39733,Hit Object,5.0,3.5,8.7,9.3,2,0,40005,1,1.0,0,0,0,0,0,0
Row_24,40142,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,40415,Hit Object,5.0,3.5,8.7,9.3,2,0,40824,1,1.0,0,0,0,0,0,0
Row_26,40960,Hit Object,5.0,3.5,8.7,9.3,2,0,41369,1,1.0,0,0,0,0,0,0
Row_27,41505,Hit Object,5.0,3.5,8.7,9.3,6,0,41914,1,1.0,0,0,0,0,0,0
Row_28,42051,Hit Object,5.0,3.5,8.7,9.3,2,0,42460,1,1.0,0,0,0,0,0,0
Row_29,42596,Hit Object,5.0,3.5,8.7,9.3,2,0,43005,1,1.0,0,0,0,0,0,0
Row_30,43142,Hit Object,5.0,3.5,8.7,9.3,2,0,43551,1,1.0,0,0,0,0,0,0
Row_31,43687,Hit Object,5.0,3.5,8.7,9.3,6,0,43959,1,1.0,0,0,0,0,0,0
Row_32,44096,Hit Object,5.0,3.5,8.7,9.3,2,0,44368,1,1.0,0,0,0,0,0,0
Row_33,44505,Hit Object,5.0,3.5,8.7,9.3,2,0,44641,1,1.0,0,0,0,0,0,0
Row_34,44778,Hit Object,5.0,3.5,8.7,9.3,6,0,45050,1,1.0,0,0,0,0,0,0
Row_35,45187,Hit Object,5.0,3.5,8.7,9.3,2,0,45459,1,1.0,0,0,0,0,0,0
Row_36,45596,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_37,45869,Hit Object,5.0,3.5,8.7,9.3,6,0,46414,1,1.0,0,0,0,0,0,0
Row_38,46687,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_39,46960,Hit Object,5.0,3.5,8.7,9.3,2,0,47096,1,1.0,0,0,0,0,0,0
Row_40,47233,Hit Object,5.0,3.5,8.7,9.3,2,0,47369,1,1.0,0,0,0,0,0,0
Row_41,47505,Hit Object,5.0,3.5,8.7,9.3,2,0,47641,1,1.0,0,0,0,0,0,0
Row_42,47778,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_43,47915,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_44,48051,Hit Object,5.0,3.5,8.7,9.3,6,0,48323,1,1.0,0,0,0,0,0,0
Row_45,48460,Hit Object,5.0,3.5,8.7,9.3,2,0,48732,1,1.0,0,0,0,0,0,0
Row_46,48869,Hit Object,5.0,3.5,8.7,9.3,2,0,49005,1,1.0,0,0,0,0,0,0
Row_47,49142,Hit Object,5.0,3.5,8.7,9.3,5,0,0,0,1.0,0,0,0,0,0,0
Row_48,49415,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_49,49687,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,49960,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,50233,Hit Object,5.0,3.5,8.7,9.3,2,0,50778,1,1.0,0,0,0,0,0,0
Row_52,51051,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,51324,Hit Object,5.0,3.5,8.7,9.3,5,0,0,0,1.0,0,0,0,0,0,0
Row_54,51596,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_55,51869,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,52142,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_57,52415,Hit Object,5.0,3.5,8.7,9.3,6,0,52824,1,1.0,0,0,0,0,0,0
Row_58,52960,Hit Object,5.0,3.5,8.7,9.3,2,0,53369,1,1.0,0,0,0,0,0,0
Row_59,53505,Hit Object,5.0,3.5,8.7,9.3,6,0,53914,1,1.0,0,0,0,0,0,0
Row_60,54051,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,54324,Hit Object,5.0,3.5,8.7,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_62,54596,Hit Object,5.0,3.5,8.7,9.3,6,0,55550,1,1.0,0,0,0,0,0,0
