Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Hit Object,5.0,4.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_2,4615,Break,5.0,4.0,8.0,9.0,0,0,0,0,0,21269,0,0,0,0,0
Row_3,21869,Hit Object,5.0,4.0,8.0,9.0,6,0,23505,1,1.0,0,0,0,0,0,0
Row_4,22005,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_5,24051,Hit Object,5.0,4.0,8.0,9.0,6,0,25687,1,1.0,0,0,0,0,0,0
Row_6,25960,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,26233,Hit Object,5.0,4.0,8.0,9.0,6,0,27869,1,1.0,0,0,0,0,0,0
Row_8,28415,Hit Object,5.0,4.0,8.0,9.0,6,0,29233,2,1.0,0,0,0,0,0,0
Row_9,29505,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,30051,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,30596,Hit Object,5.0,4.0,8.0,9.0,6,0,32232,1,1.0,0,0,0,0,0,0
Row_12,32778,Hit Object,5.0,4.0,8.0,9.0,6,0,34414,1,1.0,0,0,0,0,0,0
Row_13,34687,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,34960,Hit Object,5.0,4.0,8.0,9.0,6,0,36596,1,1.0,0,0,0,0,0,0
Row_15,36869,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,37142,Hit Object,5.0,4.0,8.0,9.0,6,0,37960,2,1.0,0,0,0,0,0,0
Row_17,38233,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,38778,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,39324,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_20,39324,Hit Object,5.0,4.0,8.0,9.0,6,0,39596,1,1.0,0,0,0,0,0,0
Row_21,39733,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,39869,Hit Object,5.0,4.0,8.0,9.0,2,0,40005,1,1.0,0,0,0,0,0,0
Row_23,40142,Hit Object,5.0,4.0,8.0,9.0,2,0,40278,1,1.0,0,0,0,0,0,0
Row_24,40415,Hit Object,5.0,4.0,8.0,9.0,6,0,40687,1,1.0,0,0,0,0,0,0
Row_25,40824,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,40960,Hit Object,5.0,4.0,8.0,9.0,2,0,41232,1,1.0,0,0,0,0,0,0
Row_27,41369,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_28,41505,Hit Object,5.0,4.0,8.0,9.0,6,0,41777,1,1.0,0,0,0,0,0,0
Row_29,41915,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_30,42051,Hit Object,5.0,4.0,8.0,9.0,2,0,42323,1,1.0,0,0,0,0,0,0
Row_31,42460,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_32,42596,Hit Object,5.0,4.0,8.0,9.0,6,0,42868,1,1.0,0,0,0,0,0,0
Row_33,43005,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_34,43142,Hit Object,5.0,4.0,8.0,9.0,2,0,43414,1,1.0,0,0,0,0,0,0
Row_35,43551,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_36,43687,Hit Object,5.0,4.0,8.0,9.0,6,0,44232,1,1.0,0,0,0,0,0,0
Row_37,44369,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_38,44505,Hit Object,5.0,4.0,8.0,9.0,2,0,44641,1,1.0,0,0,0,0,0,0
Row_39,44778,Hit Object,5.0,4.0,8.0,9.0,6,0,45050,2,1.0,0,0,0,0,0,0
Row_40,45187,Hit Object,5.0,4.0,8.0,9.0,2,0,45459,1,1.0,0,0,0,0,0,0
Row_41,45596,Hit Object,5.0,4.0,8.0,9.0,2,0,45732,1,1.0,0,0,0,0,0,0
