Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4415,Timing Point,6.0,3.8,9.0,9.0,0,0,0,0,0,0,1,545.454545454546,4,0,0
Row_1,4415,Timing Point,6.0,3.8,9.0,9.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,4415,Hit Object,6.0,3.8,9.0,9.0,5,4,0,0,4.0,0,0,0,0,0,0
Row_3,5505,Hit Object,6.0,3.8,9.0,9.0,2,0,9868,1,4.0,0,0,0,0,0,0
Row_4,10960,Hit Object,6.0,3.8,9.0,9.0,6,0,11778,2,4.0,0,0,0,0,0,0
Row_5,12051,Hit Object,6.0,3.8,9.0,9.0,2,0,12596,1,4.0,0,0,0,0,0,0
Row_6,13142,Hit Object,6.0,3.8,9.0,9.0,5,0,0,0,4.0,0,0,0,0,0,0
Row_7,13960,Hit Object,6.0,3.8,9.0,9.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_8,14233,Hit Object,6.0,3.8,9.0,9.0,2,0,15051,2,4.0,0,0,0,0,0,0
Row_9,15324,Hit Object,6.0,3.8,9.0,9.0,6,0,15869,1,4.0,0,0,0,0,0,0
Row_10,16142,Hit Object,6.0,3.8,9.0,9.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_11,16415,Hit Object,6.0,3.8,9.0,9.0,2,0,17233,2,4.0,0,0,0,0,0,0
Row_12,17505,Hit Object,6.0,3.8,9.0,9.0,5,2,0,0,4.0,0,0,0,0,0,0
Row_13,19687,Hit Object,6.0,3.8,9.0,9.0,2,0,20505,2,4.0,0,0,0,0,0,0
Row_14,20778,Hit Object,6.0,3.8,9.0,9.0,2,0,21732,1,4.0,0,0,0,0,0,0
Row_15,21869,Timing Point,6.0,3.8,9.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_16,21869,Hit Object,6.0,3.8,9.0,9.0,5,4,0,0,4.0,0,0,0,0,0,0
Row_17,22415,Hit Object,6.0,3.8,9.0,9.0,2,0,22687,1,4.0,0,0,0,0,0,0
Row_18,22960,Hit Object,6.0,3.8,9.0,9.0,2,0,24050,2,4.0,0,0,0,0,0,0
Row_19,24869,Hit Object,6.0,3.8,9.0,9.0,2,0,25141,1,4.0,0,0,0,0,0,0
Row_20,25415,Hit Object,6.0,3.8,9.0,9.0,2,0,25960,2,4.0,0,0,0,0,0,0
Row_21,26233,Hit Object,6.0,3.8,9.0,9.0,6,0,28414,1,4.0,0,0,0,0,0,0
Row_22,28824,Hit Object,6.0,3.8,9.0,9.0,2,0,29233,1,4.0,0,0,0,0,0,0
Row_23,29505,Hit Object,6.0,3.8,9.0,9.0,2,0,30050,1,4.0,0,0,0,0,0,0
Row_24,30596,Hit Object,6.0,3.8,9.0,9.0,5,0,0,0,4.0,0,0,0,0,0,0
Row_25,31142,Hit Object,6.0,3.8,9.0,9.0,2,0,31687,1,4.0,0,0,0,0,0,0
Row_26,32233,Hit Object,6.0,3.8,9.0,9.0,2,0,32778,1,4.0,0,0,0,0,0,0
Row_27,33596,Hit Object,6.0,3.8,9.0,9.0,6,0,33868,1,4.0,0,0,0,0,0,0
Row_28,34142,Hit Object,6.0,3.8,9.0,9.0,2,0,34414,1,4.0,0,0,0,0,0,0
Row_29,34687,Hit Object,6.0,3.8,9.0,9.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_30,34960,Hit Object,6.0,3.8,9.0,9.0,5,2,0,0,4.0,0,0,0,0,0,0
Row_31,35505,Hit Object,6.0,3.8,9.0,9.0,2,0,36050,1,4.0,0,0,0,0,0,0
Row_32,36869,Hit Object,6.0,3.8,9.0,9.0,1,2,0,0,4.0,0,0,0,0,0,0
