Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,234,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,1,297.029702970297,4,0,0
Row_1,234,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,234,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_3,679,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,828,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,1273,Hit Object,5.0,4.4,8.8,9.4,2,0,1421,1,1.0,0,0,0,0,0,0
Row_6,1867,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,2016,Hit Object,5.0,4.4,8.8,9.4,6,0,2164,1,1.0,0,0,0,0,0,0
Row_8,2313,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,2461,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,2610,Hit Object,5.0,4.4,8.8,9.4,6,0,3055,3,1.0,0,0,0,0,0,0
Row_11,3204,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-153.846153846154,4,0,0
Row_12,3204,Hit Object,5.0,4.4,8.8,9.4,2,0,3649,3,1.0,0,0,0,0,0,0
Row_13,3798,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-181.818181818182,4,0,0
Row_14,3798,Hit Object,5.0,4.4,8.8,9.4,2,0,4243,3,1.0,0,0,0,0,0,0
Row_15,4392,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-222.222222222222,4,0,0
Row_16,4392,Hit Object,5.0,4.4,8.8,9.4,2,0,4837,3,1.0,0,0,0,0,0,0
Row_17,4986,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_18,4986,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_19,5432,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_20,5580,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,6026,Hit Object,5.0,4.4,8.8,9.4,2,0,6174,1,1.0,0,0,0,0,0,0
Row_22,6620,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,6768,Hit Object,5.0,4.4,8.8,9.4,6,0,6916,1,1.0,0,0,0,0,0,0
Row_24,7065,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,7214,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,7362,Hit Object,5.0,4.4,8.8,9.4,6,0,7807,3,1.0,0,0,0,0,0,0
Row_27,7956,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-153.846153846154,4,0,0
Row_28,7956,Hit Object,5.0,4.4,8.8,9.4,2,0,8401,3,1.0,0,0,0,0,0,0
Row_29,8550,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-181.818181818182,4,0,0
Row_30,8550,Hit Object,5.0,4.4,8.8,9.4,12,0,0,0,1.0,0,0,0,0,0,0
Row_31,9441,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-181.818181818182,4,0,0
Row_32,9738,Timing Point,5.0,4.4,8.8,9.4,0,0,0,0,0,0,0,-100.0,4,0,0
Row_33,9738,Hit Object,5.0,4.4,8.8,9.4,6,0,9886,1,1.0,0,0,0,0,0,0
Row_34,10035,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_35,10184,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_36,10333,Hit Object,5.0,4.4,8.8,9.4,2,0,10481,1,1.0,0,0,0,0,0,0
Row_37,10630,Hit Object,5.0,4.4,8.8,9.4,2,0,10778,1,1.0,0,0,0,0,0,0
Row_38,10927,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_39,11075,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,11224,Hit Object,5.0,4.4,8.8,9.4,2,0,11372,1,1.0,0,0,0,0,0,0
Row_41,11521,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_42,11669,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_43,11818,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_44,11966,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_45,12115,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_46,12263,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,12412,Hit Object,5.0,4.4,8.8,9.4,2,0,12560,1,1.0,0,0,0,0,0,0
Row_48,12709,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_49,12857,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,13006,Hit Object,5.0,4.4,8.8,9.4,2,0,13154,1,1.0,0,0,0,0,0,0
Row_51,13303,Hit Object,5.0,4.4,8.8,9.4,6,0,13451,1,1.0,0,0,0,0,0,0
Row_52,13600,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,13748,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_54,13897,Hit Object,5.0,4.4,8.8,9.4,2,0,14045,1,1.0,0,0,0,0,0,0
Row_55,14194,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,14491,Hit Object,5.0,4.4,8.8,9.4,6,0,14639,1,1.0,0,0,0,0,0,0
Row_57,14788,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_58,14936,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_59,15085,Hit Object,5.0,4.4,8.8,9.4,2,0,15233,1,1.0,0,0,0,0,0,0
Row_60,15382,Hit Object,5.0,4.4,8.8,9.4,2,0,15530,1,1.0,0,0,0,0,0,0
Row_61,15679,Hit Object,5.0,4.4,8.8,9.4,2,0,15827,1,1.0,0,0,0,0,0,0
Row_62,15976,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_63,16125,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_64,16273,Hit Object,5.0,4.4,8.8,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_65,16422,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_66,16570,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_67,16719,Hit Object,5.0,4.4,8.8,9.4,1,0,0,0,1.0,0,0,0,0,0,0
