Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,879,Timing Point,2.0,2.0,2.0,2.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,879,Hit Object,2.0,2.0,2.0,2.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_2,1553,Hit Object,2.0,2.0,2.0,2.0,2,0,1890,1,1.0,0,0,0,0,0,0
Row_3,2227,Hit Object,2.0,2.0,2.0,2.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_4,2901,Hit Object,2.0,2.0,2.0,2.0,6,0,3238,1,1.0,0,0,0,0,0,0
Row_5,3575,Hit Object,2.0,2.0,2.0,2.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_6,4249,Hit Object,2.0,2.0,2.0,2.0,2,0,4586,1,1.0,0,0,0,0,0,0
Row_7,4923,Hit Object,2.0,2.0,2.0,2.0,12,0,0,0,1.0,0,0,0,0,0,0
Row_8,7620,Timing Point,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_9,7620,Hit Object,2.0,2.0,2.0,2.0,6,0,8294,1,1.0,0,0,0,0,0,0
Row_10,8968,Hit Object,2.0,2.0,2.0,2.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,9643,Hit Object,2.0,2.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,10317,Hit Object,2.0,2.0,2.0,2.0,6,0,10991,1,1.0,0,0,0,0,0,0
Row_13,11665,Hit Object,2.0,2.0,2.0,2.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,12339,Hit Object,2.0,2.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_15,13013,Hit Object,2.0,2.0,2.0,2.0,6,0,13687,1,1.0,0,0,0,0,0,0
Row_16,14362,Hit Object,2.0,2.0,2.0,2.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,15036,Hit Object,2.0,2.0,2.0,2.0,2,0,15373,1,1.0,0,0,0,0,0,0
