Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,879,Timing Point,6.0,4.0,8.0,9.4,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,879,Hit Object,6.0,4.0,8.0,9.4,6,0,1047,1,1.0,0,0,0,0,0,0
Row_2,1216,Hit Object,6.0,4.0,8.0,9.4,2,0,1384,1,1.0,0,0,0,0,0,0
Row_3,1553,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_4,1721,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,1890,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,2058,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,2227,Hit Object,6.0,4.0,8.0,9.4,6,0,2395,1,1.0,0,0,0,0,0,0
Row_8,2564,Hit Object,6.0,4.0,8.0,9.4,2,0,2732,1,1.0,0,0,0,0,0,0
Row_9,2901,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_10,3070,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,3238,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,3407,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,3575,Hit Object,6.0,4.0,8.0,9.4,6,0,3743,1,1.0,0,0,0,0,0,0
Row_14,3912,Hit Object,6.0,4.0,8.0,9.4,2,0,4080,1,1.0,0,0,0,0,0,0
Row_15,4249,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_16,4418,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,4586,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_18,4755,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,4923,Hit Object,6.0,4.0,8.0,9.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_20,5092,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,5261,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,5429,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,5598,Hit Object,6.0,4.0,8.0,9.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_24,5767,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,5935,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,6104,Hit Object,6.0,4.0,8.0,9.4,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,6272,Hit Object,6.0,4.0,8.0,9.4,6,0,6524,3,1.0,0,0,0,0,0,0
Row_28,6609,Hit Object,6.0,4.0,8.0,9.4,2,0,6861,3,1.0,0,0,0,0,0,0
Row_29,6946,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,7114,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,7283,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_32,7452,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_33,7620,Timing Point,6.0,4.0,8.0,9.4,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_34,7620,Hit Object,6.0,4.0,8.0,9.4,6,0,7788,1,1.0,0,0,0,0,0,0
Row_35,7957,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_36,8126,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_37,8294,Hit Object,6.0,4.0,8.0,9.4,6,0,8462,1,1.0,0,0,0,0,0,0
Row_38,8631,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_39,8800,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,8968,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_41,9137,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_42,9305,Hit Object,6.0,4.0,8.0,9.4,5,10,0,0,1.0,0,0,0,0,0,0
Row_43,9390,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_44,9474,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_45,9643,Hit Object,6.0,4.0,8.0,9.4,5,2,0,0,1.0,0,0,0,0,0,0
Row_46,9727,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,9811,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_48,9980,Hit Object,6.0,4.0,8.0,9.4,5,10,0,0,1.0,0,0,0,0,0,0
Row_49,10064,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,10148,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,10317,Hit Object,6.0,4.0,8.0,9.4,6,0,10485,1,1.0,0,0,0,0,0,0
Row_52,10654,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_53,10822,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_54,10991,Hit Object,6.0,4.0,8.0,9.4,6,0,11159,1,1.0,0,0,0,0,0,0
Row_55,11328,Hit Object,6.0,4.0,8.0,9.4,2,0,11496,1,1.0,0,0,0,0,0,0
Row_56,11665,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_57,11834,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_58,12002,Hit Object,6.0,4.0,8.0,9.4,6,0,12170,2,1.0,0,0,0,0,0,0
Row_59,12339,Hit Object,6.0,4.0,8.0,9.4,6,0,12507,2,1.0,0,0,0,0,0,0
Row_60,12676,Hit Object,6.0,4.0,8.0,9.4,6,0,12844,2,1.0,0,0,0,0,0,0
Row_61,13013,Hit Object,6.0,4.0,8.0,9.4,6,0,13181,1,1.0,0,0,0,0,0,0
Row_62,13350,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_63,13519,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_64,13687,Hit Object,6.0,4.0,8.0,9.4,6,0,13855,1,1.0,0,0,0,0,0,0
Row_65,14025,Hit Object,6.0,4.0,8.0,9.4,2,0,14193,1,1.0,0,0,0,0,0,0
Row_66,14362,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_67,14530,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_68,14699,Hit Object,6.0,4.0,8.0,9.4,6,0,14783,1,1.0,0,0,0,0,0,0
Row_69,14867,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_70,15036,Hit Object,6.0,4.0,8.0,9.4,6,0,15120,1,1.0,0,0,0,0,0,0
Row_71,15204,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_72,15373,Hit Object,6.0,4.0,8.0,9.4,6,0,15457,1,1.0,0,0,0,0,0,0
Row_73,15541,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_74,15710,Hit Object,6.0,4.0,8.0,9.4,5,4,0,0,1.0,0,0,0,0,0,0
Row_75,15878,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_76,16047,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_77,16131,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_78,16216,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_79,16384,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_80,16553,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_81,16721,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_82,16805,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_83,16890,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_84,17058,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_85,17227,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_86,17311,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_87,17395,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_88,17564,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_89,17732,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_90,17901,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_91,17985,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_92,18069,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_93,18154,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_94,18238,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_95,18322,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_96,18407,Timing Point,6.0,4.0,8.0,9.4,0,0,0,0,0,0,0,-66.6666666666667,4,1,0
Row_97,18407,Hit Object,6.0,4.0,8.0,9.4,6,0,18575,1,1.0,0,0,0,0,0,0
Row_98,18744,Hit Object,6.0,4.0,8.0,9.4,2,0,18996,1,1.0,0,0,0,0,0,0
Row_99,19081,Hit Object,6.0,4.0,8.0,9.4,2,0,19249,1,1.0,0,0,0,0,0,0
Row_100,19418,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_101,19502,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_102,19586,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_103,19755,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_104,19923,Hit Object,6.0,4.0,8.0,9.4,2,0,20175,1,1.0,0,0,0,0,0,0
Row_105,20261,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_106,20429,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_107,20598,Hit Object,6.0,4.0,8.0,9.4,2,0,20766,1,1.0,0,0,0,0,0,0
Row_108,20935,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_109,21103,Hit Object,6.0,4.0,8.0,9.4,6,0,21355,1,1.0,0,0,0,0,0,0
Row_110,21440,Hit Object,6.0,4.0,8.0,9.4,2,0,21608,1,1.0,0,0,0,0,0,0
Row_111,21777,Hit Object,6.0,4.0,8.0,9.4,2,0,22029,1,1.0,0,0,0,0,0,0
Row_112,22114,Hit Object,6.0,4.0,8.0,9.4,2,0,22282,1,1.0,0,0,0,0,0,0
Row_113,22452,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_114,22620,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_115,22704,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_116,22789,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_117,22957,Hit Object,6.0,4.0,8.0,9.4,2,0,23209,1,1.0,0,0,0,0,0,0
Row_118,23294,Hit Object,6.0,4.0,8.0,9.4,2,0,23462,1,1.0,0,0,0,0,0,0
Row_119,23631,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_120,23800,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_121,23968,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_122,24137,Hit Object,6.0,4.0,8.0,9.4,2,0,24389,1,1.0,0,0,0,0,0,0
Row_123,24474,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_124,24643,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_125,24811,Hit Object,6.0,4.0,8.0,9.4,2,0,24979,1,1.0,0,0,0,0,0,0
Row_126,25148,Hit Object,6.0,4.0,8.0,9.4,5,0,0,0,1.0,0,0,0,0,0,0
Row_127,25317,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_128,25401,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_129,25485,Hit Object,6.0,4.0,8.0,9.4,1,8,0,0,1.0,0,0,0,0,0,0
Row_130,25654,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_131,25822,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_132,25907,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
Row_133,25991,Hit Object,6.0,4.0,8.0,9.4,1,0,0,0,1.0,0,0,0,0,0,0
