Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,879,Timing Point,6.0,4.0,6.0,8.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,879,Hit Object,6.0,4.0,6.0,8.0,6,0,1047,1,2.0,0,0,0,0,0,0
Row_2,1216,Hit Object,6.0,4.0,6.0,8.0,2,0,1384,1,2.0,0,0,0,0,0,0
Row_3,1553,Hit Object,6.0,4.0,6.0,8.0,2,0,1890,1,2.0,0,0,0,0,0,0
Row_4,2227,Hit Object,6.0,4.0,6.0,8.0,6,0,2395,1,2.0,0,0,0,0,0,0
Row_5,2564,Hit Object,6.0,4.0,6.0,8.0,2,0,2732,1,2.0,0,0,0,0,0,0
Row_6,2901,Hit Object,6.0,4.0,6.0,8.0,2,0,3238,1,2.0,0,0,0,0,0,0
Row_7,3575,Hit Object,6.0,4.0,6.0,8.0,6,0,3912,2,2.0,0,0,0,0,0,0
Row_8,4081,Hit Object,6.0,4.0,6.0,8.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_9,4249,Hit Object,6.0,4.0,6.0,8.0,2,0,4586,1,2.0,0,0,0,0,0,0
Row_10,4755,Hit Object,6.0,4.0,6.0,8.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_11,4923,Hit Object,6.0,4.0,6.0,8.0,5,2,0,0,2.0,0,0,0,0,0,0
Row_12,5008,Hit Object,6.0,4.0,6.0,8.0,12,0,0,0,2.0,0,0,0,0,0,0
Row_13,6946,Hit Object,6.0,4.0,6.0,8.0,6,0,7198,1,2.0,0,0,0,0,0,0
Row_14,7283,Hit Object,6.0,4.0,6.0,8.0,2,0,7451,1,2.0,0,0,0,0,0,0
Row_15,7620,Timing Point,6.0,4.0,6.0,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_16,7620,Hit Object,6.0,4.0,6.0,8.0,6,0,7957,1,2.0,0,0,0,0,0,0
Row_17,8126,Hit Object,6.0,4.0,6.0,8.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_18,8294,Hit Object,6.0,4.0,6.0,8.0,2,0,8631,1,2.0,0,0,0,0,0,0
Row_19,8800,Hit Object,6.0,4.0,6.0,8.0,1,0,0,0,2.0,0,0,0,0,0,0
