Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,879,Timing Point,6.0,4.0,7.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,879,Hit Object,6.0,4.0,7.0,9.0,6,0,1047,1,1.0,0,0,0,0,0,0
Row_2,1216,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_3,1384,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,1553,Hit Object,6.0,4.0,7.0,9.0,6,0,1721,1,1.0,0,0,0,0,0,0
Row_5,1890,Hit Object,6.0,4.0,7.0,9.0,2,0,2058,1,1.0,0,0,0,0,0,0
Row_6,2143,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,2227,Hit Object,6.0,4.0,7.0,9.0,6,0,2395,1,1.0,0,0,0,0,0,0
Row_8,2564,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,2732,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,2901,Hit Object,6.0,4.0,7.0,9.0,6,0,3069,1,1.0,0,0,0,0,0,0
Row_11,3238,Hit Object,6.0,4.0,7.0,9.0,2,0,3406,1,1.0,0,0,0,0,0,0
Row_12,3491,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,3575,Hit Object,6.0,4.0,7.0,9.0,6,0,3743,1,1.0,0,0,0,0,0,0
Row_14,3912,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,4081,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,4249,Hit Object,6.0,4.0,7.0,9.0,6,0,4417,1,1.0,0,0,0,0,0,0
Row_17,4586,Hit Object,6.0,4.0,7.0,9.0,2,0,4754,1,1.0,0,0,0,0,0,0
Row_18,4839,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,4923,Hit Object,6.0,4.0,7.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_20,5092,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,5261,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,5429,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,5598,Hit Object,6.0,4.0,7.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_24,5766,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,5935,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_26,6103,Hit Object,6.0,4.0,7.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,6272,Hit Object,6.0,4.0,7.0,9.0,6,0,6524,3,1.0,0,0,0,0,0,0
Row_28,6609,Hit Object,6.0,4.0,7.0,9.0,2,0,6861,3,1.0,0,0,0,0,0,0
Row_29,6946,Hit Object,6.0,4.0,7.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,7030,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,7114,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_32,7198,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_33,7283,Hit Object,6.0,4.0,7.0,9.0,2,0,7451,1,1.0,0,0,0,0,0,0
Row_34,7620,Timing Point,6.0,4.0,7.0,9.0,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_35,7620,Hit Object,6.0,4.0,7.0,9.0,6,0,7872,1,1.0,0,0,0,0,0,0
Row_36,7957,Hit Object,6.0,4.0,7.0,9.0,2,0,8125,1,1.0,0,0,0,0,0,0
Row_37,8294,Hit Object,6.0,4.0,7.0,9.0,2,0,8546,1,1.0,0,0,0,0,0,0
Row_38,8631,Hit Object,6.0,4.0,7.0,9.0,2,0,8799,1,1.0,0,0,0,0,0,0
Row_39,8968,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,9137,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_41,9305,Hit Object,6.0,4.0,7.0,9.0,6,0,9473,2,1.0,0,0,0,0,0,0
Row_42,9643,Hit Object,6.0,4.0,7.0,9.0,2,0,9811,2,1.0,0,0,0,0,0,0
Row_43,9980,Hit Object,6.0,4.0,7.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_44,10148,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_45,10317,Hit Object,6.0,4.0,7.0,9.0,6,0,10569,1,1.0,0,0,0,0,0,0
Row_46,10654,Hit Object,6.0,4.0,7.0,9.0,2,0,10822,1,1.0,0,0,0,0,0,0
Row_47,10991,Hit Object,6.0,4.0,7.0,9.0,2,0,11243,1,1.0,0,0,0,0,0,0
Row_48,11328,Hit Object,6.0,4.0,7.0,9.0,2,0,11496,1,1.0,0,0,0,0,0,0
Row_49,11665,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,11834,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_51,12002,Hit Object,6.0,4.0,7.0,9.0,6,0,12170,2,1.0,0,0,0,0,0,0
Row_52,12339,Hit Object,6.0,4.0,7.0,9.0,2,0,12507,2,1.0,0,0,0,0,0,0
Row_53,12676,Hit Object,6.0,4.0,7.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_54,12845,Hit Object,6.0,4.0,7.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_55,13013,Hit Object,6.0,4.0,7.0,9.0,6,0,13265,1,1.0,0,0,0,0,0,0
Row_56,13350,Hit Object,6.0,4.0,7.0,9.0,2,0,13518,1,1.0,0,0,0,0,0,0
Row_57,13687,Hit Object,6.0,4.0,7.0,9.0,2,0,13939,1,1.0,0,0,0,0,0,0
