Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,879,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,879,Hit Object,3.0,3.0,3.0,4.0,6,0,1216,1,1.0,0,0,0,0,0,0
Row_2,1553,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_3,2227,Hit Object,3.0,3.0,3.0,4.0,6,0,2564,1,1.0,0,0,0,0,0,0
Row_4,2901,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,3575,Hit Object,3.0,3.0,3.0,4.0,6,0,4249,2,1.0,0,0,0,0,0,0
Row_6,4586,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,4923,Hit Object,3.0,3.0,3.0,4.0,12,0,0,0,1.0,0,0,0,0,0,0
Row_8,7620,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_9,7620,Hit Object,3.0,3.0,3.0,4.0,6,0,7957,1,1.0,0,0,0,0,0,0
Row_10,8294,Hit Object,3.0,3.0,3.0,4.0,2,0,8631,1,1.0,0,0,0,0,0,0
Row_11,8968,Hit Object,3.0,3.0,3.0,4.0,2,0,9305,1,1.0,0,0,0,0,0,0
Row_12,9643,Hit Object,3.0,3.0,3.0,4.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,10317,Hit Object,3.0,3.0,3.0,4.0,6,0,10654,1,1.0,0,0,0,0,0,0
Row_14,10991,Hit Object,3.0,3.0,3.0,4.0,2,0,11328,1,1.0,0,0,0,0,0,0
Row_15,11665,Hit Object,3.0,3.0,3.0,4.0,2,0,12002,1,1.0,0,0,0,0,0,0
Row_16,12339,Hit Object,3.0,3.0,3.0,4.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,13013,Hit Object,3.0,3.0,3.0,4.0,6,0,13350,1,1.0,0,0,0,0,0,0
Row_18,13687,Hit Object,3.0,3.0,3.0,4.0,2,0,14024,1,1.0,0,0,0,0,0,0
Row_19,14362,Hit Object,3.0,3.0,3.0,4.0,2,0,14699,1,1.0,0,0,0,0,0,0
Row_20,15036,Hit Object,3.0,3.0,3.0,4.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,15710,Hit Object,3.0,3.0,3.0,4.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_22,16047,Hit Object,3.0,3.0,3.0,4.0,2,0,16384,1,1.0,0,0,0,0,0,0
Row_23,17058,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,17732,Hit Object,3.0,3.0,3.0,4.0,2,0,18069,1,1.0,0,0,0,0,0,0
Row_25,18407,Timing Point,3.0,3.0,3.0,4.0,0,0,0,0,0,0,0,-100.0,4,1,0
Row_26,18407,Hit Object,3.0,3.0,3.0,4.0,6,0,18744,1,1.0,0,0,0,0,0,0
Row_27,19081,Hit Object,3.0,3.0,3.0,4.0,2,0,19418,1,1.0,0,0,0,0,0,0
Row_28,19755,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_29,19923,Hit Object,3.0,3.0,3.0,4.0,2,0,20260,1,1.0,0,0,0,0,0,0
Row_30,20766,Hit Object,3.0,3.0,3.0,4.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,21103,Hit Object,3.0,3.0,3.0,4.0,6,0,21440,1,1.0,0,0,0,0,0,0
Row_32,21777,Hit Object,3.0,3.0,3.0,4.0,2,0,22114,1,1.0,0,0,0,0,0,0
Row_33,22452,Hit Object,3.0,3.0,3.0,4.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_34,22620,Hit Object,3.0,3.0,3.0,4.0,2,0,22957,1,1.0,0,0,0,0,0,0
Row_35,23463,Hit Object,3.0,3.0,3.0,4.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_36,23800,Hit Object,3.0,3.0,3.0,4.0,6,0,24137,1,1.0,0,0,0,0,0,0
