Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,544,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,1,483.90999274135,4,0,0
Row_1,8286,Hit Object,7.0,4.0,7.0,7.0,2,0,8527,1,4.0,0,0,0,0,0,0
Row_2,8649,Hit Object,7.0,4.0,7.0,7.0,2,0,9011,1,4.0,0,0,0,0,0,0
Row_3,8717,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_4,8838,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_5,9254,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_6,9496,Hit Object,7.0,4.0,7.0,7.0,2,0,9737,1,4.0,0,0,0,0,0,0
Row_7,9980,Hit Object,7.0,4.0,7.0,7.0,2,0,10221,1,4.0,0,0,0,0,0,0
Row_8,10464,Hit Object,7.0,4.0,7.0,7.0,5,0,0,0,4.0,0,0,0,0,0,0
Row_9,10585,Hit Object,7.0,4.0,7.0,7.0,2,0,10947,1,4.0,0,0,0,0,0,0
Row_10,10654,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_11,10775,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_12,11077,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_13,11190,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_14,11431,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_15,11673,Hit Object,7.0,4.0,7.0,7.0,2,0,11914,1,4.0,0,0,0,0,0,0
Row_16,12157,Hit Object,7.0,4.0,7.0,7.0,6,0,12398,1,4.0,0,0,0,0,0,0
Row_17,12520,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_18,12883,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_19,13125,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_20,13367,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_21,13609,Hit Object,7.0,4.0,7.0,7.0,1,8,0,0,4.0,0,0,0,0,0,0
Row_22,13851,Hit Object,7.0,4.0,7.0,7.0,2,0,14334,1,4.0,0,0,0,0,0,0
Row_23,14577,Hit Object,7.0,4.0,7.0,7.0,6,0,15060,1,4.0,0,0,0,0,0,0
Row_24,15545,Hit Object,7.0,4.0,7.0,7.0,6,0,16028,1,4.0,0,0,0,0,0,0
Row_25,16271,Hit Object,7.0,4.0,7.0,7.0,5,0,0,0,4.0,0,0,0,0,0,0
Row_26,16392,Hit Object,7.0,4.0,7.0,7.0,2,0,16754,1,4.0,0,0,0,0,0,0
Row_27,16462,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_28,16583,Timing Point,7.0,4.0,7.0,7.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_29,16996,Hit Object,7.0,4.0,7.0,7.0,2,0,17237,1,4.0,0,0,0,0,0,0
Row_30,17480,Hit Object,7.0,4.0,7.0,7.0,2,0,17721,1,4.0,0,0,0,0,0,0
Row_31,17964,Hit Object,7.0,4.0,7.0,7.0,5,0,0,0,4.0,0,0,0,0,0,0
Row_32,18085,Hit Object,7.0,4.0,7.0,7.0,2,0,18326,1,4.0,0,0,0,0,0,0
Row_33,18690,Hit Object,7.0,4.0,7.0,7.0,2,0,18931,1,4.0,0,0,0,0,0,0
Row_34,19174,Hit Object,7.0,4.0,7.0,7.0,1,0,0,0,4.0,0,0,0,0,0,0
Row_35,19416,Hit Object,7.0,4.0,7.0,7.0,2,0,19657,1,4.0,0,0,0,0,0,0
Row_36,19900,Hit Object,7.0,4.0,7.0,7.0,6,0,20141,1,4.0,0,0,0,0,0,0
