Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,544,Timing Point,2.0,3.0,2.0,2.0,0,0,0,0,0,0,1,483.90999274135,4,0,0
Row_1,8286,Hit Object,2.0,3.0,2.0,2.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_2,8770,Hit Object,2.0,3.0,2.0,2.0,2,0,9737,1,1.0,0,0,0,0,0,0
Row_3,10222,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_4,10706,Hit Object,2.0,3.0,2.0,2.0,2,0,11673,1,1.0,0,0,0,0,0,0
Row_5,12157,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_6,12641,Hit Object,2.0,3.0,2.0,2.0,2,0,13608,2,1.0,0,0,0,0,0,0
Row_7,14577,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_8,15061,Hit Object,2.0,3.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,15545,Hit Object,2.0,3.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,16029,Hit Object,2.0,3.0,2.0,2.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_11,16513,Hit Object,2.0,3.0,2.0,2.0,2,0,17480,1,1.0,0,0,0,0,0,0
Row_12,17964,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_13,18448,Hit Object,2.0,3.0,2.0,2.0,2,0,19415,1,1.0,0,0,0,0,0,0
Row_14,19900,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,20384,Hit Object,2.0,3.0,2.0,2.0,2,0,21835,3,1.0,0,0,0,0,0,0
Row_16,22319,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_17,22803,Hit Object,2.0,3.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,23287,Hit Object,2.0,3.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,23771,Hit Object,2.0,3.0,2.0,2.0,6,0,24738,1,1.0,0,0,0,0,0,0
Row_20,25707,Hit Object,2.0,3.0,2.0,2.0,6,0,26674,1,1.0,0,0,0,0,0,0
Row_21,27642,Hit Object,2.0,3.0,2.0,2.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,28126,Hit Object,2.0,3.0,2.0,2.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_23,28610,Hit Object,2.0,3.0,2.0,2.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_24,29094,Hit Object,2.0,3.0,2.0,2.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,29578,Hit Object,2.0,3.0,2.0,2.0,6,0,31029,2,1.0,0,0,0,0,0,0
Row_26,31514,Hit Object,2.0,3.0,2.0,2.0,6,0,32481,1,1.0,0,0,0,0,0,0
Row_27,32965,Hit Object,2.0,3.0,2.0,2.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,33449,Hit Object,2.0,3.0,2.0,2.0,6,0,35384,1,1.0,0,0,0,0,0,0
Row_29,35385,Timing Point,2.0,3.0,2.0,2.0,0,0,0,0,0,0,0,-90.9090909090909,4,1,0
Row_30,35869,Hit Object,2.0,3.0,2.0,2.0,1,8,0,0,1.0,0,0,0,0,0,0
