Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,544,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,1,483.90999274135,4,0,0
Row_1,544,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_2,1753,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_3,1995,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_4,2237,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_5,2479,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_6,4415,Hit Object,4.0,4.0,5.0,6.0,5,4,0,0,2.0,0,0,0,0,0,0
Row_7,5625,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_8,5867,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_9,6108,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_10,6350,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_11,6834,Hit Object,4.0,4.0,5.0,6.0,1,4,0,0,2.0,0,0,0,0,0,0
Row_12,7318,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_13,7560,Hit Object,4.0,4.0,5.0,6.0,1,2,0,0,2.0,0,0,0,0,0,0
Row_14,7802,Hit Object,4.0,4.0,5.0,6.0,1,6,0,0,2.0,0,0,0,0,0,0
Row_15,8286,Hit Object,4.0,4.0,5.0,6.0,5,4,0,0,2.0,0,0,0,0,0,0
Row_16,8528,Hit Object,4.0,4.0,5.0,6.0,2,0,8769,1,2.0,0,0,0,0,0,0
Row_17,9012,Hit Object,4.0,4.0,5.0,6.0,2,0,9253,1,2.0,0,0,0,0,0,0
Row_18,9496,Hit Object,4.0,4.0,5.0,6.0,2,0,9737,1,2.0,0,0,0,0,0,0
Row_19,9980,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_20,10222,Hit Object,4.0,4.0,5.0,6.0,6,0,10463,1,2.0,0,0,0,0,0,0
Row_21,10706,Hit Object,4.0,4.0,5.0,6.0,2,0,10947,1,2.0,0,0,0,0,0,0
Row_22,11190,Hit Object,4.0,4.0,5.0,6.0,2,0,11431,1,2.0,0,0,0,0,0,0
Row_23,11673,Hit Object,4.0,4.0,5.0,6.0,1,8,0,0,2.0,0,0,0,0,0,0
Row_24,11915,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_25,12157,Hit Object,4.0,4.0,5.0,6.0,5,0,0,0,2.0,0,0,0,0,0,0
Row_26,12399,Hit Object,4.0,4.0,5.0,6.0,2,0,12882,2,2.0,0,0,0,0,0,0
Row_27,13125,Hit Object,4.0,4.0,5.0,6.0,2,0,13608,2,2.0,0,0,0,0,0,0
Row_28,13851,Hit Object,4.0,4.0,5.0,6.0,2,0,14334,1,2.0,0,0,0,0,0,0
Row_29,14463,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_30,14577,Hit Object,4.0,4.0,5.0,6.0,5,0,0,0,2.0,0,0,0,0,0,0
Row_31,15061,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_32,15545,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_33,16029,Hit Object,4.0,4.0,5.0,6.0,5,4,0,0,2.0,0,0,0,0,0,0
Row_34,16271,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_35,16392,Hit Object,4.0,4.0,5.0,6.0,2,0,16754,1,2.0,0,0,0,0,0,0
Row_36,16399,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_37,16996,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_38,17238,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_39,17480,Hit Object,4.0,4.0,5.0,6.0,1,8,0,0,2.0,0,0,0,0,0,0
Row_40,17722,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_41,17851,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_42,17964,Hit Object,4.0,4.0,5.0,6.0,5,0,0,0,2.0,0,0,0,0,0,0
Row_43,18206,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_44,18327,Hit Object,4.0,4.0,5.0,6.0,2,0,18689,1,2.0,0,0,0,0,0,0
Row_45,18335,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_46,18932,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_47,19174,Hit Object,4.0,4.0,5.0,6.0,2,0,19415,1,2.0,0,0,0,0,0,0
Row_48,19658,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_49,19788,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_50,19900,Hit Object,4.0,4.0,5.0,6.0,5,0,0,0,2.0,0,0,0,0,0,0
Row_51,20142,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_52,20263,Hit Object,4.0,4.0,5.0,6.0,2,0,20625,1,2.0,0,0,0,0,0,0
Row_53,20272,Timing Point,4.0,4.0,5.0,6.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_54,20868,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_55,21110,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_56,21352,Hit Object,4.0,4.0,5.0,6.0,1,8,0,0,2.0,0,0,0,0,0,0
Row_57,21594,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_58,22319,Hit Object,4.0,4.0,5.0,6.0,1,8,0,0,2.0,0,0,0,0,0,0
Row_59,23045,Hit Object,4.0,4.0,5.0,6.0,5,8,0,0,2.0,0,0,0,0,0,0
Row_60,23287,Hit Object,4.0,4.0,5.0,6.0,2,0,23770,2,2.0,0,0,0,0,0,0
Row_61,24013,Hit Object,4.0,4.0,5.0,6.0,1,0,0,0,2.0,0,0,0,0,0,0
Row_62,24255,Hit Object,4.0,4.0,5.0,6.0,2,0,24738,2,2.0,0,0,0,0,0,0
