Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,544,Timing Point,3.0,4.0,3.0,3.0,0,0,0,0,0,0,1,483.90999274135,4,0,0
Row_1,544,Hit Object,3.0,4.0,3.0,3.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_2,1027,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_3,1511,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,1995,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_5,2479,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_6,2963,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,3447,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_8,4415,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,4899,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_10,5383,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,5867,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_12,6350,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_13,6834,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,7318,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,8286,Hit Object,3.0,4.0,3.0,3.0,6,0,8769,1,1.0,0,0,0,0,0,0
Row_16,9254,Hit Object,3.0,4.0,3.0,3.0,2,0,9737,1,1.0,0,0,0,0,0,0
Row_17,10222,Hit Object,3.0,4.0,3.0,3.0,6,0,10705,1,1.0,0,0,0,0,0,0
Row_18,11190,Hit Object,3.0,4.0,3.0,3.0,2,0,11673,1,1.0,0,0,0,0,0,0
Row_19,12157,Hit Object,3.0,4.0,3.0,3.0,6,0,12640,1,1.0,0,0,0,0,0,0
Row_20,13125,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,13609,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_22,13851,Hit Object,3.0,4.0,3.0,3.0,2,0,14334,1,1.0,0,0,0,0,0,0
Row_23,15061,Hit Object,3.0,4.0,3.0,3.0,2,0,15544,1,1.0,0,0,0,0,0,0
Row_24,16029,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_25,16513,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,16996,Hit Object,3.0,4.0,3.0,3.0,2,0,17479,1,1.0,0,0,0,0,0,0
Row_27,17964,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_28,18448,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,18932,Hit Object,3.0,4.0,3.0,3.0,2,0,19415,1,1.0,0,0,0,0,0,0
Row_30,19900,Hit Object,3.0,4.0,3.0,3.0,6,0,20383,2,1.0,0,0,0,0,0,0
Row_31,20868,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_32,21352,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_33,21836,Hit Object,3.0,4.0,3.0,3.0,6,0,22803,2,1.0,0,0,0,0,0,0
Row_34,23287,Hit Object,3.0,4.0,3.0,3.0,6,0,24254,2,1.0,0,0,0,0,0,0
Row_35,24739,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_36,25223,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_37,25707,Hit Object,3.0,4.0,3.0,3.0,6,0,26674,2,1.0,0,0,0,0,0,0
Row_38,27159,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_39,27642,Hit Object,3.0,4.0,3.0,3.0,6,0,28125,1,1.0,0,0,0,0,0,0
Row_40,28610,Hit Object,3.0,4.0,3.0,3.0,2,0,29093,1,1.0,0,0,0,0,0,0
Row_41,29578,Hit Object,3.0,4.0,3.0,3.0,2,0,30061,1,1.0,0,0,0,0,0,0
Row_42,30304,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_43,31030,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_44,31514,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_45,31998,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_46,32482,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_47,32965,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_48,33449,Hit Object,3.0,4.0,3.0,3.0,12,4,0,0,1.0,0,0,0,0,0,0
Row_49,35385,Timing Point,3.0,4.0,3.0,3.0,0,0,0,0,0,0,0,-76.9230769230769,4,1,0
Row_50,35869,Hit Object,3.0,4.0,3.0,3.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_51,36353,Hit Object,3.0,4.0,3.0,3.0,2,0,36836,1,1.0,0,0,0,0,0,0
Row_52,37321,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_53,37563,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_54,37805,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_55,38288,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_56,38772,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_57,39256,Hit Object,3.0,4.0,3.0,3.0,6,0,39739,1,1.0,0,0,0,0,0,0
Row_58,40224,Hit Object,3.0,4.0,3.0,3.0,2,0,40707,1,1.0,0,0,0,0,0,0
Row_59,41192,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_60,41676,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_61,41918,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_62,42160,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_63,42644,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_64,43128,Hit Object,3.0,4.0,3.0,3.0,6,0,43611,1,1.0,0,0,0,0,0,0
Row_65,44095,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_66,44579,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_67,45063,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_68,45547,Hit Object,3.0,4.0,3.0,3.0,2,0,46030,1,1.0,0,0,0,0,0,0
Row_69,46515,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_70,46999,Hit Object,3.0,4.0,3.0,3.0,6,0,47482,1,1.0,0,0,0,0,0,0
Row_71,47967,Hit Object,3.0,4.0,3.0,3.0,2,0,48450,1,1.0,0,0,0,0,0,0
Row_72,48934,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_73,49902,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_74,50386,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_75,50870,Timing Point,3.0,4.0,3.0,3.0,0,0,0,0,0,0,0,-76.9230769230769,4,0,0
Row_76,50870,Hit Object,3.0,4.0,3.0,3.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_77,51606,Timing Point,3.0,4.0,3.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_78,51838,Hit Object,3.0,4.0,3.0,3.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_79,52322,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_80,52806,Hit Object,3.0,4.0,3.0,3.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_81,53774,Hit Object,3.0,4.0,3.0,3.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_82,54258,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_83,54752,Timing Point,3.0,4.0,3.0,3.0,0,0,0,0,0,0,1,484.457004440856,4,0,0
Row_84,54752,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_85,55720,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_86,56205,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_87,56689,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_88,57174,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_89,57658,Hit Object,3.0,4.0,3.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_90,58143,Hit Object,3.0,4.0,3.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_91,58627,Hit Object,3.0,4.0,3.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_92,59112,Hit Object,3.0,4.0,3.0,3.0,2,8,60080,2,1.0,0,0,0,0,0,0
