Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,822,Timing Point,6.0,4.0,7.0,8.0,0,0,0,0,0,0,1,398.379921651949,4,0,0
Row_1,7196,Timing Point,6.0,4.0,7.0,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_2,7196,Hit Object,6.0,4.0,7.0,8.0,5,6,0,0,1.0,0,0,0,0,0,0
Row_3,7395,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,7594,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_5,7793,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,7893,Hit Object,6.0,4.0,7.0,8.0,2,0,8191,1,1.0,0,0,0,0,0,0
Row_7,8391,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_8,8590,Hit Object,6.0,4.0,7.0,8.0,6,0,8689,1,1.0,0,0,0,0,0,0
Row_9,8789,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,8988,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,9187,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_12,9387,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,9486,Hit Object,6.0,4.0,7.0,8.0,2,0,9784,1,1.0,0,0,0,0,0,0
Row_14,9984,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_15,10183,Hit Object,6.0,4.0,7.0,8.0,6,0,10282,1,1.0,0,0,0,0,0,0
Row_16,10383,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,10582,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,10781,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_19,10980,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,11080,Hit Object,6.0,4.0,7.0,8.0,2,0,11378,1,1.0,0,0,0,0,0,0
Row_21,11578,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_22,11777,Hit Object,6.0,4.0,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_23,11877,Hit Object,6.0,4.0,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,11976,Hit Object,6.0,4.0,7.0,8.0,2,0,12274,1,1.0,0,0,0,0,0,0
Row_25,12375,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_26,12574,Hit Object,6.0,4.0,7.0,8.0,2,0,12972,1,1.0,0,0,0,0,0,0
Row_27,13171,Hit Object,6.0,4.0,7.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,13370,Hit Object,6.0,4.0,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_29,13470,Hit Object,6.0,4.0,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_30,13570,Hit Object,6.0,4.0,7.0,8.0,2,0,13769,1,1.0,0,0,0,0,0,0
Row_31,13968,Hit Object,6.0,4.0,7.0,8.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_32,14167,Hit Object,6.0,4.0,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,14267,Hit Object,6.0,4.0,7.0,8.0,2,0,14565,1,1.0,0,0,0,0,0,0
Row_34,14765,Hit Object,6.0,4.0,7.0,8.0,1,8,0,0,1.0,0,0,0,0,0,0
