Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,822,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,1,398.379921651949,4,0,0
Row_1,822,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_2,822,Hit Object,8.5,5.0,5.5,5.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_3,1220,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_4,1220,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,1419,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_6,1419,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,1519,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_8,1618,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_9,1618,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,2017,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_11,2017,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_12,2315,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_13,2315,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,2415,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_15,2415,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,2813,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_17,2813,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_18,3013,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_19,3013,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_20,3112,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_21,3212,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_22,3212,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_23,3610,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_24,3610,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,3909,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_26,3909,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,4009,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_28,4009,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,4407,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_30,4407,Hit Object,8.5,5.0,5.5,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,4606,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_32,4606,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_33,4706,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_34,4805,Timing Point,8.5,5.0,5.5,5.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_35,4805,Hit Object,8.5,5.0,5.5,5.0,1,8,0,0,1.0,0,0,0,0,0,0
