Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,822,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,1,398.379921651949,4,0,0
Row_1,822,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-117.647058823529,4,0,0
Row_2,822,Hit Object,8.0,5.0,6.0,5.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_3,1220,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-116.789123623504,4,0,0
Row_4,1220,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,1419,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-116.364831312984,4,0,0
Row_6,1419,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,1519,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-116.152780814928,4,0,0
Row_8,1519,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_9,1618,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-115.943610732151,4,0,0
Row_10,1618,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,2017,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-115.108173511034,4,0,0
Row_12,2017,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_13,2315,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-114.492024716195,4,0,0
Row_14,2315,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,2415,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-114.28673886538,4,0,0
Row_16,2415,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,2813,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-113.476944988428,4,0,0
Row_18,2813,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_19,3013,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-113.074330317545,4,0,0
Row_20,3013,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,3112,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-112.876091306735,4,0,0
Row_22,3112,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,3212,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-112.676554296523,4,0,0
Row_24,3212,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,3610,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-111.889339442133,4,0,0
Row_26,3610,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,3909,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-111.305137428841,4,0,0
Row_28,3909,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,4009,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_30,4009,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,4407,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-110.3455439374,4,0,0
Row_32,4407,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_33,4606,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-109.966702896675,4,0,0
Row_34,4606,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_35,4706,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-109.777310852006,4,0,0
Row_36,4706,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_37,4805,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-109.590454248478,4,0,0
Row_38,4805,Hit Object,8.0,5.0,6.0,5.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_39,5204,Timing Point,8.0,5.0,6.0,5.0,0,0,0,0,0,0,0,-108.843769744369,4,0,0
Row_40,5204,Hit Object,8.0,5.0,6.0,5.0,1,0,0,0,1.0,0,0,0,0,0,0
