Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,822,Timing Point,5.0,3.8,8.0,8.5,0,0,0,0,0,0,1,398.379921651949,4,0,0
Row_1,822,Timing Point,5.0,3.8,8.0,8.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_2,822,Hit Object,5.0,3.8,8.0,8.5,6,0,1220,1,1.0,0,0,0,0,0,0
Row_3,1419,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,1519,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,1618,Hit Object,5.0,3.8,8.0,8.5,2,0,1817,1,1.0,0,0,0,0,0,0
Row_6,2017,Hit Object,5.0,3.8,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,2216,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_8,2315,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,2415,Hit Object,5.0,3.8,8.0,8.5,6,0,2813,1,1.0,0,0,0,0,0,0
Row_10,3013,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,3112,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,3212,Hit Object,5.0,3.8,8.0,8.5,2,0,3411,1,1.0,0,0,0,0,0,0
Row_13,3610,Hit Object,5.0,3.8,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,3809,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,3909,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,4009,Hit Object,5.0,3.8,8.0,8.5,6,0,4407,1,1.0,0,0,0,0,0,0
Row_17,4606,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_18,4706,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,4805,Hit Object,5.0,3.8,8.0,8.5,2,0,5004,1,1.0,0,0,0,0,0,0
Row_20,5204,Hit Object,5.0,3.8,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_21,5403,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,5502,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,5602,Hit Object,5.0,3.8,8.0,8.5,6,0,6000,1,1.0,0,0,0,0,0,0
Row_24,6200,Hit Object,5.0,3.8,8.0,8.5,2,0,6598,1,1.0,0,0,0,0,0,0
Row_25,6797,Hit Object,5.0,3.8,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,6996,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,7096,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_28,7196,Timing Point,5.0,3.8,8.0,8.5,0,0,0,0,0,0,0,-99.9999999999999,4,0,0
Row_29,7196,Hit Object,5.0,3.8,8.0,8.5,5,6,0,0,1.0,0,0,0,0,0,0
Row_30,7395,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_31,7594,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_32,7793,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,7893,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_34,7992,Hit Object,5.0,3.8,8.0,8.5,6,0,8290,1,1.0,0,0,0,0,0,0
Row_35,8391,Hit Object,5.0,3.8,8.0,8.5,2,0,8590,1,1.0,0,0,0,0,0,0
Row_36,8789,Hit Object,5.0,3.8,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_37,8988,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_38,9187,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_39,9387,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,9486,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_41,9586,Hit Object,5.0,3.8,8.0,8.5,6,0,9884,1,1.0,0,0,0,0,0,0
Row_42,9984,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_43,10183,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,10283,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_45,10383,Hit Object,5.0,3.8,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_46,10582,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_47,10781,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_48,10980,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,11080,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_50,11179,Hit Object,5.0,3.8,8.0,8.5,6,0,11477,1,1.0,0,0,0,0,0,0
Row_51,11578,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_52,11777,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,11877,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_54,11976,Hit Object,5.0,3.8,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_55,12175,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,12375,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_57,12574,Hit Object,5.0,3.8,8.0,8.5,2,0,12872,1,1.0,0,0,0,0,0,0
Row_58,12972,Hit Object,5.0,3.8,8.0,8.5,2,0,13171,1,1.0,0,0,0,0,0,0
Row_59,13370,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_60,13470,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,13570,Hit Object,5.0,3.8,8.0,8.5,6,0,13868,1,1.0,0,0,0,0,0,0
Row_62,13968,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_63,14167,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_64,14267,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_65,14366,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_66,14566,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_67,14765,Hit Object,5.0,3.8,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_68,14964,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_69,15064,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_70,15163,Hit Object,5.0,3.8,8.0,8.5,6,0,15362,1,1.0,0,0,0,0,0,0
Row_71,15562,Hit Object,5.0,3.8,8.0,8.5,2,0,15761,1,1.0,0,0,0,0,0,0
Row_72,15860,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_73,15960,Hit Object,5.0,3.8,8.0,8.5,2,0,16159,1,1.0,0,0,0,0,0,0
Row_74,16358,Hit Object,5.0,3.8,8.0,8.5,2,0,16557,1,1.0,0,0,0,0,0,0
Row_75,16657,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_76,16757,Hit Object,5.0,3.8,8.0,8.5,6,0,17055,1,1.0,0,0,0,0,0,0
Row_77,17155,Hit Object,5.0,3.8,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_78,17354,Hit Object,5.0,3.8,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_79,17454,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_80,17553,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_81,17753,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,17952,Hit Object,5.0,3.8,8.0,8.5,2,0,18151,1,1.0,0,0,0,0,0,0
Row_83,18251,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_84,18350,Hit Object,5.0,3.8,8.0,8.5,6,0,18748,1,1.0,0,0,0,0,0,0
Row_85,18948,Hit Object,5.0,3.8,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
