Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,4.0,4.0,5.3,6.3,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,4.0,4.0,5.3,6.3,6,0,5153,1,1.0,0,0,0,0,0,0
Row_2,5335,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_3,5517,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,5880,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_5,6062,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,6244,Hit Object,4.0,4.0,5.3,6.3,6,0,6425,1,1.0,0,0,0,0,0,0
Row_7,6608,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,6971,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,7335,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,7699,Hit Object,4.0,4.0,5.3,6.3,6,0,8062,1,1.0,0,0,0,0,0,0
Row_11,8244,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,8426,Hit Object,4.0,4.0,5.3,6.3,2,0,8607,1,1.0,0,0,0,0,0,0
Row_13,8790,Hit Object,4.0,4.0,5.3,6.3,2,0,8971,1,1.0,0,0,0,0,0,0
Row_14,9153,Hit Object,4.0,4.0,5.3,6.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,9335,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,9517,Hit Object,4.0,4.0,5.3,6.3,2,0,9698,1,1.0,0,0,0,0,0,0
Row_17,9880,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,10062,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,10244,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,10608,Hit Object,4.0,4.0,5.3,6.3,6,0,10971,1,1.0,0,0,0,0,0,0
Row_21,11153,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,11335,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,11699,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,11880,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,12062,Hit Object,4.0,4.0,5.3,6.3,6,0,12243,1,1.0,0,0,0,0,0,0
Row_26,12426,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_27,12790,Hit Object,4.0,4.0,5.3,6.3,2,0,13153,1,1.0,0,0,0,0,0,0
Row_28,13517,Hit Object,4.0,4.0,5.3,6.3,6,0,13880,2,1.0,0,0,0,0,0,0
Row_29,14244,Hit Object,4.0,4.0,5.3,6.3,2,0,14425,1,1.0,0,0,0,0,0,0
Row_30,14608,Hit Object,4.0,4.0,5.3,6.3,2,0,14789,1,1.0,0,0,0,0,0,0
Row_31,14971,Hit Object,4.0,4.0,5.3,6.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_32,15153,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_33,15335,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_34,15517,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_35,15699,Hit Object,4.0,4.0,5.3,6.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,16426,Timing Point,4.0,4.0,5.3,6.3,0,0,0,0,0,0,0,-100.0,4,0,0
Row_37,16426,Hit Object,4.0,4.0,5.3,6.3,6,0,16789,1,1.0,0,0,0,0,0,0
Row_38,16971,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_39,17153,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_40,17517,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_41,17699,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_42,17880,Hit Object,4.0,4.0,5.3,6.3,6,0,18061,1,1.0,0,0,0,0,0,0
Row_43,18244,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_44,18608,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_45,18790,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_46,18971,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_47,19335,Hit Object,4.0,4.0,5.3,6.3,6,0,19698,1,1.0,0,0,0,0,0,0
Row_48,19880,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_49,20062,Hit Object,4.0,4.0,5.3,6.3,2,0,20243,1,1.0,0,0,0,0,0,0
Row_50,20426,Hit Object,4.0,4.0,5.3,6.3,2,0,20607,1,1.0,0,0,0,0,0,0
Row_51,20790,Hit Object,4.0,4.0,5.3,6.3,5,10,0,0,1.0,0,0,0,0,0,0
Row_52,20971,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_53,21153,Hit Object,4.0,4.0,5.3,6.3,2,0,21334,1,1.0,0,0,0,0,0,0
Row_54,21517,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_55,21699,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_56,21880,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_57,22062,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_58,22244,Hit Object,4.0,4.0,5.3,6.3,6,0,22607,1,1.0,0,0,0,0,0,0
Row_59,22790,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_60,22971,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_61,23335,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_62,23517,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_63,23699,Hit Object,4.0,4.0,5.3,6.3,6,0,23880,1,1.0,0,0,0,0,0,0
Row_64,24062,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_65,24426,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_66,24608,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_67,24790,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_68,25153,Hit Object,4.0,4.0,5.3,6.3,6,0,25516,2,1.0,0,0,0,0,0,0
Row_69,25699,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_70,25880,Hit Object,4.0,4.0,5.3,6.3,2,0,26061,1,1.0,0,0,0,0,0,0
Row_71,26244,Hit Object,4.0,4.0,5.3,6.3,2,0,26425,1,1.0,0,0,0,0,0,0
Row_72,26608,Hit Object,4.0,4.0,5.3,6.3,5,10,0,0,1.0,0,0,0,0,0,0
Row_73,26790,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_74,26971,Hit Object,4.0,4.0,5.3,6.3,1,10,0,0,1.0,0,0,0,0,0,0
Row_75,27153,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_76,27335,Hit Object,4.0,4.0,5.3,6.3,2,0,27698,2,1.0,0,0,0,0,0,0
Row_77,28062,Hit Object,4.0,4.0,5.3,6.3,6,0,28425,2,1.0,0,0,0,0,0,0
Row_78,28790,Hit Object,4.0,4.0,5.3,6.3,2,0,29153,2,1.0,0,0,0,0,0,0
Row_79,29517,Hit Object,4.0,4.0,5.3,6.3,6,0,29880,2,1.0,0,0,0,0,0,0
Row_80,30062,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_81,30244,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_82,30426,Hit Object,4.0,4.0,5.3,6.3,1,8,0,0,1.0,0,0,0,0,0,0
Row_83,30608,Hit Object,4.0,4.0,5.3,6.3,2,0,30789,1,1.0,0,0,0,0,0,0
Row_84,30971,Hit Object,4.0,4.0,5.3,6.3,6,0,31334,2,1.0,0,0,0,0,0,0
Row_85,31699,Hit Object,4.0,4.0,5.3,6.3,2,0,32062,2,1.0,0,0,0,0,0,0
Row_86,32426,Hit Object,4.0,4.0,5.3,6.3,6,0,32789,2,1.0,0,0,0,0,0,0
Row_87,32971,Hit Object,4.0,4.0,5.3,6.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_88,33153,Hit Object,4.0,4.0,5.3,6.3,2,0,33334,2,1.0,0,0,0,0,0,0
Row_89,33517,Hit Object,4.0,4.0,5.3,6.3,2,0,33698,2,1.0,0,0,0,0,0,0
Row_90,33880,Hit Object,4.0,4.0,5.3,6.3,6,0,34061,1,1.0,0,0,0,0,0,0
Row_91,34244,Hit Object,4.0,4.0,5.3,6.3,2,0,34425,1,1.0,0,0,0,0,0,0
Row_92,34608,Hit Object,4.0,4.0,5.3,6.3,2,0,34789,2,1.0,0,0,0,0,0,0
Row_93,34971,Hit Object,4.0,4.0,5.3,6.3,2,0,35152,2,1.0,0,0,0,0,0,0
Row_94,35335,Hit Object,4.0,4.0,5.3,6.3,6,0,35516,1,1.0,0,0,0,0,0,0
