Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,6.0,4.2,7.5,8.5,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,6.0,4.2,7.5,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_2,5153,Hit Object,6.0,4.2,7.5,8.5,2,0,5334,1,1.0,0,0,0,0,0,0
Row_3,5517,Hit Object,6.0,4.2,7.5,8.5,2,0,5698,1,1.0,0,0,0,0,0,0
Row_4,5880,Hit Object,6.0,4.2,7.5,8.5,2,0,6061,1,1.0,0,0,0,0,0,0
Row_5,6244,Hit Object,6.0,4.2,7.5,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_6,6426,Hit Object,6.0,4.2,7.5,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6608,Hit Object,6.0,4.2,7.5,8.5,2,0,6789,1,1.0,0,0,0,0,0,0
Row_8,6971,Hit Object,6.0,4.2,7.5,8.5,2,0,7152,1,1.0,0,0,0,0,0,0
Row_9,7335,Hit Object,6.0,4.2,7.5,8.5,2,0,7516,1,1.0,0,0,0,0,0,0
Row_10,7699,Hit Object,6.0,4.2,7.5,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,8062,Hit Object,6.0,4.2,7.5,8.5,2,0,8243,1,1.0,0,0,0,0,0,0
Row_12,8426,Hit Object,6.0,4.2,7.5,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,8608,Hit Object,6.0,4.2,7.5,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,8790,Hit Object,6.0,4.2,7.5,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_15,8971,Hit Object,6.0,4.2,7.5,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,9153,Hit Object,6.0,4.2,7.5,8.5,6,0,9334,1,1.0,0,0,0,0,0,0
Row_17,9517,Hit Object,6.0,4.2,7.5,8.5,2,0,9698,1,1.0,0,0,0,0,0,0
Row_18,9880,Hit Object,6.0,4.2,7.5,8.5,2,0,10061,1,1.0,0,0,0,0,0,0
Row_19,10243,Hit Object,6.0,4.2,7.5,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,10425,Hit Object,6.0,4.2,7.5,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,10608,Hit Object,6.0,4.2,7.5,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,10971,Hit Object,6.0,4.2,7.5,8.5,2,0,11152,1,1.0,0,0,0,0,0,0
Row_23,11335,Hit Object,6.0,4.2,7.5,8.5,2,0,11516,1,1.0,0,0,0,0,0,0
Row_24,11699,Hit Object,6.0,4.2,7.5,8.5,2,0,11880,1,1.0,0,0,0,0,0,0
Row_25,12062,Hit Object,6.0,4.2,7.5,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_26,12244,Hit Object,6.0,4.2,7.5,8.5,1,0,0,0,1.0,0,0,0,0,0,0
