Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,5.0,4.3,7.0,8.0,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_2,5153,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_3,5335,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,5517,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,5880,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,6062,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6244,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_8,6426,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,6608,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,6971,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_11,7335,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,7699,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_13,8062,Hit Object,5.0,4.3,7.0,8.0,2,0,8243,1,1.0,0,0,0,0,0,0
Row_14,8426,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_15,8608,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,8790,Hit Object,5.0,4.3,7.0,8.0,2,0,8971,1,1.0,0,0,0,0,0,0
Row_17,9153,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_18,9335,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,9517,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,9699,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,9880,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,10062,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,10244,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_24,10608,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,10971,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,11152,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,11334,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,11699,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_29,11881,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_30,12062,Hit Object,5.0,4.3,7.0,8.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_31,12244,Hit Object,5.0,4.3,7.0,8.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_32,12426,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,12790,Hit Object,5.0,4.3,7.0,8.0,1,2,0,0,1.0,0,0,0,0,0,0
