Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,6.0,4.2,8.3,9.3,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_2,5153,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_3,5335,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,5517,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_5,5880,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,6062,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6244,Hit Object,6.0,4.2,8.3,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_8,6426,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,6608,Hit Object,6.0,4.2,8.3,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,6971,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_11,7335,Hit Object,6.0,4.2,8.3,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_12,7699,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_13,8062,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,8244,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,8426,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_16,8608,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,8790,Hit Object,6.0,4.2,8.3,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_18,8972,Hit Object,6.0,4.2,8.3,9.3,1,0,0,0,1.0,0,0,0,0,0,0
