Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,3.0,3.5,3.5,4.5,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,3.0,3.5,3.5,4.5,6,0,5153,1,1.0,0,0,0,0,0,0
Row_2,5517,Hit Object,3.0,3.5,3.5,4.5,2,0,5880,1,1.0,0,0,0,0,0,0
Row_3,6244,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,6608,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,6971,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_6,7335,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_7,7699,Hit Object,3.0,3.5,3.5,4.5,6,0,8062,1,1.0,0,0,0,0,0,0
Row_8,8426,Hit Object,3.0,3.5,3.5,4.5,2,0,8789,1,1.0,0,0,0,0,0,0
Row_9,9153,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_10,9517,Hit Object,3.0,3.5,3.5,4.5,2,0,9698,1,1.0,0,0,0,0,0,0
Row_11,9880,Hit Object,3.0,3.5,3.5,4.5,2,0,10061,1,1.0,0,0,0,0,0,0
Row_12,10244,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_13,10608,Hit Object,3.0,3.5,3.5,4.5,6,0,10971,1,1.0,0,0,0,0,0,0
Row_14,11335,Hit Object,3.0,3.5,3.5,4.5,2,0,11698,1,1.0,0,0,0,0,0,0
Row_15,12062,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_16,12426,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_17,12790,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,13153,Hit Object,3.0,3.5,3.5,4.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_19,13517,Hit Object,3.0,3.5,3.5,4.5,12,10,0,0,1.0,0,0,0,0,0,0
Row_20,16426,Timing Point,3.0,3.5,3.5,4.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_21,17880,Hit Object,3.0,3.5,3.5,4.5,5,10,0,0,1.0,0,0,0,0,0,0
Row_22,18244,Hit Object,3.0,3.5,3.5,4.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_23,18608,Hit Object,3.0,3.5,3.5,4.5,2,0,18971,2,1.0,0,0,0,0,0,0
Row_24,19335,Hit Object,3.0,3.5,3.5,4.5,6,0,19698,1,1.0,0,0,0,0,0,0
Row_25,20062,Hit Object,3.0,3.5,3.5,4.5,2,0,20425,1,1.0,0,0,0,0,0,0
Row_26,20790,Hit Object,3.0,3.5,3.5,4.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_27,21153,Hit Object,3.0,3.5,3.5,4.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_28,21517,Hit Object,3.0,3.5,3.5,4.5,2,0,21880,2,1.0,0,0,0,0,0,0
Row_29,22062,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,22244,Hit Object,3.0,3.5,3.5,4.5,6,0,22607,1,1.0,0,0,0,0,0,0
Row_31,22971,Hit Object,3.0,3.5,3.5,4.5,2,0,23334,1,1.0,0,0,0,0,0,0
Row_32,23699,Hit Object,3.0,3.5,3.5,4.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_33,24062,Hit Object,3.0,3.5,3.5,4.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_34,24426,Hit Object,3.0,3.5,3.5,4.5,2,0,24789,2,1.0,0,0,0,0,0,0
Row_35,25153,Hit Object,3.0,3.5,3.5,4.5,6,0,25516,1,1.0,0,0,0,0,0,0
Row_36,25699,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_37,25880,Hit Object,3.0,3.5,3.5,4.5,2,0,26243,1,1.0,0,0,0,0,0,0
Row_38,26608,Hit Object,3.0,3.5,3.5,4.5,2,0,26971,2,1.0,0,0,0,0,0,0
Row_39,27153,Hit Object,3.0,3.5,3.5,4.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,27335,Hit Object,3.0,3.5,3.5,4.5,2,0,27698,2,1.0,0,0,0,0,0,0
Row_41,28062,Hit Object,3.0,3.5,3.5,4.5,6,0,28425,1,1.0,0,0,0,0,0,0
Row_42,28790,Hit Object,3.0,3.5,3.5,4.5,2,0,29153,1,1.0,0,0,0,0,0,0
Row_43,29517,Hit Object,3.0,3.5,3.5,4.5,2,0,29880,1,1.0,0,0,0,0,0,0
Row_44,30244,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_45,30608,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_46,30971,Hit Object,3.0,3.5,3.5,4.5,6,0,31334,1,1.0,0,0,0,0,0,0
Row_47,31699,Hit Object,3.0,3.5,3.5,4.5,2,0,32062,1,1.0,0,0,0,0,0,0
Row_48,32426,Hit Object,3.0,3.5,3.5,4.5,2,0,32789,1,1.0,0,0,0,0,0,0
Row_49,33153,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_50,33517,Hit Object,3.0,3.5,3.5,4.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_51,33880,Hit Object,3.0,3.5,3.5,4.5,6,0,34243,1,1.0,0,0,0,0,0,0
Row_52,34608,Hit Object,3.0,3.5,3.5,4.5,2,0,34789,1,1.0,0,0,0,0,0,0
Row_53,34971,Hit Object,3.0,3.5,3.5,4.5,2,0,35152,1,1.0,0,0,0,0,0,0
Row_54,35335,Hit Object,3.0,3.5,3.5,4.5,2,0,35698,1,1.0,0,0,0,0,0,0
Row_55,36062,Hit Object,3.0,3.5,3.5,4.5,2,0,36243,1,1.0,0,0,0,0,0,0
Row_56,36426,Hit Object,3.0,3.5,3.5,4.5,2,0,36607,1,1.0,0,0,0,0,0,0
Row_57,36790,Hit Object,3.0,3.5,3.5,4.5,12,0,0,0,1.0,0,0,0,0,0,0
Row_58,38244,Timing Point,3.0,3.5,3.5,4.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_59,39699,Timing Point,3.0,3.5,3.5,4.5,0,0,0,0,0,0,0,-100.0,4,0,0
