Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,6.0,4.0,8.0,9.3,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Timing Point,6.0,4.0,8.0,9.3,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_2,4790,Hit Object,6.0,4.0,8.0,9.3,6,0,4971,1,1.0,0,0,0,0,0,0
Row_3,5153,Hit Object,6.0,4.0,8.0,9.3,2,0,5334,1,1.0,0,0,0,0,0,0
Row_4,5517,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_5,5699,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,5880,Hit Object,6.0,4.0,8.0,9.3,5,0,0,0,1.0,0,0,0,0,0,0
Row_7,6062,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_8,6244,Hit Object,6.0,4.0,8.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_9,6426,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_10,6608,Hit Object,6.0,4.0,8.0,9.3,2,0,6789,1,1.0,0,0,0,0,0,0
Row_11,6971,Hit Object,6.0,4.0,8.0,9.3,2,0,7152,1,1.0,0,0,0,0,0,0
Row_12,7335,Hit Object,6.0,4.0,8.0,9.3,2,0,7516,1,1.0,0,0,0,0,0,0
Row_13,7699,Hit Object,6.0,4.0,8.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_14,7880,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_15,8062,Hit Object,6.0,4.0,8.0,9.3,2,0,8243,1,1.0,0,0,0,0,0,0
Row_16,8426,Hit Object,6.0,4.0,8.0,9.3,2,0,8607,1,1.0,0,0,0,0,0,0
Row_17,8790,Hit Object,6.0,4.0,8.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_18,8971,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,9153,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,9335,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,9517,Hit Object,6.0,4.0,8.0,9.3,6,0,9698,1,1.0,0,0,0,0,0,0
Row_22,9880,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,10062,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,10244,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_25,10608,Hit Object,6.0,4.0,8.0,9.3,6,0,10789,1,1.0,0,0,0,0,0,0
Row_26,10971,Hit Object,6.0,4.0,8.0,9.3,2,0,11152,1,1.0,0,0,0,0,0,0
Row_27,11335,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_28,11517,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_29,11699,Hit Object,6.0,4.0,8.0,9.3,5,0,0,0,1.0,0,0,0,0,0,0
Row_30,11881,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,12062,Hit Object,6.0,4.0,8.0,9.3,5,2,0,0,1.0,0,0,0,0,0,0
Row_32,12244,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_33,12426,Hit Object,6.0,4.0,8.0,9.3,2,0,12607,1,1.0,0,0,0,0,0,0
Row_34,12790,Hit Object,6.0,4.0,8.0,9.3,2,0,12971,1,1.0,0,0,0,0,0,0
Row_35,13153,Hit Object,6.0,4.0,8.0,9.3,2,0,13334,1,1.0,0,0,0,0,0,0
Row_36,13517,Hit Object,6.0,4.0,8.0,9.3,37,2,0,0,1.0,0,0,0,0,0,0
Row_37,13699,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
Row_38,13880,Hit Object,6.0,4.0,8.0,9.3,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,14244,Hit Object,6.0,4.0,8.0,9.3,21,2,0,0,1.0,0,0,0,0,0,0
Row_40,14426,Hit Object,6.0,4.0,8.0,9.3,1,0,0,0,1.0,0,0,0,0,0,0
