Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,4790,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,1,363.636363636364,4,0,0
Row_1,4790,Hit Object,2.0,2.5,2.0,3.0,6,0,5880,1,1.0,0,0,0,0,0,0
Row_2,6244,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_3,6608,Hit Object,2.0,2.5,2.0,3.0,2,0,7335,1,1.0,0,0,0,0,0,0
Row_4,7699,Hit Object,2.0,2.5,2.0,3.0,6,0,8789,1,1.0,0,0,0,0,0,0
Row_5,9153,Hit Object,2.0,2.5,2.0,3.0,2,0,9516,1,1.0,0,0,0,0,0,0
Row_6,9880,Hit Object,2.0,2.5,2.0,3.0,2,0,10243,1,1.0,0,0,0,0,0,0
Row_7,10608,Hit Object,2.0,2.5,2.0,3.0,6,0,11698,1,1.0,0,0,0,0,0,0
Row_8,12062,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_9,12426,Hit Object,2.0,2.5,2.0,3.0,2,0,13153,1,1.0,0,0,0,0,0,0
Row_10,13517,Hit Object,2.0,2.5,2.0,3.0,12,10,0,0,1.0,0,0,0,0,0,0
Row_11,16426,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_12,17880,Hit Object,2.0,2.5,2.0,3.0,5,10,0,0,1.0,0,0,0,0,0,0
Row_13,18244,Hit Object,2.0,2.5,2.0,3.0,2,0,18971,1,1.0,0,0,0,0,0,0
Row_14,19335,Hit Object,2.0,2.5,2.0,3.0,6,0,20425,1,1.0,0,0,0,0,0,0
Row_15,20790,Hit Object,2.0,2.5,2.0,3.0,2,0,21153,1,1.0,0,0,0,0,0,0
Row_16,21517,Hit Object,2.0,2.5,2.0,3.0,2,0,21880,1,1.0,0,0,0,0,0,0
Row_17,22244,Hit Object,2.0,2.5,2.0,3.0,6,0,23334,1,1.0,0,0,0,0,0,0
Row_18,23699,Hit Object,2.0,2.5,2.0,3.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_19,24062,Hit Object,2.0,2.5,2.0,3.0,2,0,24789,1,1.0,0,0,0,0,0,0
Row_20,25153,Hit Object,2.0,2.5,2.0,3.0,6,0,25516,1,1.0,0,0,0,0,0,0
Row_21,25880,Hit Object,2.0,2.5,2.0,3.0,2,0,27334,2,1.0,0,0,0,0,0,0
Row_22,28062,Hit Object,2.0,2.5,2.0,3.0,6,0,29152,2,1.0,0,0,0,0,0,0
Row_23,29517,Hit Object,2.0,2.5,2.0,3.0,2,0,30244,1,1.0,0,0,0,0,0,0
Row_24,30608,Hit Object,2.0,2.5,2.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,30971,Hit Object,2.0,2.5,2.0,3.0,6,0,32061,2,1.0,0,0,0,0,0,0
Row_26,32426,Hit Object,2.0,2.5,2.0,3.0,2,0,33516,1,1.0,0,0,0,0,0,0
Row_27,33880,Hit Object,2.0,2.5,2.0,3.0,6,0,34243,1,1.0,0,0,0,0,0,0
Row_28,34608,Hit Object,2.0,2.5,2.0,3.0,2,0,34971,1,1.0,0,0,0,0,0,0
Row_29,35335,Hit Object,2.0,2.5,2.0,3.0,2,0,36425,2,1.0,0,0,0,0,0,0
Row_30,36790,Hit Object,2.0,2.5,2.0,3.0,6,0,37153,1,1.0,0,0,0,0,0,0
Row_31,37517,Hit Object,2.0,2.5,2.0,3.0,2,0,37880,1,1.0,0,0,0,0,0,0
Row_32,38244,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_33,38244,Hit Object,2.0,2.5,2.0,3.0,2,0,39334,1,1.0,0,0,0,0,0,0
Row_34,39699,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_35,39699,Hit Object,2.0,2.5,2.0,3.0,6,0,40426,1,1.0,0,0,0,0,0,0
Row_36,40790,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,41153,Hit Object,2.0,2.5,2.0,3.0,2,0,41880,1,1.0,0,0,0,0,0,0
Row_38,42244,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,42608,Hit Object,2.0,2.5,2.0,3.0,6,0,44062,2,1.0,0,0,0,0,0,0
Row_40,44426,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,44790,Hit Object,2.0,2.5,2.0,3.0,2,0,45517,1,1.0,0,0,0,0,0,0
Row_42,45880,Hit Object,2.0,2.5,2.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_43,46244,Hit Object,2.0,2.5,2.0,3.0,2,0,46607,1,1.0,0,0,0,0,0,0
Row_44,46971,Hit Object,2.0,2.5,2.0,3.0,2,0,47334,1,1.0,0,0,0,0,0,0
Row_45,47699,Hit Object,2.0,2.5,2.0,3.0,2,0,48426,1,1.0,0,0,0,0,0,0
Row_46,48790,Hit Object,2.0,2.5,2.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_47,49153,Hit Object,2.0,2.5,2.0,3.0,2,0,49880,1,1.0,0,0,0,0,0,0
Row_48,50608,Hit Object,2.0,2.5,2.0,3.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_49,51335,Hit Object,2.0,2.5,2.0,3.0,6,0,52062,1,1.0,0,0,0,0,0,0
Row_50,52426,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,52790,Hit Object,2.0,2.5,2.0,3.0,2,0,53517,1,1.0,0,0,0,0,0,0
Row_52,53880,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,54244,Hit Object,2.0,2.5,2.0,3.0,6,0,55698,2,1.0,0,0,0,0,0,0
Row_54,56062,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,56426,Hit Object,2.0,2.5,2.0,3.0,2,0,57153,1,1.0,0,0,0,0,0,0
Row_56,57517,Hit Object,2.0,2.5,2.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_57,57880,Hit Object,2.0,2.5,2.0,3.0,2,0,58243,1,1.0,0,0,0,0,0,0
Row_58,58608,Hit Object,2.0,2.5,2.0,3.0,2,0,58971,1,1.0,0,0,0,0,0,0
Row_59,59335,Hit Object,2.0,2.5,2.0,3.0,2,0,60062,1,1.0,0,0,0,0,0,0
Row_60,60426,Hit Object,2.0,2.5,2.0,3.0,6,0,60789,1,1.0,0,0,0,0,0,0
Row_61,61335,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_62,62244,Hit Object,2.0,2.5,2.0,3.0,2,0,62607,1,1.0,0,0,0,0,0,0
Row_63,62971,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,1,0
Row_64,62971,Hit Object,2.0,2.5,2.0,3.0,6,0,63698,1,1.0,0,0,0,0,0,0
Row_65,64062,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_66,64426,Hit Object,2.0,2.5,2.0,3.0,2,0,65880,2,1.0,0,0,0,0,0,0
Row_67,66244,Hit Object,2.0,2.5,2.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_68,66608,Hit Object,2.0,2.5,2.0,3.0,2,0,67335,1,1.0,0,0,0,0,0,0
Row_69,67699,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_70,68062,Hit Object,2.0,2.5,2.0,3.0,2,0,68425,1,1.0,0,0,0,0,0,0
Row_71,68790,Hit Object,2.0,2.5,2.0,3.0,6,0,69517,1,1.0,0,0,0,0,0,0
Row_72,69880,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_73,70244,Hit Object,2.0,2.5,2.0,3.0,2,0,70971,1,1.0,0,0,0,0,0,0
Row_74,71335,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_75,71699,Hit Object,2.0,2.5,2.0,3.0,6,0,73153,2,1.0,0,0,0,0,0,0
Row_76,73517,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_77,73880,Hit Object,2.0,2.5,2.0,3.0,2,0,74243,1,1.0,0,0,0,0,0,0
Row_78,74517,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_79,74608,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,1,0
Row_80,74608,Hit Object,2.0,2.5,2.0,3.0,6,0,75335,1,1.0,0,0,0,0,0,0
Row_81,75699,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,76062,Hit Object,2.0,2.5,2.0,3.0,2,0,77516,2,1.0,0,0,0,0,0,0
Row_83,77880,Hit Object,2.0,2.5,2.0,3.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_84,78244,Hit Object,2.0,2.5,2.0,3.0,2,0,78971,1,1.0,0,0,0,0,0,0
Row_85,79335,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_86,79699,Hit Object,2.0,2.5,2.0,3.0,2,0,80062,1,1.0,0,0,0,0,0,0
Row_87,80426,Hit Object,2.0,2.5,2.0,3.0,6,0,81153,1,1.0,0,0,0,0,0,0
Row_88,81517,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_89,81880,Hit Object,2.0,2.5,2.0,3.0,2,0,82607,1,1.0,0,0,0,0,0,0
Row_90,82971,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_91,83335,Hit Object,2.0,2.5,2.0,3.0,6,0,84789,2,1.0,0,0,0,0,0,0
Row_92,85153,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_93,85517,Hit Object,2.0,2.5,2.0,3.0,2,0,85880,1,1.0,0,0,0,0,0,0
Row_94,86244,Timing Point,2.0,2.5,2.0,3.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_95,86244,Hit Object,2.0,2.5,2.0,3.0,6,0,87334,1,1.0,0,0,0,0,0,0
Row_96,87699,Hit Object,2.0,2.5,2.0,3.0,2,0,88426,1,1.0,0,0,0,0,0,0
Row_97,88790,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_98,89153,Hit Object,2.0,2.5,2.0,3.0,6,0,90607,2,1.0,0,0,0,0,0,0
Row_99,90971,Hit Object,2.0,2.5,2.0,3.0,2,0,91334,1,1.0,0,0,0,0,0,0
Row_100,91699,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_101,92062,Hit Object,2.0,2.5,2.0,3.0,6,0,93152,1,1.0,0,0,0,0,0,0
Row_102,93517,Hit Object,2.0,2.5,2.0,3.0,2,0,93880,1,1.0,0,0,0,0,0,0
Row_103,94244,Hit Object,2.0,2.5,2.0,3.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_104,94608,Hit Object,2.0,2.5,2.0,3.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_105,94971,Hit Object,2.0,2.5,2.0,3.0,6,0,95334,1,1.0,0,0,0,0,0,0
Row_106,95699,Hit Object,2.0,2.5,2.0,3.0,2,0,97517,1,1.0,0,0,0,0,0,0
Row_107,97880,Hit Object,2.0,2.5,2.0,3.0,1,0,0,0,1.0,0,0,0,0,0,0
