Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_2,2873,Hit Object,6.0,5.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_3,3210,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_4,3547,Hit Object,6.0,5.0,8.0,9.0,2,0,4052,1,1.0,0,0,0,0,0,0
Row_5,4221,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,4558,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_7,4895,Hit Object,6.0,5.0,8.0,9.0,2,0,5400,1,1.0,0,0,0,0,0,0
Row_8,5401,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_9,5569,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_10,5569,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,5906,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_12,6243,Hit Object,6.0,5.0,8.0,9.0,2,0,6748,1,1.0,0,0,0,0,0,0
Row_13,6917,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,7255,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_15,7592,Hit Object,6.0,5.0,8.0,9.0,2,0,8097,1,1.0,0,0,0,0,0,0
Row_16,8266,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_17,8266,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_18,8603,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_19,8940,Hit Object,6.0,5.0,8.0,9.0,2,0,9445,1,1.0,0,0,0,0,0,0
Row_20,9614,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,9951,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_22,10288,Hit Object,6.0,5.0,8.0,9.0,2,0,10793,1,1.0,0,0,0,0,0,0
Row_23,10962,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,11299,Hit Object,6.0,5.0,8.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_25,11637,Hit Object,6.0,5.0,8.0,9.0,2,0,12142,1,1.0,0,0,0,0,0,0
Row_26,12311,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_27,12311,Hit Object,6.0,5.0,8.0,9.0,6,0,12479,1,1.0,0,0,0,0,0,0
Row_28,12648,Hit Object,6.0,5.0,8.0,9.0,2,0,12816,1,1.0,0,0,0,0,0,0
Row_29,12985,Hit Object,6.0,5.0,8.0,9.0,2,0,13153,1,1.0,0,0,0,0,0,0
Row_30,13322,Hit Object,6.0,5.0,8.0,9.0,2,0,13490,1,1.0,0,0,0,0,0,0
Row_31,13659,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_32,13659,Hit Object,6.0,5.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_33,13828,Hit Object,6.0,5.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_34,13996,Hit Object,6.0,5.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_35,14165,Hit Object,6.0,5.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_36,14333,Hit Object,6.0,5.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_37,14502,Hit Object,6.0,5.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_38,14670,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_39,14670,Hit Object,6.0,5.0,8.0,9.0,5,12,0,0,1.0,0,0,0,0,0,0
Row_40,14922,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_41,15007,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_42,15007,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_43,15007,Hit Object,6.0,5.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_44,15175,Hit Object,6.0,5.0,8.0,9.0,2,0,15343,1,1.0,0,0,0,0,0,0
Row_45,15512,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_46,15681,Hit Object,6.0,5.0,8.0,9.0,2,0,15849,1,1.0,0,0,0,0,0,0
Row_47,16018,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,16186,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,16355,Hit Object,6.0,5.0,8.0,9.0,2,0,16523,1,1.0,0,0,0,0,0,0
Row_50,16692,Hit Object,6.0,5.0,8.0,9.0,2,0,16860,1,1.0,0,0,0,0,0,0
Row_51,17029,Hit Object,6.0,5.0,8.0,9.0,2,0,17703,2,1.0,0,0,0,0,0,0
Row_52,17872,Hit Object,6.0,5.0,8.0,9.0,6,0,18040,1,1.0,0,0,0,0,0,0
Row_53,18209,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_54,18377,Hit Object,6.0,5.0,8.0,9.0,2,0,18545,1,1.0,0,0,0,0,0,0
Row_55,18714,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,18883,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_57,19051,Hit Object,6.0,5.0,8.0,9.0,2,0,19219,1,1.0,0,0,0,0,0,0
Row_58,19389,Hit Object,6.0,5.0,8.0,9.0,2,0,19557,1,1.0,0,0,0,0,0,0
Row_59,19726,Hit Object,6.0,5.0,8.0,9.0,2,0,19978,1,1.0,0,0,0,0,0,0
Row_60,20063,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_61,20231,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_62,20400,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_63,20400,Hit Object,6.0,5.0,8.0,9.0,6,0,20568,1,1.0,0,0,0,0,0,0
Row_64,20737,Hit Object,6.0,5.0,8.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_65,20905,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_66,21074,Hit Object,6.0,5.0,8.0,9.0,2,0,21242,1,1.0,0,0,0,0,0,0
Row_67,21411,Hit Object,6.0,5.0,8.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_68,21580,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_69,21748,Hit Object,6.0,5.0,8.0,9.0,2,0,21916,1,1.0,0,0,0,0,0,0
Row_70,22085,Hit Object,6.0,5.0,8.0,9.0,2,0,22253,1,1.0,0,0,0,0,0,0
Row_71,22422,Hit Object,6.0,5.0,8.0,9.0,2,0,23096,2,1.0,0,0,0,0,0,0
Row_72,23265,Hit Object,6.0,5.0,8.0,9.0,6,0,23433,1,1.0,0,0,0,0,0,0
Row_73,23602,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_74,23771,Hit Object,6.0,5.0,8.0,9.0,2,0,23939,1,1.0,0,0,0,0,0,0
Row_75,24108,Hit Object,6.0,5.0,8.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_76,24276,Hit Object,6.0,5.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_77,24445,Hit Object,6.0,5.0,8.0,9.0,2,0,24782,1,1.0,0,0,0,0,0,0
Row_78,25119,Hit Object,6.0,5.0,8.0,9.0,2,0,25456,1,1.0,0,0,0,0,0,0
Row_79,25709,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_80,25793,Timing Point,6.0,5.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,1,0
Row_81,25793,Hit Object,6.0,5.0,8.0,9.0,6,0,26130,1,1.0,0,0,0,0,0,0
Row_82,26299,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_83,26467,Hit Object,6.0,5.0,8.0,9.0,2,0,26635,1,1.0,0,0,0,0,0,0
Row_84,26804,Hit Object,6.0,5.0,8.0,9.0,2,0,26972,1,1.0,0,0,0,0,0,0
Row_85,27141,Hit Object,6.0,5.0,8.0,9.0,2,0,27478,1,1.0,0,0,0,0,0,0
Row_86,27647,Hit Object,6.0,5.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_87,27815,Hit Object,6.0,5.0,8.0,9.0,2,0,27983,1,1.0,0,0,0,0,0,0
Row_88,28153,Hit Object,6.0,5.0,8.0,9.0,2,0,28321,1,1.0,0,0,0,0,0,0
