Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-250.0,4,0,0
Row_2,2873,Hit Object,4.8,3.8,8.8,9.0,6,0,3547,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,4.8,3.8,8.8,9.0,2,0,4895,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,4.8,3.8,8.8,9.0,6,0,6243,1,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,4.8,3.8,8.8,9.0,2,0,7591,1,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,4.8,3.8,8.8,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-250.0,4,0,0
Row_10,8266,Hit Object,4.8,3.8,8.8,9.0,2,0,8603,1,1.0,0,0,0,0,0,0
Row_11,8940,Hit Object,4.8,3.8,8.8,9.0,2,0,9277,1,1.0,0,0,0,0,0,0
Row_12,9446,Hit Object,4.8,3.8,8.8,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_13,9614,Hit Object,4.8,3.8,8.8,9.0,2,0,9951,1,1.0,0,0,0,0,0,0
Row_14,10288,Hit Object,4.8,3.8,8.8,9.0,2,0,10625,1,1.0,0,0,0,0,0,0
Row_15,10794,Hit Object,4.8,3.8,8.8,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_16,10962,Hit Object,4.8,3.8,8.8,9.0,2,0,11299,1,1.0,0,0,0,0,0,0
Row_17,11637,Hit Object,4.8,3.8,8.8,9.0,2,0,12142,1,1.0,0,0,0,0,0,0
Row_18,12311,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_19,12311,Hit Object,4.8,3.8,8.8,9.0,6,0,12479,1,1.0,0,0,0,0,0,0
Row_20,12648,Hit Object,4.8,3.8,8.8,9.0,2,0,12816,1,1.0,0,0,0,0,0,0
Row_21,12985,Hit Object,4.8,3.8,8.8,9.0,6,0,13153,1,1.0,0,0,0,0,0,0
Row_22,13322,Hit Object,4.8,3.8,8.8,9.0,2,0,13490,1,1.0,0,0,0,0,0,0
Row_23,13659,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-153.846153846153,4,0,0
Row_24,13659,Hit Object,4.8,3.8,8.8,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_25,13828,Hit Object,4.8,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,13996,Hit Object,4.8,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,14165,Hit Object,4.8,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,14333,Hit Object,4.8,3.8,8.8,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_29,14502,Hit Object,4.8,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,14670,Hit Object,4.8,3.8,8.8,9.0,1,12,0,0,1.0,0,0,0,0,0,0
Row_31,15007,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_32,15007,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-117.647058823529,4,0,0
Row_33,15007,Hit Object,4.8,3.8,8.8,9.0,6,0,15175,1,1.0,0,0,0,0,0,0
Row_34,15344,Hit Object,4.8,3.8,8.8,9.0,2,0,15512,1,1.0,0,0,0,0,0,0
Row_35,15681,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,15849,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,16018,Hit Object,4.8,3.8,8.8,9.0,2,0,16186,1,1.0,0,0,0,0,0,0
Row_38,16355,Hit Object,4.8,3.8,8.8,9.0,6,0,16692,1,1.0,0,0,0,0,0,0
Row_39,16860,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_40,17029,Hit Object,4.8,3.8,8.8,9.0,2,0,17197,1,1.0,0,0,0,0,0,0
Row_41,17366,Hit Object,4.8,3.8,8.8,9.0,2,0,17534,1,1.0,0,0,0,0,0,0
Row_42,17703,Hit Object,4.8,3.8,8.8,9.0,6,0,17871,1,1.0,0,0,0,0,0,0
Row_43,18040,Hit Object,4.8,3.8,8.8,9.0,2,0,18208,1,1.0,0,0,0,0,0,0
Row_44,18377,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_45,18546,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_46,18714,Hit Object,4.8,3.8,8.8,9.0,2,0,18882,1,1.0,0,0,0,0,0,0
Row_47,19051,Hit Object,4.8,3.8,8.8,9.0,6,0,19219,1,1.0,0,0,0,0,0,0
Row_48,19389,Hit Object,4.8,3.8,8.8,9.0,2,0,19557,1,1.0,0,0,0,0,0,0
Row_49,19726,Hit Object,4.8,3.8,8.8,9.0,2,0,20175,2,1.0,0,0,0,0,0,0
Row_50,20400,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-117.647058823529,4,0,0
Row_51,20400,Hit Object,4.8,3.8,8.8,9.0,6,0,20568,1,1.0,0,0,0,0,0,0
Row_52,20737,Hit Object,4.8,3.8,8.8,9.0,2,0,20905,1,1.0,0,0,0,0,0,0
Row_53,21074,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_54,21242,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,21411,Hit Object,4.8,3.8,8.8,9.0,2,0,21579,1,1.0,0,0,0,0,0,0
Row_56,21748,Hit Object,4.8,3.8,8.8,9.0,6,0,21916,1,1.0,0,0,0,0,0,0
Row_57,22085,Hit Object,4.8,3.8,8.8,9.0,2,0,22253,1,1.0,0,0,0,0,0,0
Row_58,22422,Hit Object,4.8,3.8,8.8,9.0,2,0,22759,1,1.0,0,0,0,0,0,0
Row_59,22928,Hit Object,4.8,3.8,8.8,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_60,23096,Hit Object,4.8,3.8,8.8,9.0,2,0,23264,1,1.0,0,0,0,0,0,0
Row_61,23433,Hit Object,4.8,3.8,8.8,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_62,23602,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_63,23771,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_64,23939,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_65,24108,Hit Object,4.8,3.8,8.8,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_66,24276,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_67,24445,Hit Object,4.8,3.8,8.8,9.0,6,0,24613,1,1.0,0,0,0,0,0,0
Row_68,24782,Hit Object,4.8,3.8,8.8,9.0,2,0,24950,1,1.0,0,0,0,0,0,0
Row_69,25119,Hit Object,4.8,3.8,8.8,9.0,2,0,25287,1,1.0,0,0,0,0,0,0
Row_70,25456,Hit Object,4.8,3.8,8.8,9.0,2,0,25624,1,1.0,0,0,0,0,0,0
Row_71,25793,Timing Point,4.8,3.8,8.8,9.0,0,0,0,0,0,0,0,-100.0,4,1,0
Row_72,25793,Hit Object,4.8,3.8,8.8,9.0,6,0,25961,1,1.0,0,0,0,0,0,0
Row_73,26130,Hit Object,4.8,3.8,8.8,9.0,2,0,26467,1,1.0,0,0,0,0,0,0
Row_74,26636,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_75,26804,Hit Object,4.8,3.8,8.8,9.0,2,0,26972,1,1.0,0,0,0,0,0,0
Row_76,27141,Hit Object,4.8,3.8,8.8,9.0,6,0,27309,1,1.0,0,0,0,0,0,0
Row_77,27478,Hit Object,4.8,3.8,8.8,9.0,2,0,27646,1,1.0,0,0,0,0,0,0
Row_78,27815,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_79,27984,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_80,28153,Hit Object,4.8,3.8,8.8,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_81,28321,Hit Object,4.8,3.8,8.8,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,28490,Hit Object,4.8,3.8,8.8,9.0,6,0,28658,1,1.0,0,0,0,0,0,0
Row_83,28827,Hit Object,4.8,3.8,8.8,9.0,2,0,28995,1,1.0,0,0,0,0,0,0
Row_84,29164,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_85,29332,Hit Object,4.8,3.8,8.8,9.0,2,0,29500,1,1.0,0,0,0,0,0,0
Row_86,29669,Hit Object,4.8,3.8,8.8,9.0,6,0,29837,1,1.0,0,0,0,0,0,0
Row_87,30006,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_88,30175,Hit Object,4.8,3.8,8.8,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_89,30344,Hit Object,4.8,3.8,8.8,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_90,30512,Hit Object,4.8,3.8,8.8,9.0,2,0,30680,1,1.0,0,0,0,0,0,0
Row_91,30849,Hit Object,4.8,3.8,8.8,9.0,2,0,31017,1,1.0,0,0,0,0,0,0
Row_92,31186,Hit Object,4.8,3.8,8.8,9.0,5,4,0,0,1.0,0,0,0,0,0,0
