Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_2,2873,Hit Object,5.0,4.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_3,3210,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_4,3547,Hit Object,5.0,4.0,8.0,9.0,6,0,4221,1,1.0,0,0,0,0,0,0
Row_5,4558,Hit Object,5.0,4.0,8.0,9.0,6,0,4726,1,1.0,0,0,0,0,0,0
Row_6,4895,Hit Object,5.0,4.0,8.0,9.0,2,0,5569,1,1.0,0,0,0,0,0,0
Row_7,5906,Hit Object,5.0,4.0,8.0,9.0,6,0,6074,1,1.0,0,0,0,0,0,0
Row_8,6243,Hit Object,5.0,4.0,8.0,9.0,2,0,6917,1,1.0,0,0,0,0,0,0
Row_9,7255,Hit Object,5.0,4.0,8.0,9.0,6,0,7423,1,1.0,0,0,0,0,0,0
Row_10,7592,Hit Object,5.0,4.0,8.0,9.0,2,0,8097,1,1.0,0,0,0,0,0,0
Row_11,8266,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_12,8266,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,8603,Hit Object,5.0,4.0,8.0,9.0,6,0,8771,1,1.0,0,0,0,0,0,0
Row_14,8940,Hit Object,5.0,4.0,8.0,9.0,2,0,9614,1,1.0,0,0,0,0,0,0
Row_15,9951,Hit Object,5.0,4.0,8.0,9.0,6,0,10119,1,1.0,0,0,0,0,0,0
Row_16,10288,Hit Object,5.0,4.0,8.0,9.0,2,0,10962,1,1.0,0,0,0,0,0,0
Row_17,11299,Hit Object,5.0,4.0,8.0,9.0,6,0,11467,1,1.0,0,0,0,0,0,0
Row_18,11637,Hit Object,5.0,4.0,8.0,9.0,2,0,12142,1,1.0,0,0,0,0,0,0
Row_19,12311,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_20,12311,Hit Object,5.0,4.0,8.0,9.0,6,0,12479,1,1.0,0,0,0,0,0,0
Row_21,12648,Hit Object,5.0,4.0,8.0,9.0,2,0,12816,1,1.0,0,0,0,0,0,0
Row_22,12985,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_23,13153,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,13322,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,13490,Hit Object,5.0,4.0,8.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,13659,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_27,13659,Hit Object,5.0,4.0,8.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_28,13828,Hit Object,5.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,13996,Hit Object,5.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,14165,Hit Object,5.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,14333,Hit Object,5.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_32,14502,Hit Object,5.0,4.0,8.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_33,14670,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_34,14670,Hit Object,5.0,4.0,8.0,9.0,2,0,14922,1,1.0,0,0,0,0,0,0
Row_35,14922,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_36,15007,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_37,15007,Timing Point,5.0,4.0,8.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_38,15007,Hit Object,5.0,4.0,8.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_39,15175,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,15344,Hit Object,5.0,4.0,8.0,9.0,2,0,15512,1,1.0,0,0,0,0,0,0
Row_41,15681,Hit Object,5.0,4.0,8.0,9.0,2,0,15849,1,1.0,0,0,0,0,0,0
Row_42,16018,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_43,16186,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,16355,Hit Object,5.0,4.0,8.0,9.0,6,0,16523,1,1.0,0,0,0,0,0,0
Row_45,16692,Hit Object,5.0,4.0,8.0,9.0,2,0,16860,1,1.0,0,0,0,0,0,0
Row_46,17029,Hit Object,5.0,4.0,8.0,9.0,6,0,17703,2,1.0,0,0,0,0,0,0
Row_47,17872,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,18040,Hit Object,5.0,4.0,8.0,9.0,2,0,18208,1,1.0,0,0,0,0,0,0
Row_49,18377,Hit Object,5.0,4.0,8.0,9.0,2,0,18545,1,1.0,0,0,0,0,0,0
Row_50,18714,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,18883,Hit Object,5.0,4.0,8.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_52,19051,Hit Object,5.0,4.0,8.0,9.0,6,0,19219,1,1.0,0,0,0,0,0,0
Row_53,19389,Hit Object,5.0,4.0,8.0,9.0,2,0,19557,1,1.0,0,0,0,0,0,0
Row_54,19726,Hit Object,5.0,4.0,8.0,9.0,2,0,19894,1,1.0,0,0,0,0,0,0
Row_55,20063,Hit Object,5.0,4.0,8.0,9.0,2,0,20231,1,1.0,0,0,0,0,0,0
