Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-238.095238095238,4,0,0
Row_2,2873,Hit Object,5.0,3.7,9.0,9.2,6,0,4052,1,1.0,0,0,0,0,0,0
Row_3,4221,Hit Object,5.0,3.7,9.0,9.2,2,0,4895,1,1.0,0,0,0,0,0,0
Row_4,5569,Hit Object,5.0,3.7,9.0,9.2,6,0,6748,1,1.0,0,0,0,0,0,0
Row_5,6917,Hit Object,5.0,3.7,9.0,9.2,2,0,7591,1,1.0,0,0,0,0,0,0
Row_6,8097,Hit Object,5.0,3.7,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_7,8266,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-138.888888888889,4,0,0
Row_8,8266,Hit Object,5.0,3.7,9.0,9.2,2,0,8603,1,1.0,0,0,0,0,0,0
Row_9,8940,Hit Object,5.0,3.7,9.0,9.2,2,0,9277,1,1.0,0,0,0,0,0,0
Row_10,9446,Hit Object,5.0,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_11,9614,Hit Object,5.0,3.7,9.0,9.2,2,0,9951,1,1.0,0,0,0,0,0,0
Row_12,10288,Hit Object,5.0,3.7,9.0,9.2,2,0,10625,1,1.0,0,0,0,0,0,0
Row_13,10794,Hit Object,5.0,3.7,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_14,10962,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-121.951219512195,4,0,0
Row_15,10962,Hit Object,5.0,3.7,9.0,9.2,2,0,11130,1,1.0,0,0,0,0,0,0
Row_16,11299,Hit Object,5.0,3.7,9.0,9.2,2,0,11467,1,1.0,0,0,0,0,0,0
Row_17,11637,Hit Object,5.0,3.7,9.0,9.2,2,0,11974,1,1.0,0,0,0,0,0,0
Row_18,12142,Hit Object,5.0,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,12311,Hit Object,5.0,3.7,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_20,12479,Hit Object,5.0,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,12648,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,12816,Hit Object,5.0,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,12985,Hit Object,5.0,3.7,9.0,9.2,5,2,0,0,1.0,0,0,0,0,0,0
Row_24,13153,Hit Object,5.0,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_25,13322,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-108.695652173913,4,0,0
Row_26,13322,Hit Object,5.0,3.7,9.0,9.2,2,0,13490,1,1.0,0,0,0,0,0,0
Row_27,13659,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-108.695652173913,4,0,0
Row_28,13659,Hit Object,5.0,3.7,9.0,9.2,5,8,0,0,1.0,0,0,0,0,0,0
Row_29,13828,Hit Object,5.0,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,13996,Hit Object,5.0,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,14165,Hit Object,5.0,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_32,14333,Hit Object,5.0,3.7,9.0,9.2,5,8,0,0,1.0,0,0,0,0,0,0
Row_33,14502,Hit Object,5.0,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_34,14670,Hit Object,5.0,3.7,9.0,9.2,1,12,0,0,1.0,0,0,0,0,0,0
Row_35,15007,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_36,15007,Timing Point,5.0,3.7,9.0,9.2,0,0,0,0,0,0,0,-98.0392156862745,4,0,0
Row_37,15007,Hit Object,5.0,3.7,9.0,9.2,6,0,15175,1,1.0,0,0,0,0,0,0
Row_38,15344,Hit Object,5.0,3.7,9.0,9.2,2,0,15512,1,1.0,0,0,0,0,0,0
Row_39,15681,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,15849,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,16018,Hit Object,5.0,3.7,9.0,9.2,2,0,16186,1,1.0,0,0,0,0,0,0
Row_42,16355,Hit Object,5.0,3.7,9.0,9.2,5,2,0,0,1.0,0,0,0,0,0,0
Row_43,16523,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,16692,Hit Object,5.0,3.7,9.0,9.2,2,0,16860,1,1.0,0,0,0,0,0,0
Row_45,17029,Hit Object,5.0,3.7,9.0,9.2,2,0,17366,1,1.0,0,0,0,0,0,0
Row_46,17535,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_47,17619,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,17703,Hit Object,5.0,3.7,9.0,9.2,6,0,17871,1,1.0,0,0,0,0,0,0
Row_49,18040,Hit Object,5.0,3.7,9.0,9.2,2,0,18208,1,1.0,0,0,0,0,0,0
Row_50,18377,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,18546,Hit Object,5.0,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
