Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-200.0,4,0,0
Row_2,2873,Hit Object,5.0,3.6,8.0,8.5,6,0,4052,1,1.0,0,0,0,0,0,0
Row_3,4221,Hit Object,5.0,3.6,8.0,8.5,2,0,4895,1,1.0,0,0,0,0,0,0
Row_4,5569,Hit Object,5.0,3.6,8.0,8.5,6,0,6748,1,1.0,0,0,0,0,0,0
Row_5,6917,Hit Object,5.0,3.6,8.0,8.5,2,0,7591,1,1.0,0,0,0,0,0,0
Row_6,8097,Hit Object,5.0,3.6,8.0,8.5,5,0,0,0,1.0,0,0,0,0,0,0
Row_7,8266,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-200.0,4,0,0
Row_8,8266,Hit Object,5.0,3.6,8.0,8.5,2,0,8603,1,1.0,0,0,0,0,0,0
Row_9,8940,Hit Object,5.0,3.6,8.0,8.5,2,0,9445,1,1.0,0,0,0,0,0,0
Row_10,9614,Hit Object,5.0,3.6,8.0,8.5,2,0,9951,1,1.0,0,0,0,0,0,0
Row_11,10288,Hit Object,5.0,3.6,8.0,8.5,2,0,10793,1,1.0,0,0,0,0,0,0
Row_12,10962,Hit Object,5.0,3.6,8.0,8.5,2,0,11299,1,1.0,0,0,0,0,0,0
Row_13,11637,Hit Object,5.0,3.6,8.0,8.5,2,0,12142,1,1.0,0,0,0,0,0,0
Row_14,12311,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_15,12311,Hit Object,5.0,3.6,8.0,8.5,6,0,12648,1,1.0,0,0,0,0,0,0
Row_16,12816,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,12985,Hit Object,5.0,3.6,8.0,8.5,2,0,13153,1,1.0,0,0,0,0,0,0
Row_18,13322,Hit Object,5.0,3.6,8.0,8.5,2,0,13490,1,1.0,0,0,0,0,0,0
Row_19,13659,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-142.857142857143,4,0,0
Row_20,13659,Hit Object,5.0,3.6,8.0,8.5,5,8,0,0,1.0,0,0,0,0,0,0
Row_21,13828,Hit Object,5.0,3.6,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_22,13996,Hit Object,5.0,3.6,8.0,8.5,2,0,14164,1,1.0,0,0,0,0,0,0
Row_23,14333,Hit Object,5.0,3.6,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_24,14502,Hit Object,5.0,3.6,8.0,8.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,14670,Hit Object,5.0,3.6,8.0,8.5,1,12,0,0,1.0,0,0,0,0,0,0
Row_26,15007,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_27,15007,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_28,15007,Hit Object,5.0,3.6,8.0,8.5,6,0,15344,1,1.0,0,0,0,0,0,0
Row_29,15512,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_30,15681,Hit Object,5.0,3.6,8.0,8.5,2,0,15849,1,1.0,0,0,0,0,0,0
Row_31,16018,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_32,16186,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_33,16355,Hit Object,5.0,3.6,8.0,8.5,6,0,16523,1,1.0,0,0,0,0,0,0
Row_34,16692,Hit Object,5.0,3.6,8.0,8.5,2,0,16860,1,1.0,0,0,0,0,0,0
Row_35,17029,Hit Object,5.0,3.6,8.0,8.5,2,0,17703,2,1.0,0,0,0,0,0,0
Row_36,17872,Hit Object,5.0,3.6,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_37,18040,Hit Object,5.0,3.6,8.0,8.5,2,0,18208,1,1.0,0,0,0,0,0,0
Row_38,18377,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,18546,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,18714,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,18883,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_42,19051,Hit Object,5.0,3.6,8.0,8.5,6,0,19219,1,1.0,0,0,0,0,0,0
Row_43,19389,Hit Object,5.0,3.6,8.0,8.5,2,0,19557,1,1.0,0,0,0,0,0,0
Row_44,19726,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_45,19894,Hit Object,5.0,3.6,8.0,8.5,2,0,20231,1,1.0,0,0,0,0,0,0
Row_46,20400,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_47,20400,Hit Object,5.0,3.6,8.0,8.5,5,4,0,0,1.0,0,0,0,0,0,0
Row_48,20568,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,20737,Hit Object,5.0,3.6,8.0,8.5,2,0,20905,1,1.0,0,0,0,0,0,0
Row_50,21074,Hit Object,5.0,3.6,8.0,8.5,2,0,21242,1,1.0,0,0,0,0,0,0
Row_51,21411,Hit Object,5.0,3.6,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_52,21580,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,21748,Hit Object,5.0,3.6,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_54,21917,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,22085,Hit Object,5.0,3.6,8.0,8.5,2,0,22253,1,1.0,0,0,0,0,0,0
Row_56,22422,Hit Object,5.0,3.6,8.0,8.5,2,0,23096,2,1.0,0,0,0,0,0,0
Row_57,23265,Hit Object,5.0,3.6,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_58,23433,Hit Object,5.0,3.6,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_59,23602,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_60,23771,Hit Object,5.0,3.6,8.0,8.5,2,0,23939,1,1.0,0,0,0,0,0,0
Row_61,24108,Hit Object,5.0,3.6,8.0,8.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_62,24276,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_63,24445,Hit Object,5.0,3.6,8.0,8.5,6,0,24613,1,1.0,0,0,0,0,0,0
Row_64,24782,Hit Object,5.0,3.6,8.0,8.5,2,0,24950,1,1.0,0,0,0,0,0,0
Row_65,25119,Hit Object,5.0,3.6,8.0,8.5,2,0,25287,1,1.0,0,0,0,0,0,0
Row_66,25456,Hit Object,5.0,3.6,8.0,8.5,2,0,25708,1,1.0,0,0,0,0,0,0
Row_67,25793,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-90.9090909090908,4,0,0
Row_68,25793,Hit Object,5.0,3.6,8.0,8.5,6,0,25961,1,1.0,0,0,0,0,0,0
Row_69,26130,Hit Object,5.0,3.6,8.0,8.5,2,0,26467,1,1.0,0,0,0,0,0,0
Row_70,26636,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_71,26804,Hit Object,5.0,3.6,8.0,8.5,2,0,26972,1,1.0,0,0,0,0,0,0
Row_72,27141,Hit Object,5.0,3.6,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_73,27310,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_74,27478,Hit Object,5.0,3.6,8.0,8.5,2,0,27815,1,1.0,0,0,0,0,0,0
Row_75,27984,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_76,28153,Hit Object,5.0,3.6,8.0,8.5,2,0,28321,1,1.0,0,0,0,0,0,0
Row_77,28490,Hit Object,5.0,3.6,8.0,8.5,6,0,28658,1,1.0,0,0,0,0,0,0
Row_78,28827,Hit Object,5.0,3.6,8.0,8.5,2,0,28995,1,1.0,0,0,0,0,0,0
Row_79,29164,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_80,29332,Hit Object,5.0,3.6,8.0,8.5,2,0,29500,1,1.0,0,0,0,0,0,0
Row_81,29669,Hit Object,5.0,3.6,8.0,8.5,6,0,29837,1,1.0,0,0,0,0,0,0
Row_82,30006,Hit Object,5.0,3.6,8.0,8.5,2,0,30174,1,1.0,0,0,0,0,0,0
Row_83,30344,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_84,30512,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_85,30681,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_86,30849,Hit Object,5.0,3.6,8.0,8.5,2,0,31017,1,1.0,0,0,0,0,0,0
Row_87,31186,Hit Object,5.0,3.6,8.0,8.5,6,0,31354,1,1.0,0,0,0,0,0,0
Row_88,31523,Hit Object,5.0,3.6,8.0,8.5,2,0,31860,1,1.0,0,0,0,0,0,0
Row_89,32029,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_90,32198,Hit Object,5.0,3.6,8.0,8.5,2,0,32366,1,1.0,0,0,0,0,0,0
Row_91,32535,Hit Object,5.0,3.6,8.0,8.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_92,32703,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_93,32872,Hit Object,5.0,3.6,8.0,8.5,2,0,33209,1,1.0,0,0,0,0,0,0
Row_94,33377,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_95,33546,Hit Object,5.0,3.6,8.0,8.5,2,0,33714,1,1.0,0,0,0,0,0,0
Row_96,33883,Hit Object,5.0,3.6,8.0,8.5,6,0,34051,1,1.0,0,0,0,0,0,0
Row_97,34220,Hit Object,5.0,3.6,8.0,8.5,2,0,34388,1,1.0,0,0,0,0,0,0
Row_98,34557,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_99,34726,Hit Object,5.0,3.6,8.0,8.5,2,0,34894,1,1.0,0,0,0,0,0,0
Row_100,35063,Hit Object,5.0,3.6,8.0,8.5,6,0,35231,1,1.0,0,0,0,0,0,0
Row_101,35400,Hit Object,5.0,3.6,8.0,8.5,2,0,35568,1,1.0,0,0,0,0,0,0
Row_102,35737,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_103,35905,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_104,36074,Hit Object,5.0,3.6,8.0,8.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_105,36242,Hit Object,5.0,3.6,8.0,8.5,2,0,36410,1,1.0,0,0,0,0,0,0
Row_106,36580,Timing Point,5.0,3.6,8.0,8.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_107,36580,Hit Object,5.0,3.6,8.0,8.5,6,0,36748,1,1.0,0,0,0,0,0,0
Row_108,36917,Hit Object,5.0,3.6,8.0,8.5,2,0,37085,1,1.0,0,0,0,0,0,0
Row_109,37254,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_110,37422,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_111,37591,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_112,37759,Hit Object,5.0,3.6,8.0,8.5,1,0,0,0,1.0,0,0,0,0,0,0
