Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-125.0,4,0,0
Row_2,2873,Hit Object,6.0,4.5,7.0,8.8,5,4,0,0,1.0,0,0,0,0,0,0
Row_3,3210,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_4,3547,Hit Object,6.0,4.5,7.0,8.8,2,0,4052,1,1.0,0,0,0,0,0,0
Row_5,4221,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_6,4558,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_7,4895,Hit Object,6.0,4.5,7.0,8.8,2,0,5400,1,1.0,0,0,0,0,0,0
Row_8,5569,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,5906,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_10,6243,Hit Object,6.0,4.5,7.0,8.8,2,0,6748,1,1.0,0,0,0,0,0,0
Row_11,6917,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,7255,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_13,7592,Hit Object,6.0,4.5,7.0,8.8,2,0,8097,1,1.0,0,0,0,0,0,0
Row_14,8266,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-125.0,4,0,0
Row_15,8266,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,8603,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_17,8940,Hit Object,6.0,4.5,7.0,8.8,2,0,9445,1,1.0,0,0,0,0,0,0
Row_18,9614,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,9951,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_20,10288,Hit Object,6.0,4.5,7.0,8.8,2,0,10793,1,1.0,0,0,0,0,0,0
Row_21,10962,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,11299,Hit Object,6.0,4.5,7.0,8.8,5,2,0,0,1.0,0,0,0,0,0,0
Row_23,11637,Hit Object,6.0,4.5,7.0,8.8,2,0,12142,1,1.0,0,0,0,0,0,0
Row_24,12311,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_25,12311,Hit Object,6.0,4.5,7.0,8.8,6,0,12479,1,1.0,0,0,0,0,0,0
Row_26,12648,Hit Object,6.0,4.5,7.0,8.8,2,0,12816,1,1.0,0,0,0,0,0,0
Row_27,12985,Hit Object,6.0,4.5,7.0,8.8,6,0,13153,1,1.0,0,0,0,0,0,0
Row_28,13322,Hit Object,6.0,4.5,7.0,8.8,2,0,13490,1,1.0,0,0,0,0,0,0
Row_29,13659,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_30,13659,Hit Object,6.0,4.5,7.0,8.8,5,8,0,0,1.0,0,0,0,0,0,0
Row_31,13828,Hit Object,6.0,4.5,7.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_32,13996,Hit Object,6.0,4.5,7.0,8.8,5,8,0,0,1.0,0,0,0,0,0,0
Row_33,14165,Hit Object,6.0,4.5,7.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_34,14333,Hit Object,6.0,4.5,7.0,8.8,5,8,0,0,1.0,0,0,0,0,0,0
Row_35,14502,Hit Object,6.0,4.5,7.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_36,14670,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_37,14670,Hit Object,6.0,4.5,7.0,8.8,5,12,0,0,1.0,0,0,0,0,0,0
Row_38,14922,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_39,15007,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_40,15007,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_41,15007,Hit Object,6.0,4.5,7.0,8.8,5,4,0,0,1.0,0,0,0,0,0,0
Row_42,15175,Hit Object,6.0,4.5,7.0,8.8,2,0,15343,1,1.0,0,0,0,0,0,0
Row_43,15512,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_44,15681,Hit Object,6.0,4.5,7.0,8.8,2,0,15849,1,1.0,0,0,0,0,0,0
Row_45,16018,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_46,16186,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_47,16355,Hit Object,6.0,4.5,7.0,8.8,6,0,16523,1,1.0,0,0,0,0,0,0
Row_48,16692,Hit Object,6.0,4.5,7.0,8.8,2,0,16860,1,1.0,0,0,0,0,0,0
Row_49,17029,Hit Object,6.0,4.5,7.0,8.8,2,0,17366,1,1.0,0,0,0,0,0,0
Row_50,17703,Hit Object,6.0,4.5,7.0,8.8,5,0,0,0,1.0,0,0,0,0,0,0
Row_51,17872,Hit Object,6.0,4.5,7.0,8.8,2,0,18040,1,1.0,0,0,0,0,0,0
Row_52,18209,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,18377,Hit Object,6.0,4.5,7.0,8.8,2,0,18545,1,1.0,0,0,0,0,0,0
Row_54,18714,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,18883,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,19051,Hit Object,6.0,4.5,7.0,8.8,6,0,19219,1,1.0,0,0,0,0,0,0
Row_57,19389,Hit Object,6.0,4.5,7.0,8.8,2,0,19557,1,1.0,0,0,0,0,0,0
Row_58,19726,Hit Object,6.0,4.5,7.0,8.8,2,0,19978,1,1.0,0,0,0,0,0,0
Row_59,20063,Hit Object,6.0,4.5,7.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_60,20231,Hit Object,6.0,4.5,7.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_61,20400,Timing Point,6.0,4.5,7.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_62,20400,Hit Object,6.0,4.5,7.0,8.8,6,0,20737,2,1.0,0,0,0,0,0,0
