Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.2,3.8,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.2,3.8,9.0,9.2,0,0,0,0,0,0,0,-200.0,4,0,0
Row_2,2873,Hit Object,5.2,3.8,9.0,9.2,6,0,3884,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,5.2,3.8,9.0,9.2,2,0,5232,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,5.2,3.8,9.0,9.2,6,0,6580,1,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,5.2,3.8,9.0,9.2,2,0,7928,1,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,5.2,3.8,9.0,9.2,0,0,0,0,0,0,0,-153.846153846153,4,0,0
Row_10,8266,Hit Object,5.2,3.8,9.0,9.2,6,0,8771,1,1.0,0,0,0,0,0,0
Row_11,8940,Hit Object,5.2,3.8,9.0,9.2,2,0,9277,1,1.0,0,0,0,0,0,0
Row_12,9446,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,9614,Hit Object,5.2,3.8,9.0,9.2,6,0,10119,1,1.0,0,0,0,0,0,0
Row_14,10288,Hit Object,5.2,3.8,9.0,9.2,2,0,10625,1,1.0,0,0,0,0,0,0
Row_15,10794,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,10962,Hit Object,5.2,3.8,9.0,9.2,6,0,11467,1,1.0,0,0,0,0,0,0
Row_17,11637,Hit Object,5.2,3.8,9.0,9.2,2,0,11974,1,1.0,0,0,0,0,0,0
Row_18,12142,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,12311,Hit Object,5.2,3.8,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_20,12479,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,12648,Hit Object,5.2,3.8,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_22,12816,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,12985,Hit Object,5.2,3.8,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_24,13153,Hit Object,5.2,3.8,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
