Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.3,3.8,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.3,3.8,9.0,9.2,0,0,0,0,0,0,0,-227.272727272727,4,0,0
Row_2,2873,Hit Object,5.3,3.8,9.0,9.2,6,0,3884,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,5.3,3.8,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,5.3,3.8,9.0,9.2,2,0,4895,1,1.0,0,0,0,0,0,0
Row_5,5569,Timing Point,5.3,3.8,9.0,9.2,0,0,0,0,0,0,0,-227.272727272727,4,0,0
Row_6,5569,Hit Object,5.3,3.8,9.0,9.2,6,0,6580,1,1.0,0,0,0,0,0,0
Row_7,6749,Hit Object,5.3,3.8,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_8,6917,Hit Object,5.3,3.8,9.0,9.2,2,0,7591,1,1.0,0,0,0,0,0,0
Row_9,8097,Hit Object,5.3,3.8,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_10,8266,Timing Point,5.3,3.8,9.0,9.2,0,0,0,0,0,0,0,-185.185185185185,4,0,0
Row_11,8266,Hit Object,5.3,3.8,9.0,9.2,2,0,8603,1,1.0,0,0,0,0,0,0
Row_12,8940,Hit Object,5.3,3.8,9.0,9.2,2,0,9445,1,1.0,0,0,0,0,0,0
Row_13,9614,Hit Object,5.3,3.8,9.0,9.2,6,0,9951,1,1.0,0,0,0,0,0,0
Row_14,10288,Hit Object,5.3,3.8,9.0,9.2,2,0,10793,1,1.0,0,0,0,0,0,0
Row_15,10962,Hit Object,5.3,3.8,9.0,9.2,6,0,11467,1,1.0,0,0,0,0,0,0
Row_16,11637,Hit Object,5.3,3.8,9.0,9.2,2,0,12142,1,1.0,0,0,0,0,0,0
