Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-227.272727272727,4,0,0
Row_2,2873,Hit Object,5.3,3.7,9.0,9.2,6,0,4052,1,1.0,0,0,0,0,0,0
Row_3,4221,Hit Object,5.3,3.7,9.0,9.2,2,0,4895,1,1.0,0,0,0,0,0,0
Row_4,5569,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-185.185185185185,4,0,0
Row_5,5569,Hit Object,5.3,3.7,9.0,9.2,6,0,6748,1,1.0,0,0,0,0,0,0
Row_6,6917,Hit Object,5.3,3.7,9.0,9.2,2,0,7591,1,1.0,0,0,0,0,0,0
Row_7,8097,Hit Object,5.3,3.7,9.0,9.2,5,0,0,0,1.0,0,0,0,0,0,0
Row_8,8266,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-185.185185185185,4,0,0
Row_9,8266,Hit Object,5.3,3.7,9.0,9.2,2,0,8603,1,1.0,0,0,0,0,0,0
Row_10,8940,Hit Object,5.3,3.7,9.0,9.2,2,0,9445,1,1.0,0,0,0,0,0,0
Row_11,9614,Hit Object,5.3,3.7,9.0,9.2,6,0,9951,1,1.0,0,0,0,0,0,0
Row_12,10288,Hit Object,5.3,3.7,9.0,9.2,2,0,10793,1,1.0,0,0,0,0,0,0
Row_13,10962,Hit Object,5.3,3.7,9.0,9.2,6,0,11299,1,1.0,0,0,0,0,0,0
Row_14,11637,Hit Object,5.3,3.7,9.0,9.2,2,0,12142,1,1.0,0,0,0,0,0,0
Row_15,12311,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-135.135135135135,4,0,0
Row_16,12311,Hit Object,5.3,3.7,9.0,9.2,6,0,12479,1,1.0,0,0,0,0,0,0
Row_17,12648,Hit Object,5.3,3.7,9.0,9.2,1,2,0,0,1.0,0,0,0,0,0,0
Row_18,12816,Hit Object,5.3,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_19,12985,Hit Object,5.3,3.7,9.0,9.2,5,2,0,0,1.0,0,0,0,0,0,0
Row_20,13153,Hit Object,5.3,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,13322,Hit Object,5.3,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,13490,Hit Object,5.3,3.7,9.0,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,13659,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-135.135135135135,4,0,0
Row_24,13659,Hit Object,5.3,3.7,9.0,9.2,5,8,0,0,1.0,0,0,0,0,0,0
Row_25,13828,Hit Object,5.3,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,13996,Hit Object,5.3,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,14165,Hit Object,5.3,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,14333,Hit Object,5.3,3.7,9.0,9.2,5,8,0,0,1.0,0,0,0,0,0,0
Row_29,14502,Hit Object,5.3,3.7,9.0,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,14670,Hit Object,5.3,3.7,9.0,9.2,1,12,0,0,1.0,0,0,0,0,0,0
Row_31,15007,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_32,15007,Timing Point,5.3,3.7,9.0,9.2,0,0,0,0,0,0,0,-106.382978723404,4,0,0
Row_33,15007,Hit Object,5.3,3.7,9.0,9.2,6,0,15175,1,1.0,0,0,0,0,0,0
Row_34,15344,Hit Object,5.3,3.7,9.0,9.2,2,0,15512,1,1.0,0,0,0,0,0,0
