Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-181.818181818182,4,0,0
Row_2,2873,Hit Object,5.0,3.6,9.0,9.0,6,0,3884,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,5.0,3.6,9.0,9.0,2,0,5232,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,5.0,3.6,9.0,9.0,6,0,6580,1,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,5.0,3.6,9.0,9.0,2,0,7928,1,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_10,8266,Hit Object,5.0,3.6,9.0,9.0,2,0,8940,1,1.0,0,0,0,0,0,0
Row_11,9446,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_12,9614,Hit Object,5.0,3.6,9.0,9.0,2,0,10288,1,1.0,0,0,0,0,0,0
Row_13,10794,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_14,10962,Hit Object,5.0,3.6,9.0,9.0,2,0,11636,1,1.0,0,0,0,0,0,0
Row_15,12142,Hit Object,5.0,3.6,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_16,12311,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-125.0,4,0,0
Row_17,12311,Hit Object,5.0,3.6,9.0,9.0,2,0,12479,1,1.0,0,0,0,0,0,0
Row_18,12648,Hit Object,5.0,3.6,9.0,9.0,2,0,12816,1,1.0,0,0,0,0,0,0
Row_19,12985,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-108.695652173913,4,0,0
Row_20,12985,Hit Object,5.0,3.6,9.0,9.0,6,0,13153,1,1.0,0,0,0,0,0,0
Row_21,13322,Hit Object,5.0,3.6,9.0,9.0,2,0,13490,1,1.0,0,0,0,0,0,0
Row_22,13659,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_23,13659,Hit Object,5.0,3.6,9.0,9.0,5,8,0,0,1.0,0,0,0,0,0,0
Row_24,13828,Hit Object,5.0,3.6,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,13996,Hit Object,5.0,3.6,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,14165,Hit Object,5.0,3.6,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,14333,Hit Object,5.0,3.6,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,14502,Hit Object,5.0,3.6,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,14670,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-222.222222222222,4,0,0
Row_30,14670,Hit Object,5.0,3.6,9.0,9.0,6,0,14922,1,1.0,0,0,0,0,0,0
Row_31,14922,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-222.222222222222,4,0,0
Row_32,15007,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_33,15007,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-105.263157894737,4,0,0
Row_34,15007,Hit Object,5.0,3.6,9.0,9.0,6,0,15175,1,1.0,0,0,0,0,0,0
Row_35,15344,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,15512,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,15681,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_38,15849,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,16018,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,16186,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_41,16355,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_42,16523,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_43,16692,Hit Object,5.0,3.6,9.0,9.0,6,0,16860,1,1.0,0,0,0,0,0,0
Row_44,17029,Hit Object,5.0,3.6,9.0,9.0,2,0,17197,1,1.0,0,0,0,0,0,0
Row_45,17366,Hit Object,5.0,3.6,9.0,9.0,2,0,17703,1,1.0,0,0,0,0,0,0
Row_46,17872,Hit Object,5.0,3.6,9.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_47,18040,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,18209,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,18377,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_50,18546,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,18714,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_52,18883,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,19051,Hit Object,5.0,3.6,9.0,9.0,6,0,19219,1,1.0,0,0,0,0,0,0
Row_54,19389,Hit Object,5.0,3.6,9.0,9.0,2,0,19557,1,1.0,0,0,0,0,0,0
Row_55,19726,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,19894,Hit Object,5.0,3.6,9.0,9.0,2,0,20231,1,1.0,0,0,0,0,0,0
Row_57,20400,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-105.263157894737,4,0,0
Row_58,20400,Hit Object,5.0,3.6,9.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_59,20568,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_60,20737,Hit Object,5.0,3.6,9.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_61,20905,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_62,21074,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_63,21242,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_64,21411,Hit Object,5.0,3.6,9.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_65,21580,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_66,21748,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_67,21917,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_68,22085,Hit Object,5.0,3.6,9.0,9.0,6,0,22253,1,1.0,0,0,0,0,0,0
Row_69,22422,Hit Object,5.0,3.6,9.0,9.0,2,0,22590,1,1.0,0,0,0,0,0,0
Row_70,22759,Hit Object,5.0,3.6,9.0,9.0,2,0,23096,1,1.0,0,0,0,0,0,0
Row_71,23265,Hit Object,5.0,3.6,9.0,9.0,5,2,0,0,1.0,0,0,0,0,0,0
Row_72,23433,Hit Object,5.0,3.6,9.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_73,23602,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_74,23771,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_75,23939,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_76,24108,Hit Object,5.0,3.6,9.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_77,24276,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_78,24445,Hit Object,5.0,3.6,9.0,9.0,6,0,24613,1,1.0,0,0,0,0,0,0
Row_79,24782,Hit Object,5.0,3.6,9.0,9.0,2,0,24950,1,1.0,0,0,0,0,0,0
Row_80,25119,Hit Object,5.0,3.6,9.0,9.0,2,0,25287,1,1.0,0,0,0,0,0,0
Row_81,25456,Hit Object,5.0,3.6,9.0,9.0,2,0,25624,1,1.0,0,0,0,0,0,0
Row_82,25793,Timing Point,5.0,3.6,9.0,9.0,0,0,0,0,0,0,0,-83.3333333333333,4,0,0
Row_83,25793,Hit Object,5.0,3.6,9.0,9.0,6,0,25961,1,1.0,0,0,0,0,0,0
Row_84,26130,Hit Object,5.0,3.6,9.0,9.0,2,0,26298,1,1.0,0,0,0,0,0,0
Row_85,26467,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_86,26551,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_87,26636,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_88,26804,Hit Object,5.0,3.6,9.0,9.0,2,0,26972,1,1.0,0,0,0,0,0,0
Row_89,27141,Hit Object,5.0,3.6,9.0,9.0,6,0,27478,1,1.0,0,0,0,0,0,0
Row_90,27647,Hit Object,5.0,3.6,9.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_91,27815,Hit Object,5.0,3.6,9.0,9.0,2,0,27983,1,1.0,0,0,0,0,0,0
Row_92,28153,Hit Object,5.0,3.6,9.0,9.0,1,10,0,0,1.0,0,0,0,0,0,0
Row_93,28321,Hit Object,5.0,3.6,9.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_94,28490,Hit Object,5.0,3.6,9.0,9.0,6,0,28658,1,1.0,0,0,0,0,0,0
Row_95,28827,Hit Object,5.0,3.6,9.0,9.0,2,0,28995,1,1.0,0,0,0,0,0,0
Row_96,29164,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_97,29332,Hit Object,5.0,3.6,9.0,9.0,2,0,29500,1,1.0,0,0,0,0,0,0
Row_98,29669,Hit Object,5.0,3.6,9.0,9.0,6,0,29837,1,1.0,0,0,0,0,0,0
Row_99,30006,Hit Object,5.0,3.6,9.0,9.0,2,0,30174,1,1.0,0,0,0,0,0,0
Row_100,30344,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_101,30512,Hit Object,5.0,3.6,9.0,9.0,2,0,30680,1,1.0,0,0,0,0,0,0
Row_102,30849,Hit Object,5.0,3.6,9.0,9.0,2,0,31017,1,1.0,0,0,0,0,0,0
Row_103,31186,Hit Object,5.0,3.6,9.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_104,31355,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_105,31523,Hit Object,5.0,3.6,9.0,9.0,2,0,31691,1,1.0,0,0,0,0,0,0
Row_106,31860,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_107,31945,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
Row_108,32029,Hit Object,5.0,3.6,9.0,9.0,1,2,0,0,1.0,0,0,0,0,0,0
