Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-166.666666666667,4,0,0
Row_2,2873,Hit Object,4.0,3.5,6.0,7.5,6,0,3547,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,4.0,3.5,6.0,7.5,2,0,4895,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,4.0,3.5,6.0,7.5,2,0,6243,1,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,4.0,3.5,6.0,7.5,2,0,7591,1,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-125.0,4,0,0
Row_10,8266,Hit Object,4.0,3.5,6.0,7.5,6,0,8603,1,1.0,0,0,0,0,0,0
Row_11,8940,Hit Object,4.0,3.5,6.0,7.5,2,0,9277,1,1.0,0,0,0,0,0,0
Row_12,9446,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_13,9614,Hit Object,4.0,3.5,6.0,7.5,2,0,9951,1,1.0,0,0,0,0,0,0
Row_14,10288,Hit Object,4.0,3.5,6.0,7.5,2,0,10625,1,1.0,0,0,0,0,0,0
Row_15,10794,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,10962,Hit Object,4.0,3.5,6.0,7.5,2,0,11299,1,1.0,0,0,0,0,0,0
Row_17,11637,Hit Object,4.0,3.5,6.0,7.5,2,0,11974,1,1.0,0,0,0,0,0,0
Row_18,11974,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-125.0,4,0,0
Row_19,12142,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-125.0,4,0,0
Row_20,12142,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,12311,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_22,12311,Hit Object,4.0,3.5,6.0,7.5,6,0,12648,1,1.0,0,0,0,0,0,0
Row_23,12816,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,12985,Hit Object,4.0,3.5,6.0,7.5,2,0,13322,1,1.0,0,0,0,0,0,0
Row_25,13490,Hit Object,4.0,3.5,6.0,7.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,13659,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_27,13659,Hit Object,4.0,3.5,6.0,7.5,2,0,13827,1,1.0,0,0,0,0,0,0
Row_28,13996,Hit Object,4.0,3.5,6.0,7.5,2,0,14164,1,1.0,0,0,0,0,0,0
Row_29,14333,Hit Object,4.0,3.5,6.0,7.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,14502,Hit Object,4.0,3.5,6.0,7.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,14670,Hit Object,4.0,3.5,6.0,7.5,1,12,0,0,1.0,0,0,0,0,0,0
Row_32,15007,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_33,15007,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_34,15007,Hit Object,4.0,3.5,6.0,7.5,6,0,15175,1,1.0,0,0,0,0,0,0
Row_35,15344,Hit Object,4.0,3.5,6.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,15512,Hit Object,4.0,3.5,6.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_37,15681,Hit Object,4.0,3.5,6.0,7.5,2,0,16018,1,1.0,0,0,0,0,0,0
Row_38,16186,Hit Object,4.0,3.5,6.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,16355,Hit Object,4.0,3.5,6.0,7.5,2,0,16523,1,1.0,0,0,0,0,0,0
Row_40,16692,Hit Object,4.0,3.5,6.0,7.5,2,0,16860,1,1.0,0,0,0,0,0,0
Row_41,17029,Hit Object,4.0,3.5,6.0,7.5,2,0,17703,2,1.0,0,0,0,0,0,0
Row_42,17872,Hit Object,4.0,3.5,6.0,7.5,5,2,0,0,1.0,0,0,0,0,0,0
Row_43,18040,Hit Object,4.0,3.5,6.0,7.5,2,0,18208,1,1.0,0,0,0,0,0,0
Row_44,18377,Hit Object,4.0,3.5,6.0,7.5,2,0,18545,1,1.0,0,0,0,0,0,0
Row_45,18714,Hit Object,4.0,3.5,6.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_46,18883,Hit Object,4.0,3.5,6.0,7.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_47,19051,Hit Object,4.0,3.5,6.0,7.5,2,0,19219,1,1.0,0,0,0,0,0,0
Row_48,19389,Hit Object,4.0,3.5,6.0,7.5,2,0,19557,1,1.0,0,0,0,0,0,0
Row_49,19726,Hit Object,4.0,3.5,6.0,7.5,2,0,20175,2,1.0,0,0,0,0,0,0
Row_50,20400,Timing Point,4.0,3.5,6.0,7.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_51,20400,Hit Object,4.0,3.5,6.0,7.5,6,0,20568,1,1.0,0,0,0,0,0,0
Row_52,20737,Hit Object,4.0,3.5,6.0,7.5,1,10,0,0,1.0,0,0,0,0,0,0
