Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,4.8,4.0,9.0,9.1,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,4.8,4.0,9.0,9.1,0,0,0,0,0,0,0,-250.0,4,0,0
Row_2,2873,Hit Object,4.8,4.0,9.0,9.1,6,0,3884,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,4.8,4.0,9.0,9.1,2,0,4895,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,4.8,4.0,9.0,9.1,6,0,6580,1,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,4.8,4.0,9.0,9.1,2,0,7591,1,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,4.8,4.0,9.0,9.1,0,0,0,0,0,0,0,-200.0,4,0,0
Row_10,8266,Hit Object,4.8,4.0,9.0,9.1,6,0,8940,1,1.0,0,0,0,0,0,0
Row_11,9446,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,9614,Hit Object,4.8,4.0,9.0,9.1,2,0,10288,1,1.0,0,0,0,0,0,0
Row_13,10794,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,10962,Hit Object,4.8,4.0,9.0,9.1,6,0,11299,1,1.0,0,0,0,0,0,0
Row_15,11637,Hit Object,4.8,4.0,9.0,9.1,2,0,12142,1,1.0,0,0,0,0,0,0
Row_16,12311,Timing Point,4.8,4.0,9.0,9.1,0,0,0,0,0,0,0,-125.0,4,0,0
Row_17,12311,Hit Object,4.8,4.0,9.0,9.1,6,0,12479,1,1.0,0,0,0,0,0,0
Row_18,12648,Hit Object,4.8,4.0,9.0,9.1,2,0,12816,1,1.0,0,0,0,0,0,0
Row_19,12985,Hit Object,4.8,4.0,9.0,9.1,1,2,0,0,1.0,0,0,0,0,0,0
Row_20,13153,Hit Object,4.8,4.0,9.0,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_21,13322,Hit Object,4.8,4.0,9.0,9.1,2,0,13490,1,1.0,0,0,0,0,0,0
