Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2873,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_1,2873,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-250.0,4,0,0
Row_2,2873,Hit Object,5.0,3.8,8.2,8.6,6,0,3547,1,1.0,0,0,0,0,0,0
Row_3,4052,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_4,4221,Hit Object,5.0,3.8,8.2,8.6,2,0,4895,1,1.0,0,0,0,0,0,0
Row_5,5569,Hit Object,5.0,3.8,8.2,8.6,6,0,6243,2,1.0,0,0,0,0,0,0
Row_6,6749,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_7,6917,Hit Object,5.0,3.8,8.2,8.6,2,0,7591,2,1.0,0,0,0,0,0,0
Row_8,8097,Hit Object,5.0,3.8,8.2,8.6,5,0,0,0,1.0,0,0,0,0,0,0
Row_9,8266,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-250.0,4,0,0
Row_10,8266,Hit Object,5.0,3.8,8.2,8.6,2,0,8940,1,1.0,0,0,0,0,0,0
Row_11,9446,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_12,9614,Hit Object,5.0,3.8,8.2,8.6,2,0,10288,1,1.0,0,0,0,0,0,0
Row_13,10794,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_14,10962,Hit Object,5.0,3.8,8.2,8.6,2,0,11299,1,1.0,0,0,0,0,0,0
Row_15,11637,Hit Object,5.0,3.8,8.2,8.6,2,0,11974,1,1.0,0,0,0,0,0,0
Row_16,12142,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_17,12311,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-133.333333333333,4,0,0
Row_18,12311,Hit Object,5.0,3.8,8.2,8.6,6,0,12479,1,1.0,0,0,0,0,0,0
Row_19,12648,Hit Object,5.0,3.8,8.2,8.6,2,0,12816,1,1.0,0,0,0,0,0,0
Row_20,12985,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_21,13153,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,13322,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,13490,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_24,13659,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-153.846153846153,4,0,0
Row_25,13659,Hit Object,5.0,3.8,8.2,8.6,5,8,0,0,1.0,0,0,0,0,0,0
Row_26,13828,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,13996,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_28,14165,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_29,14333,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,14502,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,14670,Hit Object,5.0,3.8,8.2,8.6,1,12,0,0,1.0,0,0,0,0,0,0
Row_32,15007,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,1,337.078651685393,4,0,0
Row_33,15007,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-117.647058823529,4,0,0
Row_34,15007,Hit Object,5.0,3.8,8.2,8.6,5,4,0,0,1.0,0,0,0,0,0,0
Row_35,15175,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_36,15344,Hit Object,5.0,3.8,8.2,8.6,2,0,15512,1,1.0,0,0,0,0,0,0
Row_37,15681,Hit Object,5.0,3.8,8.2,8.6,2,0,15849,1,1.0,0,0,0,0,0,0
Row_38,16018,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,16186,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_40,16355,Hit Object,5.0,3.8,8.2,8.6,5,2,0,0,1.0,0,0,0,0,0,0
Row_41,16523,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_42,16692,Hit Object,5.0,3.8,8.2,8.6,2,0,16860,1,1.0,0,0,0,0,0,0
Row_43,17029,Hit Object,5.0,3.8,8.2,8.6,2,0,17703,2,1.0,0,0,0,0,0,0
Row_44,17872,Hit Object,5.0,3.8,8.2,8.6,5,2,0,0,1.0,0,0,0,0,0,0
Row_45,18040,Hit Object,5.0,3.8,8.2,8.6,2,0,18208,1,1.0,0,0,0,0,0,0
Row_46,18377,Hit Object,5.0,3.8,8.2,8.6,2,0,18545,1,1.0,0,0,0,0,0,0
Row_47,18714,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_48,18883,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_49,19051,Hit Object,5.0,3.8,8.2,8.6,6,0,19725,2,1.0,0,0,0,0,0,0
Row_50,19894,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_51,20063,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_52,20231,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_53,20400,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-117.647058823529,4,0,0
Row_54,20400,Hit Object,5.0,3.8,8.2,8.6,5,4,0,0,1.0,0,0,0,0,0,0
Row_55,20568,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,20737,Hit Object,5.0,3.8,8.2,8.6,2,0,20905,1,1.0,0,0,0,0,0,0
Row_57,21074,Hit Object,5.0,3.8,8.2,8.6,2,0,21242,1,1.0,0,0,0,0,0,0
Row_58,21411,Hit Object,5.0,3.8,8.2,8.6,1,10,0,0,1.0,0,0,0,0,0,0
Row_59,21580,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_60,21748,Hit Object,5.0,3.8,8.2,8.6,5,2,0,0,1.0,0,0,0,0,0,0
Row_61,21917,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_62,22085,Hit Object,5.0,3.8,8.2,8.6,2,0,22253,1,1.0,0,0,0,0,0,0
Row_63,22422,Hit Object,5.0,3.8,8.2,8.6,2,0,22759,1,1.0,0,0,0,0,0,0
Row_64,22928,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_65,23096,Hit Object,5.0,3.8,8.2,8.6,5,0,0,0,1.0,0,0,0,0,0,0
Row_66,23265,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_67,23433,Hit Object,5.0,3.8,8.2,8.6,1,10,0,0,1.0,0,0,0,0,0,0
Row_68,23602,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_69,23771,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_70,23939,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_71,24108,Hit Object,5.0,3.8,8.2,8.6,2,0,24276,1,1.0,0,0,0,0,0,0
Row_72,24445,Hit Object,5.0,3.8,8.2,8.6,6,0,24613,1,1.0,0,0,0,0,0,0
Row_73,24782,Hit Object,5.0,3.8,8.2,8.6,2,0,24950,1,1.0,0,0,0,0,0,0
Row_74,25119,Hit Object,5.0,3.8,8.2,8.6,2,0,25287,1,1.0,0,0,0,0,0,0
Row_75,25456,Hit Object,5.0,3.8,8.2,8.6,1,8,0,0,1.0,0,0,0,0,0,0
Row_76,25793,Timing Point,5.0,3.8,8.2,8.6,0,0,0,0,0,0,0,-100.0,4,1,0
Row_77,25793,Hit Object,5.0,3.8,8.2,8.6,6,0,25961,1,1.0,0,0,0,0,0,0
Row_78,26130,Hit Object,5.0,3.8,8.2,8.6,2,0,26467,1,1.0,0,0,0,0,0,0
Row_79,26636,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_80,26804,Hit Object,5.0,3.8,8.2,8.6,1,10,0,0,1.0,0,0,0,0,0,0
Row_81,26973,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_82,27141,Hit Object,5.0,3.8,8.2,8.6,6,0,27309,1,1.0,0,0,0,0,0,0
Row_83,27478,Hit Object,5.0,3.8,8.2,8.6,2,0,27646,1,1.0,0,0,0,0,0,0
Row_84,27815,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_85,27984,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_86,28153,Hit Object,5.0,3.8,8.2,8.6,1,10,0,0,1.0,0,0,0,0,0,0
Row_87,28321,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
Row_88,28490,Hit Object,5.0,3.8,8.2,8.6,6,0,28658,1,1.0,0,0,0,0,0,0
Row_89,28827,Hit Object,5.0,3.8,8.2,8.6,2,0,28995,1,1.0,0,0,0,0,0,0
Row_90,29164,Hit Object,5.0,3.8,8.2,8.6,1,2,0,0,1.0,0,0,0,0,0,0
Row_91,29332,Hit Object,5.0,3.8,8.2,8.6,2,0,29500,1,1.0,0,0,0,0,0,0
Row_92,29669,Hit Object,5.0,3.8,8.2,8.6,6,0,29837,1,1.0,0,0,0,0,0,0
Row_93,30006,Hit Object,5.0,3.8,8.2,8.6,2,0,30174,1,1.0,0,0,0,0,0,0
Row_94,30344,Hit Object,5.0,3.8,8.2,8.6,2,0,30681,1,1.0,0,0,0,0,0,0
Row_95,30849,Hit Object,5.0,3.8,8.2,8.6,1,10,0,0,1.0,0,0,0,0,0,0
Row_96,31018,Hit Object,5.0,3.8,8.2,8.6,1,0,0,0,1.0,0,0,0,0,0,0
